
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     240.45
2                     241.36
4                     243.31
8                     250.13
16                    242.91
32                    250.09
64                    275.38
128                   290.91
256                   404.50
512                   523.00
1024                  558.16
2048                  722.52
4096                 1284.88
8192                 2465.02
16384                6040.90
32768               12012.86
65536               20417.19
131072              39396.30
262144              77712.55

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     240.96
2                     241.59
4                     243.60
8                     248.48
16                    242.28
32                    251.60
64                    273.15
128                   288.79
256                   402.16
512                   521.48
1024                  594.24
2048                  711.55
4096                 1299.75
8192                 2460.27
16384                5982.48
32768               12094.02
65536               20430.23
131072              39448.68
262144              77668.54

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     243.05
2                     242.43
4                     242.82
8                     247.29
16                    241.26
32                    247.93
64                    273.65
128                   289.85
256                   401.60
512                   520.36
1024                  554.09
2048                  720.92
4096                 1296.31
8192                 2477.86
16384                5943.71
32768               11934.85
65536               20373.82
131072              39370.54
262144              77711.38

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     240.31
2                     240.02
4                     241.46
8                     247.16
16                    240.84
32                    247.88
64                    274.23
128                   288.46
256                   401.79
512                   520.54
1024                  562.39
2048                  718.13
4096                 1282.26
8192                 2470.38
16384                5964.57
32768               11990.18
65536               20365.20
131072              39406.30
262144              77705.26

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     239.69
2                     240.13
4                     241.83
8                     247.23
16                    241.67
32                    248.24
64                    273.88
128                   288.72
256                   401.82
512                   521.75
1024                  564.90
2048                  722.89
4096                 1280.47
8192                 2473.74
16384                6082.82
32768               12049.81
65536               20460.67
131072              39381.27
262144              77735.32

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     239.80
2                     240.13
4                     241.78
8                     247.38
16                    240.98
32                    248.30
64                    274.71
128                   288.40
256                   401.40
512                   521.82
1024                  554.34
2048                  717.97
4096                 1293.44
8192                 2466.11
16384                6027.94
32768               11990.44
65536               20400.08
131072              39386.61
262144              77569.44

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     239.71
2                     239.67
4                     241.41
8                     246.78
16                    241.23
32                    247.73
64                    275.73
128                   288.48
256                   401.28
512                   521.39
1024                  563.64
2048                  710.83
4096                 1322.86
8192                 2477.83
16384                5984.74
32768               12054.05
65536               20415.50
131072              39456.42
262144              77662.35

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     241.24
2                     239.66
4                     241.53
8                     247.48
16                    240.98
32                    247.75
64                    275.23
128                   288.74
256                   401.97
512                   521.14
1024                  577.79
2048                  720.10
4096                 1294.26
8192                 2463.84
16384                5989.62
32768               12002.27
65536               20450.83
131072              39477.20
262144              77644.05

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     239.86
2                     239.97
4                     241.40
8                     247.28
16                    241.70
32                    247.88
64                    276.94
128                   288.79
256                   401.11
512                   521.94
1024                  555.47
2048                  709.64
4096                 1298.83
8192                 2462.56
16384                5920.03
32768               11996.88
65536               20438.55
131072              39470.94
262144              77798.78

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     239.81
2                     240.18
4                     241.56
8                     247.95
16                    241.59
32                    248.12
64                    274.26
128                   289.64
256                   401.69
512                   521.70
1024                  549.93
2048                  711.04
4096                 1324.60
8192                 2473.42
16384                5944.44
32768               12007.61
65536               20465.05
131072              39462.24
262144              77694.45

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     240.01
2                     239.93
4                     242.56
8                     248.17
16                    241.72
32                    248.74
64                    276.11
128                   289.12
256                   402.80
512                   521.37
1024                  568.22
2048                  722.37
4096                 1292.54
8192                 2495.77
16384                6049.61
32768               12025.89
65536               20383.10
131072              39368.91
262144              77695.04

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     240.24
2                     240.43
4                     242.08
8                     248.01
16                    241.52
32                    248.23
64                    274.22
128                   288.85
256                   401.81
512                   520.67
1024                  547.77
2048                  710.98
4096                 1324.85
8192                 2482.74
16384                6010.66
32768               11996.99
65536               20434.13
131072              39435.29
262144              77688.95

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     248.87
2                     240.15
4                     241.56
8                     247.72
16                    241.58
32                    248.10
64                    273.06
128                   289.63
256                   402.06
512                   521.35
1024                  579.48
2048                  720.81
4096                 1311.64
8192                 2488.88
16384                6025.23
32768               12090.71
65536               20419.81
131072              39405.73
262144              77767.04

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     240.80
2                     240.37
4                     241.90
8                     247.91
16                    241.32
32                    248.48
64                    274.38
128                   289.17
256                   401.90
512                   522.53
1024                  565.07
2048                  716.38
4096                 1335.78
8192                 2462.87
16384                5938.29
32768               11994.77
65536               20346.16
131072              39327.24
262144              77736.31

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     240.44
2                     240.72
4                     241.85
8                     248.19
16                    241.28
32                    248.43
64                    275.44
128                   289.77
256                   404.22
512                   525.75
1024                  560.59
2048                  730.16
4096                 1308.00
8192                 2497.58
16384                6091.69
32768               11985.85
65536               20464.95
131072              39418.65
262144              77651.14
