
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.10
2                      45.81
4                      39.53
8                      46.36
16                     46.64
32                     49.16
64                     54.63
128                    72.18
256                   133.62
512                   244.76
1024                  565.21
2048                 1027.97
4096                 1978.90
8192                 4175.19
16384                8931.81
32768               18130.70
65536               36354.35
131072              78020.51
262144             155223.34

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.26
2                      45.68
4                      39.54
8                      46.23
16                     46.56
32                     49.08
64                     54.60
128                    72.67
256                   132.39
512                   243.50
1024                  570.41
2048                 1034.23
4096                 1981.65
8192                 4182.17
16384                8901.69
32768               18091.37
65536               36244.63
131072              77811.80
262144             155553.32

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.21
2                      45.75
4                      39.57
8                      46.12
16                     46.58
32                     49.20
64                     54.64
128                    72.07
256                   132.92
512                   242.45
1024                  565.48
2048                 1029.10
4096                 1975.30
8192                 4152.29
16384                8851.37
32768               18051.78
65536               36223.65
131072              78000.77
262144             155531.01

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.15
2                      45.72
4                      39.45
8                      46.13
16                     46.51
32                     49.13
64                     54.66
128                    72.26
256                   133.04
512                   246.13
1024                  571.16
2048                 1034.10
4096                 1985.45
8192                 4189.50
16384                8930.99
32768               18177.87
65536               36278.37
131072              78236.00
262144             155653.67

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.08
2                      45.77
4                      39.51
8                      46.32
16                     46.60
32                     49.31
64                     54.78
128                    72.12
256                   132.89
512                   244.92
1024                  570.29
2048                 1029.49
4096                 1984.27
8192                 4201.10
16384                8932.97
32768               18096.26
65536               36344.83
131072              77942.29
262144             155306.78

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.16
2                      45.73
4                      39.42
8                      46.19
16                     46.56
32                     49.11
64                     54.62
128                    72.08
256                   132.70
512                   244.62
1024                  561.48
2048                 1020.67
4096                 1952.28
8192                 4132.07
16384                8867.02
32768               17974.31
65536               36069.47
131072              77106.63
262144             154440.07

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.19
2                      45.94
4                      39.43
8                      46.16
16                     46.54
32                     49.18
64                     54.70
128                    72.25
256                   132.85
512                   244.06
1024                  567.01
2048                 1025.19
4096                 1984.25
8192                 4189.60
16384                8949.08
32768               18226.11
65536               36383.08
131072              78196.13
262144             155607.02

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.16
2                      45.80
4                      39.48
8                      46.32
16                     46.49
32                     49.08
64                     54.62
128                    72.19
256                   132.93
512                   245.39
1024                  569.10
2048                 1029.92
4096                 1987.43
8192                 4172.77
16384                8907.68
32768               18076.77
65536               36207.68
131072              78041.73
262144             155889.46

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.17
2                      45.76
4                      39.50
8                      46.37
16                     46.56
32                     49.12
64                     54.62
128                    71.92
256                   132.21
512                   241.84
1024                  564.56
2048                 1029.16
4096                 1973.60
8192                 4161.98
16384                8863.42
32768               18129.20
65536               36306.69
131072              77927.73
262144             155315.28

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.08
2                      46.10
4                      39.57
8                      46.39
16                     46.61
32                     49.14
64                     54.85
128                    72.30
256                   132.68
512                   244.66
1024                  568.63
2048                 1030.48
4096                 1975.66
8192                 4189.70
16384                8944.46
32768               18172.48
65536               36546.11
131072              78107.28
262144             155738.48

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.26
2                      45.76
4                      39.54
8                      46.26
16                     46.60
32                     49.16
64                     54.78
128                    72.22
256                   131.96
512                   243.72
1024                  564.31
2048                 1027.90
4096                 1971.86
8192                 4165.41
16384                8835.54
32768               18115.66
65536               36330.50
131072              77898.22
262144             155479.47

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.15
2                      45.79
4                      39.43
8                      46.10
16                     46.46
32                     49.04
64                     54.56
128                    71.84
256                   132.05
512                   243.64
1024                  567.20
2048                 1027.55
4096                 1974.83
8192                 4164.09
16384                8869.31
32768               18088.37
65536               36245.68
131072              78063.25
262144             154743.74

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.01
2                      45.93
4                      39.45
8                      46.44
16                     46.71
32                     49.21
64                     54.79
128                    72.16
256                   132.82
512                   246.24
1024                  569.83
2048                 1033.28
4096                 1989.62
8192                 4187.02
16384                8866.98
32768               18152.11
65536               36555.77
131072              78055.75
262144             155938.80

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.13
2                      45.66
4                      39.43
8                      46.20
16                     46.47
32                     49.15
64                     54.72
128                    72.21
256                   133.07
512                   243.02
1024                  567.43
2048                 1032.07
4096                 1983.56
8192                 4182.96
16384                8939.22
32768               18142.94
65536               36465.53
131072              78110.33
262144             155009.62

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.17
2                      45.72
4                      39.47
8                      46.37
16                     46.58
32                     49.18
64                     54.80
128                    73.06
256                   132.10
512                   241.91
1024                  564.91
2048                 1020.56
4096                 1968.74
8192                 4144.64
16384                8872.99
32768               18066.97
65536               36221.04
131072              77691.45
262144             154650.54
