
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      31.30
2                      31.17
4                      26.57
8                      24.30
16                     23.06
32                     25.14
64                     30.28
128                    40.88
256                    71.77
512                   125.23
1024                  283.43
2048                  567.14
4096                 1123.09
8192                 2545.61
16384                8116.15
32768               13822.73
65536               25784.33
131072              60128.62
262144             118327.25

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      31.67
2                      31.21
4                      26.78
8                      24.54
16                     22.89
32                     25.16
64                     29.57
128                    40.44
256                    70.90
512                   123.29
1024                  283.50
2048                  569.25
4096                 1124.15
8192                 2523.60
16384                8052.85
32768               13725.34
65536               25705.79
131072              59939.51
262144             118112.71

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.35
2                      29.09
4                      24.88
8                      19.49
16                     19.21
32                     22.34
64                     27.91
128                    38.21
256                    69.02
512                   121.78
1024                  282.70
2048                  564.33
4096                 1125.66
8192                 2488.73
16384                8081.63
32768               13771.16
65536               25667.27
131072              59908.49
262144             118164.56

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.59
2                      29.05
4                      25.11
8                      19.98
16                     19.70
32                     22.65
64                     28.17
128                    38.55
256                    69.46
512                   122.31
1024                  282.98
2048                  562.92
4096                 1123.17
8192                 2511.83
16384                8066.35
32768               13786.01
65536               25822.08
131072              60139.22
262144             118225.78

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      31.09
2                      30.88
4                      26.53
8                      24.32
16                     21.84
32                     24.75
64                     29.83
128                    41.15
256                    70.83
512                   123.95
1024                  284.62
2048                  565.08
4096                 1135.75
8192                 2528.06
16384                8080.25
32768               13815.13
65536               25775.57
131072              60042.91
262144             118369.03
