
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.18
2                      24.80
4                      26.48
8                      27.65
16                     29.75
32                     34.09
64                     45.43
128                    72.63
256                   137.68
512                   231.66
1024                  479.13
2048                  515.15
4096                  749.96
8192                 1615.60
16384                4151.91
32768                8315.14
65536               11783.37
131072              22143.30
262144              43843.37

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      24.45
2                      24.10
4                      26.45
8                      27.51
16                     29.60
32                     34.03
64                     45.60
128                    71.74
256                   136.87
512                   231.57
1024                  480.22
2048                  491.94
4096                  735.11
8192                 1552.43
16384                4159.47
32768                8349.48
65536               11771.24
131072              22128.44
262144              43767.29

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.16
2                      25.05
4                      26.81
8                      27.63
16                     29.67
32                     34.17
64                     45.56
128                    71.95
256                   137.30
512                   232.68
1024                  480.79
2048                  507.87
4096                  734.78
8192                 1568.68
16384                4180.57
32768                8312.49
65536               11769.35
131072              22081.06
262144              43737.59

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.54
2                      25.32
4                      26.92
8                      27.69
16                     29.81
32                     33.85
64                     45.55
128                    72.17
256                   136.89
512                   231.48
1024                  480.52
2048                  509.69
4096                  736.79
8192                 1592.75
16384                4168.75
32768                8427.45
65536               11781.16
131072              22119.92
262144              43783.03

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.48
2                      24.90
4                      26.39
8                      27.61
16                     30.20
32                     33.86
64                     45.16
128                    71.70
256                   137.06
512                   231.60
1024                  480.59
2048                  498.76
4096                  743.66
8192                 1561.80
16384                4196.25
32768                8311.14
65536               11769.60
131072              22198.96
262144              43842.23
