
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      53.99
2                      51.34
4                      46.81
8                      45.85
16                     43.68
32                     46.27
64                     56.54
128                    74.48
256                   113.90
512                   184.66
1024                  401.16
2048                  804.42
4096                 1602.00
8192                 3733.34
16384                8938.16
32768               16633.66
65536               32738.78
131072              76068.34
262144             152046.02

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      53.03
2                      50.08
4                      46.06
8                      42.91
16                     41.32
32                     44.47
64                     52.66
128                    67.89
256                   108.78
512                   180.25
1024                  400.62
2048                  803.24
4096                 1600.10
8192                 3656.16
16384                8922.87
32768               16626.04
65536               32558.54
131072              75580.45
262144             151132.05

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      53.13
2                      49.83
4                      46.28
8                      42.94
16                     41.37
32                     45.04
64                     53.14
128                    68.22
256                   109.56
512                   182.79
1024                  403.10
2048                  808.78
4096                 1575.98
8192                 3689.93
16384                8945.79
32768               16595.30
65536               32739.47
131072              75903.98
262144             151652.35

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      55.85
2                      51.00
4                      47.31
8                      45.87
16                     46.32
32                     49.03
64                     57.42
128                    75.55
256                   113.85
512                   186.83
1024                  401.29
2048                  803.46
4096                 1576.07
8192                 3656.76
16384                8883.45
32768               16553.55
65536               32588.57
131072              75741.92
262144             151411.63

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      53.48
2                      51.24
4                      46.80
8                      47.16
16                     42.42
32                     48.43
64                     58.53
128                    74.73
256                   117.26
512                   186.00
1024                  404.91
2048                  803.11
4096                 1599.11
8192                 3680.62
16384                8914.22
32768               16618.47
65536               32591.91
131072              75575.67
262144             151080.96
