
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      53.84
2                      50.70
4                      47.41
8                      47.49
16                     51.30
32                     54.03
64                     62.74
128                    78.74
256                   115.52
512                   186.78
1024                  401.24
2048                  804.83
4096                 1577.55
8192                 3712.36
16384                8977.98
32768               16897.69
65536               32927.29
131072              75650.71
262144             150926.80

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      52.87
2                      50.23
4                      46.63
8                      43.06
16                     42.01
32                     45.74
64                     53.47
128                    68.30
256                   109.19
512                   184.75
1024                  400.02
2048                  800.45
4096                 1570.65
8192                 3687.07
16384                8940.07
32768               16817.05
65536               32963.20
131072              75633.75
262144             150983.74

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      53.05
2                      50.27
4                      47.22
8                      43.94
16                     41.92
32                     45.90
64                     53.39
128                    68.65
256                   108.38
512                   178.70
1024                  401.18
2048                  807.66
4096                 1570.80
8192                 3642.65
16384                8948.25
32768               16785.32
65536               32854.54
131072              75520.45
262144             150508.84

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      53.88
2                      50.20
4                      47.61
8                      49.34
16                     46.58
32                     50.59
64                     63.11
128                    75.67
256                   114.17
512                   184.41
1024                  400.39
2048                  804.99
4096                 1584.02
8192                 3615.80
16384                8974.58
32768               16813.03
65536               32943.95
131072              75660.37
262144             150906.72

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      53.82
2                      50.21
4                      47.37
8                      46.59
16                     44.13
32                     49.39
64                     59.98
128                    74.02
256                   113.33
512                   185.23
1024                  401.64
2048                  801.35
4096                 1581.04
8192                 3641.99
16384                8957.19
32768               16822.87
65536               32911.64
131072              75554.30
262144             150814.14
