
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     329.72
2                     330.59
4                     333.63
8                     340.89
16                    344.10
32                    339.79
64                    352.17
128                   382.85
256                   463.14
512                   570.73
1024                  870.73
2048                 1359.25
4096                 2436.39
8192                 5286.85
16384               16264.65
32768               35245.36
65536               76893.30
131072             171128.39
262144             347661.22

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     329.63
2                     330.20
4                     333.31
8                     340.54
16                    344.19
32                    339.63
64                    351.98
128                   382.55
256                   463.25
512                   572.59
1024                  869.82
2048                 1354.95
4096                 2421.73
8192                 5223.16
16384               16254.71
32768               35121.46
65536               75413.14
131072             169062.86
262144             346417.53

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     329.57
2                     330.22
4                     333.05
8                     340.62
16                    344.50
32                    339.25
64                    351.95
128                   381.93
256                   463.35
512                   572.04
1024                  867.81
2048                 1357.61
4096                 2425.37
8192                 5172.64
16384               16124.36
32768               35006.08
65536               75775.90
131072             169009.05
262144             345181.84

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     330.24
2                     329.97
4                     338.00
8                     340.66
16                    344.34
32                    339.58
64                    352.00
128                   382.35
256                   462.97
512                   571.44
1024                  871.42
2048                 1355.05
4096                 2420.21
8192                 5249.62
16384               16187.69
32768               34835.15
65536               76186.71
131072             169289.81
262144             347079.07

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     330.26
2                     330.26
4                     333.70
8                     341.02
16                    343.36
32                    339.47
64                    352.59
128                   382.55
256                   463.07
512                   571.54
1024                  867.64
2048                 1351.24
4096                 2429.17
8192                 5168.00
16384               16084.79
32768               35097.54
65536               75573.76
131072             168719.56
262144             347766.78
