
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     239.75
2                     240.58
4                     241.33
8                     249.07
16                    249.13
32                    249.91
64                    260.41
128                   289.35
256                   404.01
512                   524.08
1024                  535.42
2048                  713.39
4096                 1299.03
8192                 2620.10
16384                5921.10
32768               12082.27
65536               20419.68
131072              39407.29
262144              77658.62
524288             153529.45
1048576            303647.20

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     240.00
2                     239.98
4                     241.94
8                     248.27
16                    248.60
32                    251.01
64                    261.23
128                   288.66
256                   409.84
512                   522.53
1024                  534.64
2048                  711.94
4096                 1293.97
8192                 2591.59
16384                5860.69
32768               11996.32
65536               20526.21
131072              39447.59
262144              77678.54
524288             153252.11
1048576            303535.05

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     240.52
2                     240.59
4                     241.48
8                     248.10
16                    248.67
32                    249.36
64                    261.02
128                   289.70
256                   408.58
512                   527.62
1024                  544.63
2048                  712.93
4096                 1301.60
8192                 2638.50
16384                5931.51
32768               12056.55
65536               20473.44
131072              39503.90
262144              78087.66
524288             154636.24
1048576            306352.98

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     240.40
2                     239.76
4                     241.85
8                     250.07
16                    250.49
32                    257.30
64                    260.17
128                   289.15
256                   403.64
512                   525.12
1024                  534.77
2048                  711.52
4096                 1289.90
8192                 2655.03
16384                5869.14
32768               11996.37
65536               20466.29
131072              39388.04
262144              77711.64
524288             153349.15
1048576            303023.61

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     239.44
2                     240.16
4                     241.20
8                     246.86
16                    249.52
32                    249.93
64                    259.68
128                   288.31
256                   404.34
512                   523.11
1024                  541.66
2048                  707.18
4096                 1298.87
8192                 2617.68
16384                5847.73
32768               11899.82
65536               20389.73
131072              39327.36
262144              77499.96
524288             153269.75
1048576            303726.05
