
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      23.84
2                      23.52
4                      22.30
8                      20.99
16                     16.41
32                     16.60
64                     19.39
128                    25.93
256                    37.88
512                    65.82
1024                  120.32
2048                  296.11
4096                  558.47
8192                 1146.15
16384                2219.71
32768                4827.59
65536                9839.91
131072              23257.95
262144              46179.08

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      24.03
2                      23.66
4                      22.57
8                      21.22
16                     16.42
32                     16.65
64                     19.49
128                    25.98
256                    38.04
512                    65.88
1024                  120.50
2048                  295.88
4096                  558.00
8192                 1146.75
16384                2230.96
32768                4835.48
65536                9822.29
131072              23271.03
262144              46217.23

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      23.84
2                      23.55
4                      22.47
8                      21.10
16                     16.40
32                     16.72
64                     19.51
128                    26.06
256                    37.94
512                    65.86
1024                  120.60
2048                  295.86
4096                  562.34
8192                 1148.44
16384                2229.51
32768                4791.99
65536                9760.63
131072              23258.26
262144              46171.82

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      23.98
2                      23.60
4                      22.44
8                      21.10
16                     16.35
32                     16.59
64                     19.44
128                    25.97
256                    37.82
512                    65.69
1024                  122.47
2048                  295.52
4096                  558.97
8192                 1145.09
16384                2235.91
32768                4811.11
65536                9846.02
131072              23244.09
262144              46212.89

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      24.28
2                      23.91
4                      22.39
8                      21.10
16                     16.42
32                     16.59
64                     19.42
128                    25.93
256                    37.89
512                    65.83
1024                  123.11
2048                  294.95
4096                  561.76
8192                 1162.33
16384                2221.26
32768                4776.47
65536                9819.49
131072              23247.86
262144              46167.46

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      23.83
2                      23.51
4                      22.32
8                      20.99
16                     16.24
32                     16.59
64                     19.62
128                    25.98
256                    37.83
512                    65.78
1024                  120.53
2048                  296.42
4096                  557.38
8192                 1148.50
16384                2224.84
32768                4801.76
65536                9884.86
131072              23326.17
262144              46215.62

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      23.91
2                      23.68
4                      22.43
8                      21.14
16                     16.55
32                     16.68
64                     19.54
128                    25.98
256                    38.01
512                    65.97
1024                  123.92
2048                  296.51
4096                  555.70
8192                 1144.39
16384                2223.33
32768                4788.68
65536                9801.20
131072              23143.54
262144              46120.58

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      23.81
2                      23.58
4                      22.35
8                      21.04
16                     16.27
32                     16.62
64                     19.45
128                    25.93
256                    37.94
512                    65.73
1024                  120.59
2048                  295.08
4096                  562.38
8192                 1149.15
16384                2225.65
32768                4800.65
65536                9806.38
131072              23212.63
262144              46075.85

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      23.91
2                      23.59
4                      22.39
8                      21.02
16                     16.28
32                     16.59
64                     19.44
128                    25.95
256                    37.94
512                    65.68
1024                  120.08
2048                  296.23
4096                  559.01
8192                 1144.32
16384                2229.40
32768                4800.74
65536                9815.73
131072              23268.87
262144              46174.35

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      23.94
2                      23.57
4                      22.36
8                      21.01
16                     16.32
32                     16.69
64                     19.44
128                    25.93
256                    37.87
512                    65.83
1024                  119.81
2048                  295.67
4096                  558.92
8192                 1147.65
16384                2230.26
32768                4818.50
65536                9856.18
131072              23318.33
262144              46211.31
