
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.91
2                      25.42
4                      24.49
8                      23.34
16                     18.75
32                     18.78
64                     21.49
128                    27.76
256                    40.79
512                    68.80
1024                  125.09
2048                  300.48
4096                  584.68
8192                 1178.36
16384                2641.08
32768                7096.76
65536               13662.59
131072              32649.77
262144              64467.33

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.65
2                      25.42
4                      24.40
8                      23.24
16                     18.72
32                     18.82
64                     21.51
128                    27.77
256                    40.80
512                    68.65
1024                  123.73
2048                  298.90
4096                  582.53
8192                 1215.22
16384                2534.27
32768                7550.76
65536               13810.93
131072              32683.44
262144              64532.14

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.69
2                      25.41
4                      24.49
8                      23.35
16                     18.76
32                     18.81
64                     21.49
128                    27.80
256                    40.83
512                    68.87
1024                  125.14
2048                  301.04
4096                  583.36
8192                 1192.28
16384                2659.24
32768                7120.58
65536               13824.23
131072              32816.98
262144              64602.96

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.77
2                      25.51
4                      24.60
8                      23.32
16                     18.79
32                     18.84
64                     21.63
128                    27.83
256                    40.81
512                    68.57
1024                  124.86
2048                  303.59
4096                  586.17
8192                 1188.67
16384                2645.65
32768                7289.03
65536               13773.52
131072              32747.27
262144              64689.83

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.73
2                      25.54
4                      24.67
8                      23.41
16                     18.73
32                     18.94
64                     21.52
128                    27.78
256                    40.90
512                    68.90
1024                  125.18
2048                  298.88
4096                  581.13
8192                 1181.83
16384                2606.20
32768                7570.09
65536               13626.90
131072              32718.86
262144              64787.50

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.67
2                      25.40
4                      24.46
8                      23.33
16                     18.74
32                     18.86
64                     21.54
128                    27.81
256                    40.82
512                    68.71
1024                  125.43
2048                  299.98
4096                  583.22
8192                 1201.12
16384                2615.71
32768                7066.46
65536               13761.51
131072              32642.38
262144              64551.19

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.68
2                      25.48
4                      24.40
8                      23.23
16                     18.76
32                     18.81
64                     21.47
128                    27.82
256                    40.76
512                    68.51
1024                  124.79
2048                  301.37
4096                  584.99
8192                 1173.99
16384                2720.80
32768                6990.05
65536               13584.07
131072              32616.91
262144              64563.50

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.60
2                      25.35
4                      24.41
8                      23.30
16                     18.76
32                     18.81
64                     21.48
128                    27.76
256                    40.75
512                    68.66
1024                  124.39
2048                  300.79
4096                  582.68
8192                 1189.64
16384                2630.94
32768                7099.21
65536               13638.11
131072              32785.29
262144              64704.96

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.62
2                      25.42
4                      24.49
8                      23.32
16                     18.69
32                     18.79
64                     21.49
128                    27.78
256                    40.79
512                    68.85
1024                  125.04
2048                  298.52
4096                  583.77
8192                 1178.30
16384                2655.70
32768                6963.48
65536               13783.70
131072              32726.40
262144              64847.88

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.69
2                      25.28
4                      24.41
8                      23.23
16                     18.70
32                     18.79
64                     21.48
128                    27.76
256                    40.79
512                    68.75
1024                  123.92
2048                  300.70
4096                  583.35
8192                 1185.17
16384                2654.87
32768                6919.06
65536               13791.15
131072              32752.67
262144              64651.99
