
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.99
2                      26.17
4                      28.53
8                      29.48
16                     30.80
32                     34.15
64                     42.94
128                    64.70
256                   158.16
512                   260.84
1024                  508.66
2048                  431.37
4096                  751.88
8192                 1567.63
16384                3938.74
32768                7969.59
65536               11673.52
131072              22211.00
262144              43520.16

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.32
2                      26.13
4                      28.40
8                      29.41
16                     30.81
32                     34.08
64                     42.77
128                    64.87
256                   157.85
512                   261.02
1024                  505.41
2048                  419.04
4096                  743.43
8192                 1558.10
16384                3953.18
32768                7876.17
65536               11655.15
131072              22205.45
262144              43576.37

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.16
2                      25.88
4                      28.74
8                      29.40
16                     30.83
32                     34.14
64                     42.95
128                    64.81
256                   157.96
512                   262.60
1024                  506.46
2048                  435.81
4096                  751.16
8192                 1573.08
16384                3942.91
32768                7933.95
65536               11654.57
131072              22207.56
262144              43595.01

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.30
2                      25.90
4                      28.48
8                      29.59
16                     30.72
32                     33.92
64                     42.87
128                    64.74
256                   157.83
512                   262.55
1024                  506.06
2048                  431.66
4096                  756.83
8192                 1571.06
16384                4038.87
32768                8015.48
65536               11657.23
131072              22240.93
262144              43614.99

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.17
2                      25.96
4                      28.36
8                      29.33
16                     30.77
32                     33.94
64                     43.38
128                    64.73
256                   158.32
512                   263.93
1024                  506.46
2048                  428.56
4096                  749.59
8192                 1583.43
16384                3951.28
32768                7907.51
65536               11663.09
131072              22276.60
262144              43617.50

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.07
2                      25.77
4                      28.28
8                      29.39
16                     30.76
32                     33.90
64                     43.03
128                    64.83
256                   158.15
512                   260.53
1024                  507.76
2048                  426.78
4096                  751.03
8192                 1574.46
16384                3943.03
32768                7960.25
65536               11678.25
131072              22232.03
262144              43605.86

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.03
2                      25.95
4                      28.39
8                      29.33
16                     30.84
32                     34.15
64                     42.75
128                    64.82
256                   158.64
512                   261.96
1024                  507.99
2048                  427.49
4096                  760.19
8192                 1574.05
16384                3953.44
32768                7861.31
65536               11641.44
131072              22184.12
262144              43555.30

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.04
2                      26.18
4                      28.39
8                      29.45
16                     31.01
32                     33.99
64                     42.92
128                    65.02
256                   158.14
512                   262.67
1024                  505.92
2048                  422.42
4096                  759.03
8192                 1568.06
16384                3927.03
32768                7901.94
65536               11675.10
131072              22212.86
262144              43545.55

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.11
2                      25.80
4                      28.42
8                      29.37
16                     30.70
32                     34.00
64                     42.86
128                    65.06
256                   157.89
512                   262.81
1024                  507.23
2048                  433.26
4096                  744.05
8192                 1562.03
16384                3970.24
32768                7915.38
65536               11631.47
131072              22198.71
262144              43500.53

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.09
2                      25.87
4                      28.42
8                      29.30
16                     30.74
32                     33.92
64                     42.77
128                    64.79
256                   157.43
512                   262.03
1024                  506.83
2048                  428.95
4096                  748.99
8192                 1581.61
16384                3957.72
32768                7882.85
65536               11666.46
131072              22248.05
262144              43621.45
