
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      49.04
2                      45.16
4                      41.94
8                      39.02
16                     37.36
32                     40.79
64                     48.37
128                    63.01
256                   100.45
512                   169.14
1024                  379.95
2048                  752.26
4096                 1406.09
8192                 3111.57
16384                6755.65
32768               13506.51
65536               26777.38
131072              58217.21
262144             115890.11

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      48.67
2                      44.98
4                      41.78
8                      38.19
16                     36.39
32                     39.62
64                     47.50
128                    62.17
256                   100.49
512                   172.39
1024                  376.36
2048                  752.75
4096                 1392.31
8192                 3145.42
16384                6745.42
32768               13502.29
65536               26763.32
131072              58323.71
262144             115890.14

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      49.26
2                      45.03
4                      41.67
8                      38.89
16                     36.70
32                     40.12
64                     47.97
128                    62.79
256                   101.61
512                   172.63
1024                  381.29
2048                  755.98
4096                 1404.84
8192                 3128.24
16384                6761.63
32768               13547.07
65536               26778.29
131072              58245.34
262144             115873.76

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      48.92
2                      45.08
4                      41.99
8                      39.09
16                     36.87
32                     41.53
64                     48.00
128                    63.03
256                   101.49
512                   171.27
1024                  379.34
2048                  751.93
4096                 1389.57
8192                 3153.77
16384                6799.72
32768               13526.54
65536               26735.78
131072              58209.06
262144             115784.43

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      48.95
2                      45.71
4                      41.99
8                      38.75
16                     37.31
32                     41.18
64                     48.70
128                    63.15
256                   101.06
512                   170.74
1024                  378.76
2048                  750.94
4096                 1387.72
8192                 3183.06
16384                6780.83
32768               13543.08
65536               26740.54
131072              58314.34
262144             115734.72

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      51.76
2                      47.40
4                      43.36
8                      49.39
16                     44.86
32                     51.27
64                     56.72
128                    71.58
256                   112.87
512                   178.72
1024                  383.67
2048                  758.24
4096                 1407.95
8192                 3166.48
16384                6801.49
32768               13535.00
65536               26665.81
131072              58233.87
262144             115755.72

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      49.17
2                      45.46
4                      42.61
8                      39.02
16                     37.63
32                     41.96
64                     49.84
128                    64.37
256                   103.28
512                   175.82
1024                  378.38
2048                  750.38
4096                 1397.57
8192                 3172.72
16384                6723.39
32768               13490.57
65536               26633.74
131072              58097.92
262144             115531.45

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      49.22
2                      45.60
4                      41.85
8                      40.21
16                     37.17
32                     41.20
64                     48.86
128                    65.20
256                   101.54
512                   170.51
1024                  376.79
2048                  751.12
4096                 1393.95
8192                 3091.28
16384                6734.05
32768               13489.33
65536               26700.68
131072              58203.14
262144             115518.72

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      48.97
2                      45.10
4                      42.02
8                      38.76
16                     37.24
32                     40.18
64                     47.94
128                    62.68
256                   100.11
512                   168.86
1024                  377.21
2048                  749.02
4096                 1412.33
8192                 3170.32
16384                6740.81
32768               13441.77
65536               26641.58
131072              58159.70
262144             115706.91

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      48.95
2                      45.32
4                      42.04
8                      40.91
16                     38.94
32                     41.26
64                     49.40
128                    63.48
256                   102.35
512                   173.17
1024                  377.69
2048                  750.22
4096                 1394.02
8192                 3121.17
16384                6718.00
32768               13428.87
65536               26722.71
131072              58117.79
262144             115614.65
