
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.61
2                      45.97
4                      42.67
8                      38.49
16                     36.43
32                     37.81
64                     41.80
128                    50.83
256                    70.24
512                   110.10
1024                  199.82
2048                  441.26
4096                  866.87
8192                 1744.09
16384                3986.08
32768                8934.60
65536               18166.64
131072              42180.81
262144              83823.84

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.42
2                      46.21
4                      43.05
8                      38.21
16                     36.33
32                     38.05
64                     41.89
128                    50.96
256                    70.68
512                   109.93
1024                  200.10
2048                  440.24
4096                  861.96
8192                 1766.68
16384                3969.69
32768                8984.17
65536               18111.79
131072              41878.94
262144              83270.60

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.73
2                      45.97
4                      42.80
8                      38.29
16                     36.32
32                     37.73
64                     41.77
128                    50.86
256                    70.31
512                   109.84
1024                  196.06
2048                  442.13
4096                  864.92
8192                 1744.26
16384                4000.79
32768                9048.85
65536               18204.87
131072              42226.90
262144              83933.26

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.68
2                      45.95
4                      42.58
8                      38.52
16                     36.13
32                     37.64
64                     41.68
128                    50.87
256                    70.38
512                   109.74
1024                  198.06
2048                  441.29
4096                  865.58
8192                 1752.24
16384                3954.36
32768                9113.88
65536               18216.80
131072              42203.87
262144              83989.27

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      43.47
2                      45.98
4                      42.71
8                      38.28
16                     36.14
32                     37.51
64                     41.72
128                    50.84
256                    70.48
512                   111.47
1024                  200.97
2048                  438.89
4096                  868.55
8192                 1778.41
16384                4025.86
32768                9122.93
65536               18324.38
131072              42438.45
262144              84289.18

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.70
2                      45.91
4                      42.71
8                      38.58
16                     36.09
32                     37.78
64                     41.78
128                    50.88
256                    70.48
512                   109.52
1024                  195.82
2048                  438.73
4096                  866.29
8192                 1751.51
16384                4008.05
32768                8914.85
65536               18440.08
131072              42651.08
262144              84845.96

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.64
2                      45.93
4                      42.63
8                      38.31
16                     36.25
32                     37.57
64                     41.73
128                    50.81
256                    70.07
512                   109.70
1024                  198.35
2048                  443.10
4096                  866.11
8192                 1758.98
16384                3980.74
32768                8939.81
65536               18202.72
131072              42178.77
262144              83866.01

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.61
2                      45.92
4                      42.64
8                      38.60
16                     36.32
32                     37.59
64                     41.75
128                    50.86
256                    70.34
512                   110.04
1024                  199.44
2048                  439.41
4096                  865.47
8192                 1741.93
16384                3908.11
32768                9290.34
65536               18302.01
131072              42169.66
262144              83802.18

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.71
2                      45.91
4                      43.02
8                      38.26
16                     36.37
32                     38.87
64                     41.97
128                    51.02
256                    70.67
512                   110.24
1024                  198.98
2048                  438.06
4096                  861.56
8192                 1745.96
16384                4007.98
32768                9065.21
65536               18225.07
131072              42179.48
262144              84110.92

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.71
2                      46.09
4                      42.93
8                      38.22
16                     36.46
32                     37.69
64                     41.77
128                    51.07
256                    70.15
512                   109.73
1024                  200.54
2048                  440.59
4096                  862.69
8192                 1760.18
16384                4016.36
32768                9151.65
65536               18220.03
131072              42149.72
262144              83840.10
