
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     241.84
2                     243.07
4                     242.46
8                     248.77
16                    241.98
32                    249.74
64                    272.23
128                   287.88
256                   401.39
512                   521.02
1024                  799.84
2048                 1331.87
4096                 2712.40
8192                 6038.12
16384               16480.68
32768               39951.51
65536               85251.81
131072             161783.70
262144             306109.49

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     240.86
2                     241.38
4                     242.84
8                     248.05
16                    273.10
32                   2416.44
64                    261.82
128                   289.34
256                   401.56
512                   530.60
1024                  805.72
2048                 1328.38
4096                 2707.34
8192                 6064.37
16384               16472.85
32768               40126.08
65536               85354.38
131072             161453.85
262144             305045.45

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     239.71
2                     240.38
4                     242.45
8                     248.56
16                    243.09
32                    249.25
64                    275.01
128                   290.42
256                   402.73
512                   523.15
1024                  800.21
2048                 1333.54
4096                 2715.53
8192                 6082.61
16384               16494.19
32768               40012.28
65536               85264.39
131072             161475.84
262144             305620.58

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     242.20
2                     241.39
4                     242.79
8                     248.44
16                    244.25
32                    249.17
64                    273.55
128                   289.86
256                   401.08
512                   520.26
1024                  802.57
2048                 1331.82
4096                 2709.29
8192                 6068.06
16384               16536.74
32768               40453.81
65536               85589.83
131072             161495.26
262144             306166.50

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     241.68
2                     241.06
4                     244.04
8                     248.58
16                    242.84
32                    249.75
64                    276.84
128                   290.95
256                   402.37
512                   521.46
1024                  801.60
2048                 1333.17
4096                 2691.97
8192                 6064.04
16384               16466.62
32768               39820.47
65536               85147.63
131072             161505.23
262144             306092.01

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     240.22
2                     240.61
4                     241.60
8                     248.13
16                    241.36
32                    248.45
64                    276.14
128                   289.50
256                   401.20
512                   521.19
1024                  800.78
2048                 1333.77
4096                 2708.63
8192                 6069.32
16384               16517.71
32768               39947.48
65536               85409.84
131072             161166.65
262144             305628.41

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     241.14
2                     241.21
4                     243.56
8                     249.50
16                    243.43
32                    247.72
64                    274.81
128                   288.46
256                   401.21
512                   526.07
1024                  802.19
2048                 1335.05
4096                 2716.60
8192                 6062.98
16384               16534.75
32768               39980.61
65536               85384.13
131072             161439.48
262144             304545.83

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     240.60
2                     240.51
4                     241.17
8                     246.93
16                    241.10
32                    247.64
64                    273.34
128                   289.02
256                   401.70
512                   521.34
1024                  803.39
2048                 1336.30
4096                 2703.34
8192                 6070.67
16384               16529.85
32768               40245.92
65536               85671.55
131072             161493.43
262144             305102.73

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     239.92
2                     239.91
4                     241.73
8                     248.04
16                    241.26
32                    248.23
64                    276.10
128                   288.99
256                   401.04
512                   521.27
1024                  804.59
2048                 1335.44
4096                 2720.79
8192                 6057.17
16384               16534.90
32768               40113.74
65536               85370.25
131072             161535.09
262144             304960.81

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     239.49
2                     239.73
4                     241.65
8                     247.02
16                    241.06
32                    247.98
64                    271.96
128                   288.38
256                   401.73
512                   522.93
1024                  803.48
2048                 1339.51
4096                 2715.10
8192                 6097.63
16384               16523.89
32768               40148.54
65536               85344.90
131072             161992.35
262144             304204.17
