
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      49.01
2                      45.31
4                      42.02
8                      39.18
16                     37.26
32                     40.75
64                     48.85
128                    65.02
256                   102.03
512                   174.22
1024                  379.87
2048                  752.73
4096                 1392.32
8192                 3106.06
16384                6729.26
32768               13562.96
65536               26691.79
131072              58119.75
262144             115517.78

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      49.04
2                      44.95
4                      41.94
8                      38.77
16                     36.96
32                     40.72
64                     49.00
128                    63.82
256                   101.62
512                   171.67
1024                  378.53
2048                  750.01
4096                 1399.98
8192                 3116.00
16384                6703.69
32768               13516.33
65536               26720.48
131072              58110.56
262144             115577.82

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      48.80
2                      44.86
4                      41.75
8                      38.35
16                     36.46
32                     39.61
64                     47.70
128                    61.90
256                    99.47
512                   168.77
1024                  376.58
2048                  742.13
4096                 1388.34
8192                 3178.11
16384                6736.40
32768               13463.68
65536               26650.39
131072              58094.13
262144             115390.05

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      49.06
2                      45.06
4                      41.73
8                      39.79
16                     37.61
32                     41.51
64                     49.59
128                    63.92
256                   102.70
512                   172.66
1024                  377.86
2048                  752.63
4096                 1402.42
8192                 3080.52
16384                6713.23
32768               13481.04
65536               26709.47
131072              58161.02
262144             115568.25

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      48.90
2                      45.12
4                      42.01
8                      39.05
16                     37.57
32                     40.57
64                     48.42
128                    63.42
256                   100.83
512                   171.62
1024                  377.64
2048                  753.84
4096                 1386.48
8192                 3137.30
16384                6706.50
32768               13522.42
65536               26695.87
131072              58235.49
262144             115618.40

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      49.53
2                      46.29
4                      43.48
8                      39.00
16                     37.19
32                     39.86
64                     48.12
128                    63.50
256                   101.17
512                   173.87
1024                  379.28
2048                  754.94
4096                 1408.29
8192                 3097.81
16384                6649.25
32768               13461.26
65536               26641.35
131072              58132.46
262144             115541.71

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      49.80
2                      45.22
4                      41.86
8                      38.88
16                     36.82
32                     40.89
64                     49.44
128                    63.37
256                   102.25
512                   172.76
1024                  378.67
2048                  753.96
4096                 1384.38
8192                 3128.83
16384                6740.71
32768               13484.33
65536               26697.34
131072              58330.38
262144             115518.42

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      49.00
2                      45.20
4                      41.75
8                      38.58
16                     36.79
32                     40.42
64                     48.09
128                    63.07
256                   100.36
512                   170.47
1024                  377.88
2048                  751.38
4096                 1397.74
8192                 3197.22
16384                6696.71
32768               13487.91
65536               26690.53
131072              58114.17
262144             115330.22

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      49.58
2                      44.93
4                      42.35
8                      39.78
16                     37.60
32                     42.95
64                     48.22
128                    63.92
256                   102.09
512                   170.88
1024                  378.74
2048                  754.04
4096                 1394.87
8192                 3119.73
16384                6696.74
32768               13516.29
65536               26696.61
131072              58091.67
262144             115395.73

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      48.93
2                      44.94
4                      41.83
8                      38.77
16                     36.76
32                     40.54
64                     48.62
128                    62.69
256                   100.77
512                   169.87
1024                  378.82
2048                  753.89
4096                 1396.04
8192                 3135.15
16384                6742.12
32768               13443.76
65536               26645.33
131072              58165.44
262144             115574.07
