
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     380.35
2                     407.28
4                     363.87
8                     367.87
16                    361.32
32                    368.33
64                    399.17
128                   388.89
256                   412.58
512                   502.80
1024                  529.14
2048                  718.01
4096                 1251.40
8192                 2529.42
16384                5853.10
32768               12088.29
65536               20473.97
131072              39426.54
262144              77719.62

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     375.64
2                     409.32
4                     365.88
8                     373.37
16                    362.28
32                    370.51
64                    401.51
128                   387.02
256                   408.51
512                   512.11
1024                  529.00
2048                  722.56
4096                 1259.93
8192                 2531.90
16384                5899.33
32768               11982.17
65536               20442.94
131072              39468.23
262144              77767.39

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     381.49
2                     404.52
4                     363.91
8                     368.27
16                    360.33
32                    367.81
64                    396.42
128                   386.49
256                   408.45
512                   507.02
1024                  530.27
2048                  724.03
4096                 1267.67
8192                 2538.27
16384                5940.51
32768               12085.99
65536               20416.53
131072              39467.10
262144              77708.13

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     383.74
2                     398.85
4                     363.62
8                     369.23
16                    363.21
32                    368.89
64                    405.45
128                   389.77
256                   411.49
512                   499.22
1024                  527.57
2048                  718.75
4096                 1255.59
8192                 2512.10
16384                5907.31
32768               12086.33
65536               20500.22
131072              39462.58
262144              77630.18

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     390.24
2                     405.55
4                     366.59
8                     370.97
16                    361.67
32                    369.36
64                    397.38
128                   386.80
256                   408.81
512                   494.14
1024                  527.31
2048                  723.48
4096                 1259.85
8192                 2521.11
16384                5884.81
32768               11998.07
65536               20466.42
131072              39489.76
262144              77815.15

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     382.43
2                     397.37
4                     363.61
8                     367.89
16                    358.93
32                    369.06
64                    397.31
128                   386.88
256                   408.86
512                   484.54
1024                  527.06
2048                  725.78
4096                 1256.69
8192                 2506.19
16384                5851.65
32768               11953.47
65536               20382.02
131072              39416.99
262144              77758.09

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     395.34
2                     403.30
4                     366.20
8                     368.05
16                    359.04
32                    367.92
64                    395.59
128                   386.81
256                   410.08
512                   499.50
1024                  528.17
2048                  720.37
4096                 1257.03
8192                 2541.80
16384                5929.16
32768               11950.05
65536               20460.30
131072              39421.06
262144              77607.24

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     382.52
2                     403.25
4                     364.86
8                     368.53
16                    360.18
32                    370.49
64                    398.03
128                   387.73
256                   409.44
512                   498.57
1024                  531.77
2048                  722.13
4096                 1261.90
8192                 2526.75
16384                5875.54
32768               11944.08
65536               20448.07
131072              39452.96
262144              77617.52

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     370.72
2                     410.62
4                     364.23
8                     368.78
16                    360.34
32                    368.16
64                    398.10
128                   390.36
256                   412.85
512                   504.35
1024                  530.70
2048                  731.00
4096                 1259.89
8192                 2536.13
16384                5848.40
32768               12061.23
65536               20423.88
131072              39511.82
262144              77632.60

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     378.70
2                     399.73
4                     368.60
8                     371.21
16                    363.15
32                    370.81
64                    404.00
128                   390.93
256                   409.58
512                   487.39
1024                  528.62
2048                  719.25
4096                 1255.48
8192                 2511.60
16384                5908.41
32768               11918.90
65536               20398.93
131072              39417.64
262144              77686.47
