
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     175.37
2                     174.48
4                     175.94
8                     179.30
16                    175.08
32                    179.09
64                    185.80
128                   205.08
256                   242.41
512                   342.39
1024                  372.38
2048                  448.98
4096                  755.67
8192                 1447.21
16384                3307.41
32768                6705.06
65536               11595.37
131072              22507.74
262144              44529.73
524288              88214.27
1048576            174734.60

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     176.69
2                     174.99
4                     176.01
8                     179.04
16                    174.85
32                    178.95
64                    185.22
128                   200.68
256                   240.17
512                   341.96
1024                  380.57
2048                  448.28
4096                  749.71
8192                 1432.71
16384                3278.83
32768                6641.12
65536               11589.07
131072              22471.15
262144              44470.08
524288              87987.49
1048576            174230.58

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     176.08
2                     175.76
4                     176.10
8                     179.85
16                    175.34
32                    179.86
64                    187.23
128                   205.03
256                   241.87
512                   341.75
1024                  384.41
2048                  448.62
4096                  748.81
8192                 1439.85
16384                3302.17
32768                6659.63
65536               11550.58
131072              22552.04
262144              44464.12
524288              88027.61
1048576            174250.71

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     175.31
2                     174.53
4                     175.75
8                     179.29
16                    175.01
32                    179.16
64                    185.64
128                   201.58
256                   241.27
512                   342.04
1024                  368.82
2048                  448.87
4096                  752.88
8192                 1449.48
16384                3285.46
32768                6732.02
65536               11615.66
131072              22521.01
262144              44508.33
524288              88134.51
1048576            174611.15

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     175.65
2                     174.67
4                     175.82
8                     179.51
16                    175.15
32                    179.25
64                    185.88
128                   201.22
256                   240.65
512                   341.28
1024                  369.87
2048                  448.63
4096                  751.16
8192                 1428.63
16384                3294.03
32768                6651.75
65536               11589.63
131072              22546.26
262144              44495.73
524288              87937.45
1048576            174145.97

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     175.46
2                     174.76
4                     175.97
8                     179.62
16                    175.28
32                    179.29
64                    185.75
128                   201.19
256                   241.39
512                   341.92
1024                  368.23
2048                  448.32
4096                  753.52
8192                 1446.31
16384                3281.39
32768                6704.91
65536               11588.41
131072              22537.68
262144              44507.35
524288              88121.41
1048576            174547.18

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     175.39
2                     174.54
4                     175.76
8                     179.41
16                    175.16
32                    179.32
64                    185.67
128                   201.23
256                   241.33
512                   341.56
1024                  363.50
2048                  448.12
4096                  750.77
8192                 1440.59
16384                3280.00
32768                6681.36
65536               11604.41
131072              22516.81
262144              44504.86
524288              88071.86
1048576            174473.52

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     175.34
2                     174.44
4                     175.83
8                     179.62
16                    175.12
32                    179.18
64                    185.49
128                   203.15
256                   240.63
512                   341.76
1024                  376.40
2048                  448.27
4096                  757.42
8192                 1454.35
16384                3316.56
32768                6751.32
65536               11620.62
131072              22592.85
262144              44512.80
524288              88175.82
1048576            175007.94

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     176.92
2                     176.11
4                     177.23
8                     181.02
16                    176.42
32                    180.58
64                    186.33
128                   204.16
256                   240.19
512                   341.54
1024                  368.59
2048                  449.03
4096                  756.00
8192                 1429.55
16384                3240.63
32768                6687.59
65536               11646.40
131072              22552.40
262144              44481.94
524288              88039.64
1048576            174247.30

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     175.39
2                     174.63
4                     176.21
8                     181.93
16                    177.66
32                    179.24
64                    185.53
128                   205.40
256                   240.12
512                   342.13
1024                  392.38
2048                  450.53
4096                  751.51
8192                 1437.63
16384                3288.93
32768                6632.88
65536               11595.49
131072              22556.66
262144              44517.87
524288              88192.06
1048576            174422.19
