
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     238.92
2                     239.53
4                     241.78
8                     247.48
16                    240.64
32                    246.80
64                    278.79
128                   295.10
256                   367.73
512                   474.29
1024                  571.12
2048                  714.61
4096                 1287.17
8192                 2418.85
16384                6063.53
32768               12271.88
65536               20202.60
131072              38671.45
262144              76678.69

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     239.56
2                     240.95
4                     240.61
8                     246.48
16                    250.20
32                    251.08
64                    283.24
128                   294.40
256                   369.48
512                   474.29
1024                  584.55
2048                  715.56
4096                 1275.55
8192                 2419.69
16384                6088.03
32768               12294.81
65536               20117.95
131072              38563.53
262144              76528.93

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     237.43
2                     239.19
4                     240.03
8                     245.79
16                    240.02
32                    247.80
64                    281.27
128                   292.93
256                   370.09
512                   474.15
1024                  567.61
2048                  708.46
4096                 1282.39
8192                 2405.92
16384                6122.19
32768               12285.17
65536               20113.32
131072              38648.06
262144              76613.69

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     238.95
2                     239.35
4                     238.80
8                     245.00
16                    239.18
32                    246.61
64                    280.38
128                   292.33
256                   368.34
512                   473.79
1024                  579.19
2048                  710.75
4096                 1286.33
8192                 2424.84
16384                6091.99
32768               12153.62
65536               20100.48
131072              38669.39
262144              76609.53

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     240.71
2                     238.72
4                     243.03
8                     246.35
16                    240.50
32                    247.81
64                    281.30
128                   292.46
256                   367.25
512                   473.30
1024                  567.89
2048                  710.66
4096                 1286.00
8192                 2398.83
16384                6077.20
32768               12305.22
65536               20123.56
131072              38632.40
262144              76525.45

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     237.94
2                     238.26
4                     239.49
8                     244.85
16                    238.89
32                    247.10
64                    281.22
128                   291.80
256                   367.12
512                   473.52
1024                  586.84
2048                  706.06
4096                 1293.29
8192                 2412.72
16384                6102.62
32768               12281.85
65536               20137.24
131072              38715.63
262144              76558.11

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     237.92
2                     237.74
4                     239.35
8                     245.22
16                    239.47
32                    247.07
64                    281.22
128                   292.75
256                   368.10
512                   473.84
1024                  576.68
2048                  710.11
4096                 1291.36
8192                 2429.66
16384                6118.13
32768               12267.08
65536               20177.77
131072              38724.80
262144              76694.43

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     237.86
2                     238.23
4                     239.69
8                     245.20
16                    239.63
32                    247.11
64                    281.45
128                   293.04
256                   368.24
512                   473.72
1024                  607.73
2048                  715.23
4096                 1299.05
8192                 2412.74
16384                6099.56
32768               12269.94
65536               20153.05
131072              38651.78
262144              76614.38

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     237.61
2                     238.39
4                     239.21
8                     245.64
16                    239.22
32                    247.36
64                    279.34
128                   292.43
256                   367.45
512                   473.80
1024                  602.15
2048                  719.99
4096                 1282.91
8192                 2422.40
16384                6114.06
32768               12283.96
65536               20145.72
131072              38654.58
262144              76625.77

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     237.71
2                     237.64
4                     239.29
8                     244.97
16                    240.33
32                    247.89
64                    280.92
128                   294.43
256                   369.30
512                   474.94
1024                  626.97
2048                  709.44
4096                 1283.83
8192                 2415.10
16384                6035.67
32768               12232.50
65536               20138.34
131072              38752.96
262144              76643.94
