
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.09
2                      45.74
4                      39.50
8                      46.08
16                     46.54
32                     49.18
64                     54.66
128                    72.06
256                   132.35
512                   243.74
1024                  568.66
2048                 1027.59
4096                 1979.72
8192                 4192.90
16384                8898.92
32768               18113.70
65536               36504.31
131072              78015.45
262144             155295.03

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.20
2                      45.94
4                      39.67
8                      46.21
16                     46.51
32                     49.18
64                     54.59
128                    72.42
256                   133.91
512                   245.96
1024                  567.72
2048                 1033.20
4096                 1974.22
8192                 4197.18
16384                8889.52
32768               18162.63
65536               36492.95
131072              77789.27
262144             155578.28

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.14
2                      45.79
4                      39.40
8                      46.11
16                     46.49
32                     49.08
64                     54.62
128                    71.95
256                   132.16
512                   243.67
1024                  568.47
2048                 1031.17
4096                 1984.87
8192                 4188.01
16384                8911.24
32768               18201.71
65536               36701.05
131072              78176.22
262144             155442.81

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.23
2                      45.77
4                      39.45
8                      46.06
16                     46.46
32                     49.08
64                     54.57
128                    72.08
256                   132.85
512                   248.58
1024                  567.73
2048                 1035.05
4096                 1976.54
8192                 4183.71
16384                8884.17
32768               18166.73
65536               36302.32
131072              77938.23
262144             155937.68

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.48
2                      45.70
4                      39.59
8                      46.02
16                     46.67
32                     49.04
64                     54.74
128                    72.23
256                   133.18
512                   245.67
1024                  568.31
2048                 1030.44
4096                 1989.65
8192                 4195.40
16384                8912.94
32768               18166.08
65536               36474.97
131072              77793.35
262144             155857.09

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.12
2                      45.82
4                      39.43
8                      46.23
16                     46.59
32                     49.16
64                     54.59
128                    72.36
256                   132.62
512                   241.64
1024                  566.10
2048                 1027.70
4096                 1977.03
8192                 4184.90
16384                8942.87
32768               18198.29
65536               36352.55
131072              78314.93
262144             155364.83

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.04
2                      45.71
4                      39.43
8                      46.41
16                     46.71
32                     49.40
64                     54.63
128                    72.39
256                   132.12
512                   244.03
1024                  568.11
2048                 1027.43
4096                 1983.02
8192                 4182.96
16384                8866.15
32768               18138.46
65536               36463.11
131072              78240.92
262144             155417.30

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.21
2                      46.00
4                      39.41
8                      46.36
16                     46.49
32                     49.15
64                     54.64
128                    72.01
256                   133.07
512                   240.51
1024                  566.26
2048                 1033.50
4096                 1984.16
8192                 4176.67
16384                8875.93
32768               18100.67
65536               36190.94
131072              78129.34
262144             154873.01

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.05
2                      45.76
4                      39.47
8                      46.18
16                     46.48
32                     49.14
64                     54.51
128                    72.10
256                   131.45
512                   243.68
1024                  565.30
2048                 1022.94
4096                 1974.76
8192                 4152.64
16384                8875.10
32768               18145.43
65536               36169.55
131072              77990.54
262144             155007.05

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.13
2                      45.99
4                      39.44
8                      46.05
16                     46.42
32                     49.06
64                     54.57
128                    72.18
256                   132.64
512                   246.41
1024                  568.93
2048                 1029.05
4096                 1977.06
8192                 4169.00
16384                8901.73
32768               18184.52
65536               36208.85
131072              77755.31
262144             154973.65
