
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     545.04
2                     547.70
4                     558.60
8                     562.71
16                    544.29
32                    554.78
64                    571.02
128                   588.68
256                   685.25
512                   760.85
1024                 1138.15
2048                 1629.11
4096                 2699.06
8192                 5432.68
16384               13860.27
32768               29952.91
65536               61049.13
131072             124167.72
262144             233037.23

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     544.51
2                     546.01
4                     556.46
8                     562.29
16                    544.01
32                    554.73
64                    569.44
128                   589.69
256                   684.43
512                   761.00
1024                 1138.64
2048                 1630.45
4096                 2674.94
8192                 5419.51
16384               14319.38
32768               29610.03
65536               61314.77
131072             124850.81
262144             233444.38

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     544.79
2                     546.26
4                     556.53
8                     562.20
16                    544.00
32                    554.48
64                    569.67
128                   589.21
256                   684.31
512                   761.18
1024                 1138.69
2048                 1624.59
4096                 2668.93
8192                 5407.76
16384               13827.16
32768               29693.97
65536               61231.81
131072             124878.79
262144             233302.77

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     544.88
2                     546.16
4                     557.76
8                     561.95
16                    543.81
32                    554.44
64                    570.36
128                   588.73
256                   684.33
512                   760.92
1024                 1137.63
2048                 1614.89
4096                 2691.93
8192                 5450.07
16384               13823.23
32768               29754.95
65536               61484.28
131072             124538.97
262144             233276.55

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     545.12
2                     546.50
4                     557.05
8                     563.09
16                    544.48
32                    555.04
64                    570.67
128                   588.74
256                   684.47
512                   760.95
1024                 1142.04
2048                 1621.66
4096                 2678.26
8192                 5426.48
16384               13821.23
32768               29852.58
65536               60579.45
131072             124209.98
262144             232849.97

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     544.62
2                     546.21
4                     557.03
8                     562.26
16                    543.99
32                    554.82
64                    570.00
128                   588.35
256                   684.48
512                   761.53
1024                 1134.94
2048                 1618.74
4096                 2669.16
8192                 5422.68
16384               13822.29
32768               29863.14
65536               60749.39
131072             124457.74
262144             233070.84

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     544.67
2                     546.45
4                     556.77
8                     562.25
16                    543.81
32                    554.56
64                    569.95
128                   589.75
256                   685.37
512                   762.11
1024                 1141.32
2048                 1626.10
4096                 2665.26
8192                 5410.93
16384               13885.36
32768               29974.47
65536               60920.09
131072             124395.03
262144             233248.72

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     544.77
2                     546.96
4                     557.82
8                     562.33
16                    543.99
32                    554.81
64                    570.46
128                   589.69
256                   685.38
512                   760.61
1024                 1138.14
2048                 1617.94
4096                 2654.25
8192                 5451.78
16384               13933.12
32768               29783.07
65536               60980.24
131072             124645.61
262144             233569.45

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     544.65
2                     546.19
4                     558.14
8                     562.19
16                    544.10
32                    554.69
64                    570.38
128                   589.12
256                   684.57
512                   760.40
1024                 1138.58
2048                 1645.95
4096                 2709.33
8192                 5455.47
16384               13912.63
32768               29645.75
65536               61013.87
131072             124585.98
262144             233219.86

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     545.00
2                     546.59
4                     557.26
8                     562.46
16                    544.09
32                    554.66
64                    570.55
128                   588.61
256                   684.21
512                   760.47
1024                 1135.39
2048                 1625.89
4096                 2662.54
8192                 5405.12
16384               13776.04
32768               29951.23
65536               61262.04
131072             125003.62
262144             233354.80
