
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     329.82
2                     330.13
4                     334.11
8                     340.92
16                    345.13
32                    339.98
64                    352.27
128                   382.70
256                   463.16
512                   572.45
1024                  858.12
2048                 1346.64
4096                 2385.30
8192                 4864.43
16384               13620.09
32768               28233.63
65536               59014.40
131072             127035.34
262144             253419.04

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     329.57
2                     330.58
4                     333.26
8                     341.10
16                    343.87
32                    339.64
64                    352.21
128                   382.26
256                   464.92
512                   570.52
1024                  857.20
2048                 1347.89
4096                 2382.53
8192                 4857.23
16384               13638.74
32768               28386.69
65536               59066.76
131072             126904.70
262144             253598.69

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     329.86
2                     330.67
4                     336.02
8                     343.16
16                    343.17
32                    339.84
64                    352.51
128                   382.62
256                   463.01
512                   570.21
1024                  858.39
2048                 1346.07
4096                 2378.31
8192                 4863.07
16384               13654.57
32768               28147.29
65536               58902.40
131072             126839.98
262144             253607.32

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     329.76
2                     330.51
4                     333.84
8                     341.25
16                    344.07
32                    339.86
64                    353.60
128                   385.91
256                   463.33
512                   572.34
1024                  856.68
2048                 1348.17
4096                 2380.46
8192                 4860.91
16384               13622.96
32768               28272.61
65536               58961.57
131072             126972.98
262144             253545.18

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     329.52
2                     330.52
4                     333.70
8                     341.29
16                    346.96
32                    339.83
64                    352.81
128                   382.62
256                   462.98
512                   571.01
1024                  857.20
2048                 1347.21
4096                 2378.82
8192                 4847.59
16384               13545.02
32768               28222.33
65536               58961.19
131072             126894.09
262144             253683.72

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     329.35
2                     330.16
4                     333.59
8                     340.63
16                    344.94
32                    339.69
64                    352.38
128                   382.96
256                   464.70
512                   571.51
1024                  860.58
2048                 1348.31
4096                 2384.29
8192                 4834.03
16384               13658.29
32768               28579.95
65536               59146.13
131072             127005.94
262144             253387.37

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     329.88
2                     330.54
4                     334.23
8                     341.32
16                    347.87
32                    339.90
64                    352.56
128                   383.01
256                   462.88
512                   570.69
1024                  860.85
2048                 1349.85
4096                 2386.51
8192                 4852.43
16384               13650.78
32768               28384.86
65536               58908.70
131072             126981.71
262144             253495.57

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     329.66
2                     330.19
4                     333.68
8                     340.95
16                    345.69
32                    340.25
64                    352.41
128                   384.27
256                   465.63
512                   572.50
1024                  859.18
2048                 1346.89
4096                 2371.98
8192                 4850.78
16384               13652.40
32768               28380.91
65536               58995.85
131072             126885.73
262144             253588.49

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     329.81
2                     330.57
4                     333.45
8                     341.42
16                    350.59
32                    340.63
64                    352.46
128                   382.67
256                   463.49
512                   572.52
1024                  858.64
2048                 1345.59
4096                 2375.60
8192                 4863.50
16384               13536.41
32768               28314.83
65536               59180.03
131072             126934.19
262144             253541.04

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     329.77
2                     330.16
4                     333.70
8                     340.88
16                    346.31
32                    340.74
64                    353.36
128                   384.66
256                   464.96
512                   572.55
1024                  857.68
2048                 1347.96
4096                 2376.97
8192                 4860.68
16384               13554.04
32768               28289.71
65536               58885.29
131072             126675.12
262144             253526.69
