
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     480.58
2                     510.30
4                     473.56
8                     477.18
16                    480.80
32                    528.30
64                    517.40
128                   518.77
256                   521.01
512                   593.76
1024                  676.78
2048                  807.05
4096                 1275.91
8192                 2145.56
16384                5668.31
32768                9447.53
65536               14809.68
131072              28285.04
262144              57320.32
524288             114433.39
1048576            231879.21

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     479.79
2                     509.76
4                     473.43
8                     476.84
16                    481.03
32                    541.89
64                    515.13
128                   522.79
256                   521.11
512                   562.96
1024                  644.37
2048                  760.09
4096                 1195.32
8192                 2113.15
16384                5005.26
32768                9328.60
65536               14999.39
131072              28248.17
262144              56961.79
524288             114118.72
1048576            231101.90

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     479.10
2                     509.60
4                     472.39
8                     476.27
16                    481.14
32                    532.33
64                    514.02
128                   522.31
256                   518.63
512                   564.24
1024                  640.10
2048                  765.35
4096                 1202.57
8192                 2103.14
16384                5152.63
32768                9242.70
65536               14991.57
131072              28279.98
262144              57008.90
524288             114015.34
1048576            231584.89

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     480.40
2                     487.45
4                     474.29
8                     479.35
16                    480.15
32                    505.51
64                    511.40
128                   516.71
256                   516.43
512                   563.39
1024                  633.70
2048                  757.35
4096                 1219.57
8192                 2094.56
16384                4946.70
32768                9278.08
65536               14958.89
131072              28262.69
262144              56904.80
524288             113987.14
1048576            231080.81

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     479.16
2                     513.56
4                     474.27
8                     476.98
16                    481.07
32                    527.46
64                    509.11
128                   516.51
256                   516.20
512                   562.87
1024                  634.78
2048                  758.08
4096                 1204.19
8192                 2104.47
16384                4948.04
32768                9238.45
65536               15163.11
131072              28245.81
262144              56907.87
524288             113934.24
1048576            231000.92

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     479.95
2                     514.29
4                     472.90
8                     477.68
16                    481.05
32                    539.00
64                    515.83
128                   521.01
256                   517.30
512                   568.16
1024                  641.15
2048                  759.60
4096                 1194.95
8192                 2108.60
16384                5177.47
32768                9198.65
65536               14986.89
131072              28274.83
262144              57013.07
524288             114064.52
1048576            231239.44

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     479.38
2                     508.35
4                     473.44
8                     476.15
16                    480.99
32                    533.98
64                    516.11
128                   518.30
256                   516.77
512                   571.10
1024                  642.95
2048                  763.49
4096                 1201.50
8192                 2104.46
16384                4997.58
32768                9155.67
65536               14980.95
131072              28253.34
262144              56937.82
524288             113978.75
1048576            231144.60

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     479.78
2                     516.03
4                     473.78
8                     478.41
16                    481.94
32                    541.04
64                    515.23
128                   520.72
256                   519.14
512                   564.74
1024                  636.67
2048                  765.11
4096                 1196.71
8192                 2089.65
16384                5167.33
32768                9349.89
65536               15106.01
131072              28240.04
262144              57016.87
524288             114150.21
1048576            231040.27

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     479.58
2                     507.64
4                     472.67
8                     476.37
16                    480.34
32                    543.28
64                    513.84
128                   522.29
256                   517.93
512                   571.50
1024                  639.92
2048                  763.00
4096                 1202.38
8192                 2083.95
16384                5059.27
32768                9199.93
65536               15117.39
131072              28239.81
262144              56978.13
524288             113808.68
1048576            230644.45

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     479.10
2                     508.76
4                     472.78
8                     476.29
16                    480.82
32                    534.21
64                    512.32
128                   522.21
256                   517.00
512                   568.28
1024                  636.65
2048                  760.94
4096                 1196.05
8192                 2104.27
16384                4941.91
32768                9210.09
65536               15089.41
131072              28269.86
262144              57065.08
524288             114119.84
1048576            231221.37
