
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     480.67
2                     510.86
4                     471.66
8                     474.72
16                    478.85
32                    529.67
64                    508.99
128                   516.95
256                   515.95
512                   609.41
1024                  684.85
2048                  807.74
4096                 1231.19
8192                 2061.18
16384                5604.13
32768                9497.00
65536               15115.88
131072              29041.20
262144              58298.39
524288             116697.62
1048576            235768.83

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     473.23
2                     482.31
4                     464.89
8                     469.58
16                    472.21
32                    499.34
64                    499.70
128                   510.83
256                   510.43
512                   552.79
1024                  625.44
2048                  758.98
4096                 1192.60
8192                 2054.91
16384                4762.09
32768                9495.11
65536               15389.19
131072              29034.39
262144              58175.83
524288             116560.50
1048576            236125.15

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     470.31
2                     480.73
4                     466.49
8                     468.33
16                    470.96
32                    515.02
64                    497.20
128                   499.24
256                   503.57
512                   549.00
1024                  619.63
2048                  757.78
4096                 1190.47
8192                 2042.94
16384                4753.34
32768                9776.49
65536               15323.23
131072              29006.74
262144              58169.51
524288             116593.13
1048576            235754.83

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     470.44
2                     501.94
4                     464.48
8                     468.65
16                    472.67
32                    525.24
64                    507.64
128                   490.60
256                   506.03
512                   559.99
1024                  632.55
2048                  760.27
4096                 1188.11
8192                 2071.84
16384                4828.21
32768                9634.75
65536               15401.15
131072              29008.39
262144              58153.51
524288             116567.21
1048576            235824.34

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     470.05
2                     478.02
4                     463.72
8                     468.36
16                    470.90
32                    507.60
64                    498.50
128                   489.05
256                   507.03
512                   550.08
1024                  620.52
2048                  760.99
4096                 1193.52
8192                 2036.75
16384                4736.35
32768                9681.54
65536               15285.32
131072              28975.98
262144              58011.38
524288             116491.18
1048576            235542.82

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     471.07
2                     504.24
4                     464.97
8                     468.20
16                    471.76
32                    513.37
64                    503.32
128                   489.33
256                   508.32
512                   549.23
1024                  621.00
2048                  757.54
4096                 1196.13
8192                 2062.12
16384                4865.88
32768                9777.14
65536               15354.30
131072              29138.16
262144              58244.54
524288             116695.34
1048576            236050.14

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     470.36
2                     478.99
4                     464.60
8                     468.64
16                    470.51
32                    502.58
64                    499.90
128                   505.68
256                   508.92
512                   550.65
1024                  621.66
2048                  755.97
4096                 1194.06
8192                 2048.13
16384                4799.59
32768                9631.33
65536               15308.42
131072              29089.20
262144              58254.33
524288             116859.40
1048576            235910.86

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     470.39
2                     478.48
4                     464.27
8                     468.77
16                    471.39
32                    514.55
64                    501.18
128                   489.48
256                   506.40
512                   551.00
1024                  622.23
2048                  756.06
4096                 1202.51
8192                 2071.57
16384                4828.46
32768                9582.56
65536               15373.48
131072              29072.09
262144              58236.28
524288             116643.26
1048576            235969.98

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     470.43
2                     505.63
4                     464.28
8                     468.04
16                    471.71
32                    522.91
64                    501.95
128                   489.39
256                   508.19
512                   555.21
1024                  628.81
2048                  758.47
4096                 1199.05
8192                 2063.97
16384                4792.86
32768                9552.09
65536               15375.22
131072              29007.47
262144              58109.87
524288             116568.54
1048576            235771.72

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     501.81
2                     509.11
4                     497.36
8                     503.51
16                    536.27
32                    511.24
64                    533.13
128                   533.51
256                   558.22
512                   577.37
1024                  638.99
2048                  779.44
4096                 1246.61
8192                 2151.55
16384                4885.83
32768                9228.36
65536               15195.45
131072              29000.59
262144              58041.06
524288             116598.78
1048576            236087.74
