
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     544.68
2                     550.99
4                     553.51
8                     562.96
16                    548.72
32                    555.05
64                    564.88
128                   589.18
256                   689.75
512                   762.25
1024                 1137.27
2048                 1610.12
4096                 2664.26
8192                 5382.61
16384               13816.16
32768               29817.06
65536               61142.28
131072             124525.38
262144             233366.90
524288             425517.69
1048576            794506.21

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     545.56
2                     551.44
4                     554.01
8                     564.60
16                    549.72
32                    555.94
64                    566.26
128                   589.32
256                   690.94
512                   762.73
1024                 1133.94
2048                 1617.69
4096                 2679.65
8192                 5412.17
16384               13824.69
32768               29769.85
65536               61329.07
131072             124533.16
262144             233302.33
524288             424870.94
1048576            795604.34

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     545.75
2                     552.23
4                     553.57
8                     564.26
16                    549.83
32                    555.89
64                    565.30
128                   588.82
256                   689.92
512                   762.34
1024                 1136.91
2048                 1629.50
4096                 2704.46
8192                 5381.84
16384               13777.16
32768               29655.90
65536               61284.24
131072             124116.72
262144             233111.52
524288             440728.24
1048576            796990.12

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     545.21
2                     551.44
4                     553.18
8                     563.56
16                    549.20
32                    555.67
64                    565.40
128                   588.63
256                   689.22
512                   762.17
1024                 1138.74
2048                 1638.41
4096                 2670.78
8192                 5405.50
16384               14092.48
32768               29694.73
65536               61162.47
131072             123535.01
262144             232557.44
524288             424920.88
1048576            795618.58

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     545.34
2                     551.69
4                     552.41
8                     563.93
16                    549.02
32                    555.42
64                    565.30
128                   589.25
256                   690.82
512                   762.74
1024                 1137.62
2048                 1638.85
4096                 2670.14
8192                 5406.16
16384               13728.95
32768               29783.89
65536               61582.86
131072             124286.96
262144             232997.77
524288             424700.01
1048576            794835.80
