
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.75
2                      25.53
4                      28.29
8                      29.26
16                     30.62
32                     33.81
64                     42.72
128                    64.55
256                   158.02
512                   262.30
1024                  515.33
2048                  404.31
4096                  847.01
8192                 1500.08
16384                4031.22
32768                7825.92
65536               11651.58
131072              22223.42
262144              43562.92
524288              85326.76
1048576            167748.13

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.67
2                      25.77
4                      28.11
8                      29.12
16                     30.84
32                     33.87
64                     42.75
128                    64.90
256                   159.01
512                   263.75
1024                  510.66
2048                  392.79
4096                  840.09
8192                 1515.62
16384                4132.36
32768                7974.47
65536               11665.81
131072              22173.78
262144              43643.32
524288              85496.81
1048576            168924.03

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.72
2                      25.56
4                      28.12
8                      29.15
16                     30.45
32                     33.66
64                     42.62
128                    64.50
256                   157.86
512                   263.02
1024                  512.84
2048                  388.85
4096                  820.49
8192                 1521.34
16384                4125.42
32768                7910.93
65536               11667.48
131072              22221.37
262144              43561.23
524288              85743.46
1048576            169321.49

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.77
2                      25.50
4                      28.13
8                      29.18
16                     30.58
32                     33.77
64                     42.75
128                    64.67
256                   158.97
512                   262.18
1024                  514.84
2048                  385.13
4096                  832.40
8192                 1514.12
16384                4098.56
32768                7908.65
65536               11654.66
131072              22234.98
262144              43659.77
524288              85512.91
1048576            168275.29

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.77
2                      25.74
4                      28.18
8                      29.19
16                     30.66
32                     33.69
64                     42.80
128                    64.80
256                   159.09
512                   262.45
1024                  513.16
2048                  387.68
4096                  836.62
8192                 1512.72
16384                4072.07
32768                7914.90
65536               11631.79
131072              22245.24
262144              43592.37
524288              85458.78
1048576            168425.63
