
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     757.59
2                     712.93
4                     715.00
8                     776.86
16                    744.75
32                    743.84
64                    762.73
128                   771.58
256                   774.85
512                   821.65
1024                  994.06
2048                 1239.04
4096                 1907.47
8192                 3375.05
16384                8158.59
32768               16133.23
65536               24302.85
131072              49486.32
262144              99348.57
524288             202788.46
1048576            409922.14

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     755.57
2                     711.06
4                     715.65
8                     782.05
16                    747.38
32                    754.57
64                    768.28
128                   770.35
256                   774.71
512                   834.51
1024                 1040.54
2048                 1257.32
4096                 1896.16
8192                 3396.35
16384                8162.95
32768               16079.43
65536               24305.72
131072              49642.15
262144              99437.44
524288             202887.07
1048576            410021.53

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     759.99
2                     711.11
4                     717.26
8                     775.89
16                    751.29
32                    756.85
64                    766.98
128                   770.07
256                   772.09
512                   821.35
1024                 1017.87
2048                 1237.62
4096                 1910.13
8192                 3371.70
16384                8125.28
32768               16217.92
65536               24285.89
131072              49519.59
262144              99353.12
524288             202707.26
1048576            409945.18

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     756.98
2                     712.44
4                     714.46
8                     782.42
16                    750.06
32                    754.27
64                    769.71
128                   769.88
256                   774.57
512                   826.16
1024                 1037.17
2048                 1238.34
4096                 1912.32
8192                 3375.28
16384                8196.86
32768               16353.68
65536               24295.15
131072              49583.26
262144              99592.14
524288             203062.15
1048576            410600.95

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     757.54
2                     712.80
4                     715.89
8                     782.20
16                    750.61
32                    752.25
64                    769.25
128                   770.34
256                   774.73
512                   826.84
1024                 1051.14
2048                 1238.83
4096                 1901.39
8192                 3387.39
16384                8148.75
32768               16123.38
65536               24320.39
131072              49587.80
262144              99506.16
524288             203206.65
1048576            410777.80
