
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.36
2                      28.35
4                      24.18
8                      19.24
16                     19.22
32                     21.77
64                     26.93
128                    38.04
256                    69.00
512                   122.80
1024                  282.47
2048                  564.80
4096                 1119.82
8192                 2467.11
16384                8080.93
32768               13499.92
65536               25352.06
131072              59945.13
262144             118993.98

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.07
2                      28.25
4                      24.12
8                      18.88
16                     18.76
32                     21.48
64                     26.59
128                    37.62
256                    69.26
512                   122.93
1024                  283.01
2048                  565.68
4096                 1120.84
8192                 2521.33
16384                8078.45
32768               13556.10
65536               25365.93
131072              59901.17
262144             119072.83

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.75
2                      28.69
4                      24.51
8                      19.62
16                     19.22
32                     21.92
64                     27.21
128                    37.93
256                    69.19
512                   122.48
1024                  281.21
2048                  565.40
4096                 1118.87
8192                 2493.75
16384                8060.67
32768               13347.31
65536               25258.11
131072              59769.00
262144             118802.75

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.64
2                      28.56
4                      24.22
8                      19.41
16                     19.13
32                     21.91
64                     27.20
128                    38.36
256                    70.23
512                   124.08
1024                  282.61
2048                  564.93
4096                 1120.44
8192                 2480.91
16384                8100.81
32768               13513.26
65536               25317.72
131072              59862.48
262144             118942.31

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.12
2                      28.22
4                      24.21
8                      18.78
16                     18.78
32                     21.35
64                     26.57
128                    37.60
256                    69.05
512                   123.38
1024                  283.63
2048                  563.08
4096                 1119.83
8192                 2462.98
16384                8129.63
32768               13514.69
65536               25290.81
131072              59939.99
262144             119036.80
