
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.39
2                      29.11
4                      25.17
8                      19.45
16                     19.15
32                     22.11
64                     27.73
128                    38.31
256                    69.07
512                   122.57
1024                  282.15
2048                  567.98
4096                 1132.05
8192                 2493.65
16384                8067.21
32768               13788.34
65536               25734.43
131072              59899.52
262144             118086.34

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.43
2                      29.08
4                      25.53
8                      19.98
16                     19.39
32                     22.65
64                     28.09
128                    38.63
256                    69.42
512                   123.07
1024                  282.04
2048                  570.21
4096                 1139.89
8192                 2509.04
16384                8034.31
32768               13754.94
65536               25766.79
131072              60035.48
262144             118369.56

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.02
2                      28.67
4                      24.71
8                      18.94
16                     18.85
32                     21.82
64                     27.28
128                    37.81
256                    69.25
512                   123.41
1024                  282.62
2048                  569.43
4096                 1126.18
8192                 2524.54
16384                8090.99
32768               13773.36
65536               25763.78
131072              60079.06
262144             118594.07

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.52
2                      29.02
4                      24.76
8                      19.47
16                     19.80
32                     22.48
64                     27.83
128                    38.13
256                    69.06
512                   121.84
1024                  281.10
2048                  564.43
4096                 1122.92
8192                 2498.31
16384                8069.72
32768               13771.28
65536               25767.71
131072              60101.18
262144             118430.51

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.11
2                      28.91
4                      24.87
8                      19.29
16                     19.14
32                     22.44
64                     27.64
128                    38.16
256                    69.35
512                   123.26
1024                  283.75
2048                  567.58
4096                 1117.74
8192                 2493.40
16384                8091.70
32768               13762.56
65536               25685.47
131072              59997.12
262144             117958.08
