
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.65
2                      25.27
4                      27.87
8                      28.86
16                     30.59
32                     33.42
64                     42.50
128                    64.41
256                   157.92
512                   261.47
1024                  507.36
2048                  431.06
4096                  763.50
8192                 1569.49
16384                3921.60
32768                7927.36
65536               11675.21
131072              22220.35
262144              43537.42

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.59
2                      25.24
4                      27.90
8                      29.02
16                     30.37
32                     33.54
64                     42.51
128                    64.64
256                   158.18
512                   262.32
1024                  507.69
2048                  438.10
4096                  764.69
8192                 1601.08
16384                3983.34
32768                7974.12
65536               11658.37
131072              22223.62
262144              43567.86

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.47
2                      25.22
4                      27.83
8                      28.85
16                     30.26
32                     33.54
64                     42.39
128                    64.24
256                   157.81
512                   262.72
1024                  507.79
2048                  421.35
4096                  753.25
8192                 1577.46
16384                3924.15
32768                7934.12
65536               11657.47
131072              22209.20
262144              43576.43

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.49
2                      25.18
4                      27.85
8                      28.93
16                     30.23
32                     33.41
64                     42.52
128                    64.49
256                   157.62
512                   262.97
1024                  511.73
2048                  433.36
4096                  759.94
8192                 1581.42
16384                3975.95
32768                7939.09
65536               11699.66
131072              22246.47
262144              43529.06

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.46
2                      25.23
4                      27.99
8                      28.85
16                     30.21
32                     34.09
64                     42.62
128                    64.73
256                   158.92
512                   263.40
1024                  509.65
2048                  431.74
4096                  755.09
8192                 1602.30
16384                3961.75
32768                7918.99
65536               11676.46
131072              22215.94
262144              43699.20
