
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      51.63
2                      48.09
4                      44.39
8                      41.56
16                     39.63
32                     42.88
64                     50.45
128                    66.00
256                   105.71
512                   178.53
1024                  393.03
2048                  788.97
4096                 1577.01
8192                 3651.69
16384                8993.23
32768               16666.67
65536               32538.83
131072              75250.77
262144             150123.34

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      51.43
2                      48.03
4                      44.39
8                      41.53
16                     40.32
32                     43.24
64                     51.35
128                    65.51
256                   105.52
512                   174.83
1024                  393.56
2048                  792.21
4096                 1557.80
8192                 3654.87
16384                8966.32
32768               16658.33
65536               32470.29
131072              75160.40
262144             149997.76

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      51.31
2                      48.08
4                      44.39
8                      41.67
16                     39.94
32                     43.48
64                     51.03
128                    65.77
256                   105.49
512                   178.02
1024                  395.23
2048                  792.03
4096                 1559.77
8192                 3622.08
16384                8968.73
32768               16569.66
65536               32498.46
131072              75259.14
262144             150173.31

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      51.25
2                      47.94
4                      44.48
8                      41.68
16                     39.48
32                     42.56
64                     50.02
128                    64.82
256                   105.35
512                   175.03
1024                  392.17
2048                  792.88
4096                 1571.52
8192                 3703.17
16384                8946.80
32768               16650.38
65536               32458.50
131072              75165.79
262144             149851.70

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      51.57
2                      47.93
4                      44.60
8                      41.71
16                     40.25
32                     43.57
64                     50.56
128                    65.98
256                   105.09
512                   177.65
1024                  391.83
2048                  788.74
4096                 1558.97
8192                 3690.00
16384                8923.42
32768               16604.42
65536               32498.75
131072              75384.99
262144             150181.48
