
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      51.38
2                      47.89
4                      45.18
8                      42.09
16                     40.26
32                     43.59
64                     51.41
128                    65.27
256                   105.14
512                   176.39
1024                  393.84
2048                  790.07
4096                 1571.58
8192                 3618.07
16384                9029.93
32768               16826.12
65536               32878.69
131072              75326.04
262144             149602.44

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      51.41
2                      47.61
4                      45.08
8                      41.24
16                     39.36
32                     42.87
64                     50.73
128                    64.60
256                   104.24
512                   175.03
1024                  392.31
2048                  791.48
4096                 1555.10
8192                 3651.54
16384                9028.91
32768               16837.73
65536               32899.56
131072              75282.96
262144             149896.32

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      51.39
2                      47.81
4                      45.02
8                      41.84
16                     39.81
32                     43.31
64                     51.33
128                    65.57
256                   105.65
512                   177.71
1024                  395.45
2048                  793.70
4096                 1559.31
8192                 3739.40
16384                9022.95
32768               16861.35
65536               32871.45
131072              75205.25
262144             149754.19

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      51.78
2                      47.79
4                      44.90
8                      41.94
16                     39.85
32                     44.00
64                     51.45
128                    65.60
256                   105.04
512                   175.42
1024                  393.51
2048                  790.97
4096                 1553.69
8192                 3646.15
16384                9029.52
32768               16859.24
65536               32832.07
131072              75203.87
262144             149474.23

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                      51.40
2                      47.79
4                      45.13
8                      42.61
16                     40.61
32                     44.00
64                     51.40
128                    65.79
256                   106.21
512                   179.10
1024                  392.58
2048                  788.90
4096                 1577.17
8192                 3586.16
16384                8942.22
32768               16753.90
65536               32795.58
131072              75245.56
262144             149613.89
