
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     237.85
2                     237.82
4                     239.57
8                     245.16
16                    239.14
32                    247.02
64                    280.29
128                   292.54
256                   368.11
512                   473.73
1024                  572.70
2048                  707.68
4096                 1288.41
8192                 2426.45
16384                6088.12
32768               12272.39
65536               20179.01
131072              38719.31
262144              76798.60

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     237.85
2                     237.88
4                     239.52
8                     245.05
16                    239.35
32                    247.05
64                    281.22
128                   293.03
256                   367.85
512                   473.52
1024                  575.38
2048                  715.36
4096                 1286.68
8192                 2406.22
16384                6094.72
32768               12298.62
65536               20112.63
131072              38639.50
262144              76570.36

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     237.41
2                     237.84
4                     239.07
8                     245.05
16                    238.93
32                    246.91
64                    278.56
128                   292.70
256                   369.01
512                   474.90
1024                  573.96
2048                  714.79
4096                 1288.84
8192                 2413.02
16384                6088.54
32768               12262.12
65536               20172.46
131072              38643.07
262144              76545.71

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     238.65
2                     238.10
4                     240.96
8                     245.96
16                    240.48
32                    247.72
64                    280.67
128                   295.03
256                   369.02
512                   473.53
1024                  576.44
2048                  720.47
4096                 1276.94
8192                 2415.16
16384                6088.71
32768               12281.12
65536               20168.80
131072              38715.90
262144              76667.23

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     239.19
2                     239.96
4                     239.23
8                     244.96
16                    239.27
32                    247.07
64                    279.17
128                   292.69
256                   367.40
512                   473.06
1024                  605.38
2048                  709.47
4096                 1292.38
8192                 2403.55
16384                6088.41
32768               12238.44
65536               20103.93
131072              38589.15
262144              76700.75
