
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     545.70
2                     547.11
4                     557.94
8                     563.43
16                    545.17
32                    555.43
64                    571.12
128                   588.98
256                   684.79
512                   760.67
1024                 1140.10
2048                 1643.42
4096                 2679.62
8192                 5434.52
16384               13824.78
32768               29847.58
65536               61131.51
131072             124446.90
262144             233055.49

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     545.17
2                     546.75
4                     557.37
8                     563.14
16                    545.11
32                    555.33
64                    570.87
128                   588.65
256                   684.42
512                   760.65
1024                 1138.78
2048                 1631.25
4096                 2677.36
8192                 5417.66
16384               14003.34
32768               29772.50
65536               61435.87
131072             124837.84
262144             233273.07

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     545.52
2                     546.45
4                     556.64
8                     563.90
16                    544.66
32                    554.81
64                    570.29
128                   589.61
256                   684.19
512                   760.29
1024                 1139.69
2048                 1641.91
4096                 2686.71
8192                 5429.19
16384               13824.06
32768               29832.73
65536               61278.08
131072             124691.02
262144             233429.46

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     545.69
2                     546.60
4                     557.89
8                     562.89
16                    544.80
32                    555.21
64                    571.68
128                   588.82
256                   685.40
512                   761.05
1024                 1137.64
2048                 1625.83
4096                 2657.13
8192                 5460.33
16384               13762.21
32768               29926.40
65536               61528.17
131072             124576.84
262144             233587.08

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     544.99
2                     546.81
4                     556.99
8                     562.39
16                    544.29
32                    554.52
64                    569.77
128                   589.66
256                   684.33
512                   760.38
1024                 1138.83
2048                 1638.41
4096                 2687.53
8192                 5422.88
16384               13736.01
32768               29908.05
65536               61069.37
131072             124726.34
262144             233641.32
