
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     330.05
2                     330.65
4                     335.23
8                     342.07
16                    347.60
32                    341.03
64                    354.12
128                   383.44
256                   465.07
512                   572.05
1024                  859.04
2048                 1345.77
4096                 2377.03
8192                 4857.52
16384               13577.73
32768               28297.67
65536               58884.11
131072             127095.58
262144             253925.86

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     329.58
2                     330.59
4                     334.81
8                     342.64
16                    346.51
32                    340.23
64                    354.90
128                   383.22
256                   464.43
512                   570.48
1024                  859.27
2048                 1349.13
4096                 2376.39
8192                 4855.87
16384               13621.46
32768               28239.01
65536               58832.06
131072             126987.62
262144             253948.69

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     329.53
2                     330.20
4                     333.52
8                     340.89
16                    343.55
32                    341.89
64                    353.44
128                   384.35
256                   465.12
512                   572.14
1024                  858.81
2048                 1350.90
4096                 2369.38
8192                 4860.66
16384               13623.93
32768               28243.35
65536               58684.99
131072             126987.99
262144             253982.53

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     329.71
2                     330.07
4                     333.14
8                     341.01
16                    345.53
32                    340.31
64                    352.65
128                   383.45
256                   464.13
512                   571.88
1024                  858.45
2048                 1350.79
4096                 2381.17
8192                 4855.46
16384               13630.83
32768               28246.61
65536               58947.19
131072             127176.54
262144             253963.43

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     329.54
2                     330.07
4                     333.45
8                     340.89
16                    344.81
32                    339.66
64                    352.47
128                   384.52
256                   463.72
512                   572.16
1024                  859.58
2048                 1348.71
4096                 2380.03
8192                 4852.82
16384               13612.27
32768               28242.72
65536               58958.78
131072             127168.70
262144             253918.48
