
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     762.58
2                     706.66
4                     707.03
8                     721.28
16                    713.67
32                    758.10
64                    746.04
128                   771.27
256                   885.37
512                   925.65
1024                 1065.46
2048                 1289.47
4096                 2131.78
8192                 3633.82
16384                8468.28
32768               16240.98
65536               25332.26
131072              51007.76
262144             103608.25

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     761.78
2                     704.03
4                     704.71
8                     725.24
16                    719.86
32                    762.03
64                    768.69
128                   752.09
256                   867.59
512                   923.61
1024                 1065.43
2048                 1302.50
4096                 2160.39
8192                 3659.14
16384                8419.13
32768               16451.17
65536               25302.77
131072              50198.00
262144             100654.63

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     751.39
2                     704.98
4                     709.16
8                     728.73
16                    732.02
32                    745.60
64                    760.55
128                   749.95
256                   853.97
512                   955.05
1024                 1096.17
2048                 1300.58
4096                 2143.97
8192                 3653.83
16384                8361.43
32768               16559.61
65536               25845.63
131072              50636.32
262144             100921.65

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     765.63
2                     706.83
4                     704.70
8                     720.65
16                    720.29
32                    721.83
64                    764.59
128                   749.74
256                   859.80
512                   920.84
1024                 1062.63
2048                 1289.67
4096                 2079.29
8192                 3649.80
16384                8374.81
32768               16421.78
65536               25355.63
131072              50159.59
262144             100922.00

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.2
# Size       Avg Latency(us)
1                     748.44
2                     703.06
4                     711.67
8                     720.37
16                    733.33
32                    756.79
64                    765.66
128                   753.85
256                   851.52
512                   959.48
1024                 1102.50
2048                 1315.01
4096                 2140.49
8192                 3667.52
16384                8308.97
32768               16369.93
65536               25916.92
131072              51030.93
262144             100788.80
