
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.97
2                      11.20
4                      11.36
8                      12.24
16                     13.07
32                     14.37
64                     17.06
128                    22.30
256                    34.51
512                    53.33
1024                   86.91
2048                  146.05
4096                  263.12
8192                  460.10
16384                1113.09
32768                3855.76
65536                8047.57
131072              16590.09
262144              34034.12
524288              69632.42
1048576            139269.63

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.90
2                      11.12
4                      11.29
8                      12.20
16                     13.04
32                     14.31
64                     17.02
128                    22.21
256                    34.34
512                    53.10
1024                   86.29
2048                  145.56
4096                  263.84
8192                  458.36
16384                1108.35
32768                3891.20
65536                8038.86
131072              16582.01
262144              34136.83
524288              69611.64
1048576            139301.17

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.17
2                      11.43
4                      11.70
8                      12.38
16                     13.12
32                     14.41
64                     17.05
128                    22.30
256                    34.81
512                    53.08
1024                   86.85
2048                  147.31
4096                  264.02
8192                  459.70
16384                1110.35
32768                3862.58
65536                8065.77
131072              16630.67
262144              34072.38
524288              69689.23
1048576            139792.19

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.96
2                      11.14
4                      11.29
8                      12.20
16                     13.05
32                     14.36
64                     16.99
128                    22.25
256                    34.32
512                    53.09
1024                   86.27
2048                  145.27
4096                  264.09
8192                  459.99
16384                1107.78
32768                3876.05
65536                8050.37
131072              16623.71
262144              34187.02
524288              69856.49
1048576            139692.15

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.95
2                      11.14
4                      11.32
8                      12.21
16                     13.07
32                     14.40
64                     17.01
128                    22.24
256                    34.49
512                    53.24
1024                   86.58
2048                  145.50
4096                  264.04
8192                  459.97
16384                1109.83
32768                3904.08
65536                8073.41
131072              16644.37
262144              34107.27
524288              69608.90
1048576            139596.16

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.88
2                      11.12
4                      11.32
8                      12.20
16                     13.02
32                     14.29
64                     17.00
128                    22.19
256                    34.36
512                    53.19
1024                   86.53
2048                  145.66
4096                  263.46
8192                  458.18
16384                1107.79
32768                3871.02
65536                8047.73
131072              16555.19
262144              33993.82
524288              69655.22
1048576            139457.38

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.89
2                      11.10
4                      11.33
8                      12.20
16                     13.06
32                     14.33
64                     17.02
128                    22.26
256                    34.37
512                    52.92
1024                   86.16
2048                  145.25
4096                  262.94
8192                  459.18
16384                1112.12
32768                3880.41
65536                8048.48
131072              16621.42
262144              34143.84
524288              69661.75
1048576            139487.47

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.90
2                      11.15
4                      11.35
8                      12.19
16                     13.06
32                     14.33
64                     17.01
128                    22.27
256                    34.47
512                    53.20
1024                   86.45
2048                  145.68
4096                  263.36
8192                  459.00
16384                1107.03
32768                3884.57
65536                8051.60
131072              16598.16
262144              34131.27
524288              69487.96
1048576            139519.94

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.89
2                      11.13
4                      11.36
8                      12.20
16                     13.06
32                     14.33
64                     17.04
128                    22.24
256                    34.43
512                    53.32
1024                   86.64
2048                  145.60
4096                  263.75
8192                  459.88
16384                1107.85
32768                3865.76
65536                8053.92
131072              16597.42
262144              34088.55
524288              69718.15
1048576            139438.73

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.91
2                      11.19
4                      11.55
8                      12.43
16                     13.09
32                     14.35
64                     17.08
128                    22.27
256                    34.81
512                    53.31
1024                   87.04
2048                  146.30
4096                  264.40
8192                  461.13
16384                1109.55
32768                3901.54
65536                8069.97
131072              16601.86
262144              34059.67
524288              69691.64
1048576            139730.10

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.01
2                      11.22
4                      11.40
8                      12.25
16                     13.11
32                     14.44
64                     17.09
128                    22.25
256                    34.33
512                    53.21
1024                   86.71
2048                  146.18
4096                  264.72
8192                  459.58
16384                1112.45
32768                3859.89
65536                8039.74
131072              16564.25
262144              34023.06
524288              69503.09
1048576            139075.20
