
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.07
2                      25.42
4                      25.48
8                      26.22
16                     23.59
32                     24.51
64                     27.53
128                    32.24
256                    48.75
512                    71.78
1024                  118.64
2048                  207.54
4096                  145.22
8192                  248.68
16384                 700.28
32768                1357.29
65536                3021.48
131072               6090.67
262144              12178.56
524288              24868.66
1048576             50983.23

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.15
2                      25.40
4                      25.55
8                      26.27
16                     23.60
32                     24.55
64                     27.51
128                    32.00
256                    48.69
512                    71.76
1024                  118.57
2048                  207.25
4096                  145.45
8192                  249.44
16384                 699.60
32768                1352.18
65536                3028.15
131072               6079.41
262144              12197.82
524288              24913.89
1048576             51060.79

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.03
2                      25.49
4                      25.47
8                      26.17
16                     23.56
32                     24.65
64                     27.52
128                    32.06
256                    48.67
512                    71.75
1024                  118.75
2048                  207.55
4096                  146.08
8192                  248.95
16384                 697.33
32768                1374.12
65536                3016.19
131072               6092.82
262144              12190.46
524288              24897.47
1048576             51131.67

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.08
2                      25.33
4                      25.49
8                      26.28
16                     23.59
32                     24.41
64                     27.53
128                    32.07
256                    48.62
512                    71.59
1024                  118.47
2048                  207.13
4096                  145.42
8192                  248.61
16384                 698.54
32768                1359.83
65536                3017.86
131072               6084.37
262144              12217.79
524288              24903.33
1048576             51143.37

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.06
2                      25.35
4                      25.48
8                      26.21
16                     23.65
32                     24.46
64                     27.58
128                    32.01
256                    48.65
512                    71.92
1024                  118.41
2048                  207.00
4096                  145.32
8192                  248.34
16384                 700.76
32768                1355.62
65536                3012.22
131072               6083.83
262144              12228.19
524288              24924.53
1048576             51118.60

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.09
2                      25.38
4                      25.44
8                      26.24
16                     23.59
32                     24.58
64                     27.49
128                    32.01
256                    48.68
512                    71.75
1024                  118.38
2048                  206.48
4096                  145.31
8192                  248.52
16384                 701.90
32768                1363.09
65536                3021.61
131072               6091.37
262144              12206.49
524288              24901.11
1048576             51116.57

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.14
2                      25.42
4                      25.50
8                      26.28
16                     23.57
32                     24.56
64                     27.56
128                    32.13
256                    48.83
512                    71.82
1024                  118.54
2048                  206.84
4096                  145.52
8192                  248.05
16384                 699.90
32768                1352.82
65536                3002.28
131072               6078.84
262144              12180.12
524288              24931.91
1048576             51156.21

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.03
2                      25.41
4                      25.48
8                      26.25
16                     23.55
32                     24.80
64                     27.71
128                    32.03
256                    48.62
512                    71.67
1024                  118.51
2048                  206.74
4096                  145.45
8192                  248.75
16384                 699.86
32768                1367.27
65536                3042.52
131072               6100.93
262144              12217.52
524288              24934.28
1048576             51125.47

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.15
2                      25.34
4                      25.45
8                      26.23
16                     23.69
32                     24.65
64                     27.74
128                    32.09
256                    48.84
512                    71.91
1024                  118.68
2048                  207.13
4096                  145.75
8192                  249.32
16384                 697.92
32768                1355.28
65536                2996.15
131072               6100.28
262144              12205.50
524288              24925.21
1048576             51167.30

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.09
2                      25.37
4                      25.51
8                      26.22
16                     23.53
32                     24.45
64                     27.55
128                    31.99
256                    48.62
512                    71.56
1024                  118.61
2048                  207.07
4096                  145.20
8192                  248.22
16384                 700.29
32768                1356.93
65536                3002.64
131072               6100.22
262144              12183.17
524288              24911.73
1048576             51078.64

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.08
2                      25.45
4                      25.50
8                      26.28
16                     23.56
32                     24.59
64                     27.57
128                    32.06
256                    48.53
512                    71.68
1024                  118.55
2048                  206.82
4096                  145.49
8192                  248.91
16384                 702.54
32768                1357.36
65536                3028.35
131072               6085.85
262144              12215.87
524288              24938.27
1048576             51173.43
