
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.52
2                      15.44
4                      15.28
8                      15.79
16                     14.11
32                     14.76
64                     15.79
128                    17.52
256                    23.62
512                    23.26
1024                   30.90
2048                   47.08
4096                  103.86
8192                  159.49
16384                 395.25
32768                 667.90
65536                1061.13
131072               2388.42
262144               4604.14
524288               9335.70
1048576             18874.40

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.43
2                      15.29
4                      15.30
8                      15.71
16                     14.04
32                     14.65
64                     15.75
128                    17.45
256                    23.89
512                    23.49
1024                   31.08
2048                   47.09
4096                  103.78
8192                  158.81
16384                 393.43
32768                 666.74
65536                1040.14
131072               2382.95
262144               4599.92
524288               9427.18
1048576             18779.63

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.06
2                      15.05
4                      15.10
8                      15.42
16                     13.81
32                     14.39
64                     15.48
128                    17.12
256                    23.36
512                    23.14
1024                   30.84
2048                   46.82
4096                  103.48
8192                  158.64
16384                 393.57
32768                 664.09
65536                1043.27
131072               2430.65
262144               4591.84
524288               9295.80
1048576             18951.45

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.18
2                      15.25
4                      15.58
8                      15.76
16                     14.03
32                     14.61
64                     15.79
128                    17.48
256                    24.15
512                    23.86
1024                   31.46
2048                   47.76
4096                  106.20
8192                  162.55
16384                 398.21
32768                 675.77
65536                1055.96
131072               2399.76
262144               4609.92
524288               9405.45
1048576             18792.07

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.05
2                      15.04
4                      15.08
8                      15.49
16                     13.79
32                     14.36
64                     15.72
128                    17.18
256                    23.39
512                    23.08
1024                   30.96
2048                   47.21
4096                  103.26
8192                  158.44
16384                 394.17
32768                 666.36
65536                1038.72
131072               2379.36
262144               4591.39
524288               9370.30
1048576             18838.24

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.05
2                      15.23
4                      15.26
8                      15.64
16                     13.95
32                     14.51
64                     15.71
128                    17.40
256                    23.60
512                    23.07
1024                   30.79
2048                   47.30
4096                  103.66
8192                  158.44
16384                 394.95
32768                 667.30
65536                1044.45
131072               2376.39
262144               4600.28
524288               9384.39
1048576             18835.89

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.75
2                      15.63
4                      15.60
8                      16.03
16                     14.26
32                     14.86
64                     16.21
128                    17.76
256                    24.03
512                    23.56
1024                   31.57
2048                   47.71
4096                  106.04
8192                  162.74
16384                 400.17
32768                 673.21
65536                1084.08
131072               2409.97
262144               4641.52
524288               9344.45
1048576             18993.88

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.63
2                      15.57
4                      15.60
8                      15.99
16                     14.43
32                     14.79
64                     16.17
128                    17.65
256                    24.20
512                    23.91
1024                   31.86
2048                   48.03
4096                  105.60
8192                  159.55
16384                 393.58
32768                 664.19
65536                1049.89
131072               2373.75
262144               4588.64
524288               9278.08
1048576             18821.17

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.35
2                      15.24
4                      15.33
8                      15.69
16                     13.98
32                     14.52
64                     15.74
128                    17.41
256                    23.84
512                    23.81
1024                   31.37
2048                   47.53
4096                  105.54
8192                  161.13
16384                 397.66
32768                 672.49
65536                1052.23
131072               2388.25
262144               4602.25
524288               9429.85
1048576             18957.77

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.61
2                      15.59
4                      15.61
8                      15.93
16                     14.21
32                     14.78
64                     15.97
128                    17.68
256                    24.26
512                    23.87
1024                   31.80
2048                   48.47
4096                  107.28
8192                  164.54
16384                 398.00
32768                 675.55
65536                1058.02
131072               2394.51
262144               4617.18
524288               9476.58
1048576             18906.48

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.14
2                      15.00
4                      15.05
8                      15.40
16                     13.76
32                     14.35
64                     15.51
128                    17.23
256                    23.55
512                    23.24
1024                   30.91
2048                   46.85
4096                  103.59
8192                  158.62
16384                 393.34
32768                 664.43
65536                1041.10
131072               2374.11
262144               4589.67
524288               9364.81
1048576             19089.56
