
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      29.78
2                      28.90
4                      28.89
8                      29.77
16                     25.83
32                     26.53
64                     29.16
128                    32.09
256                    37.34
512                    44.50
1024                   61.13
2048                  296.57
4096                  543.99
8192                  969.63
16384                2185.55
32768                3923.90
65536                7407.44
131072              14924.61
262144              29982.53
524288              59872.34
1048576            119839.23

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      29.77
2                      28.72
4                      28.87
8                      29.70
16                     25.79
32                     26.48
64                     29.06
128                    32.05
256                    37.36
512                    44.51
1024                   61.26
2048                  295.96
4096                  540.79
8192                  970.79
16384                2185.91
32768                3895.11
65536                7426.61
131072              14930.09
262144              29969.59
524288              59957.90
1048576            119888.72

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      29.75
2                      28.71
4                      28.82
8                      29.59
16                     25.69
32                     26.42
64                     29.04
128                    32.09
256                    37.31
512                    44.54
1024                   61.18
2048                  300.59
4096                  544.54
8192                  965.79
16384                2187.00
32768                3902.32
65536                7418.13
131072              14940.84
262144              29985.16
524288              59967.41
1048576            119910.97

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      29.78
2                      28.77
4                      28.91
8                      29.81
16                     25.73
32                     26.57
64                     29.10
128                    32.33
256                    37.38
512                    44.52
1024                   61.09
2048                  298.32
4096                  546.84
8192                  976.40
16384                2187.58
32768                3902.67
65536                7424.97
131072              14915.40
262144              29972.79
524288              59942.76
1048576            119882.81

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      29.72
2                      28.73
4                      28.81
8                      29.65
16                     25.72
32                     26.45
64                     29.05
128                    32.03
256                    37.31
512                    44.53
1024                   61.16
2048                  296.61
4096                  545.24
8192                  966.66
16384                2185.75
32768                3910.89
65536                7418.20
131072              14948.60
262144              29976.93
524288              59981.66
1048576            119907.95

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      29.68
2                      28.68
4                      28.81
8                      29.60
16                     25.69
32                     26.43
64                     29.04
128                    31.97
256                    37.29
512                    44.52
1024                   61.11
2048                  298.39
4096                  542.70
8192                  978.39
16384                2186.17
32768                3913.03
65536                7416.40
131072              14920.55
262144              29978.35
524288              59952.10
1048576            119896.50

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      29.76
2                      28.72
4                      28.87
8                      29.60
16                     25.67
32                     26.44
64                     29.01
128                    31.98
256                    37.28
512                    44.41
1024                   61.00
2048                  297.83
4096                  544.94
8192                  971.09
16384                2184.58
32768                3904.17
65536                7426.34
131072              14891.86
262144              29992.74
524288              59958.18
1048576            119866.62

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      29.67
2                      28.71
4                      28.80
8                      29.58
16                     25.67
32                     26.45
64                     29.00
128                    31.96
256                    37.27
512                    44.46
1024                   61.15
2048                  296.23
4096                  546.23
8192                  968.52
16384                2183.44
32768                3904.91
65536                7425.74
131072              14905.24
262144              29994.10
524288              59957.20
1048576            119899.70

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      29.72
2                      28.76
4                      28.90
8                      29.71
16                     25.71
32                     26.47
64                     29.08
128                    32.11
256                    37.32
512                    44.56
1024                   61.15
2048                  298.20
4096                  543.91
8192                  983.36
16384                2196.16
32768                3904.24
65536                7424.28
131072              14933.04
262144              29977.79
524288              59958.77
1048576            119901.34

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      29.69
2                      28.69
4                      28.80
8                      29.63
16                     25.67
32                     26.40
64                     29.08
128                    31.94
256                    37.24
512                    44.41
1024                   60.92
2048                  299.30
4096                  546.44
8192                  975.62
16384                2183.85
32768                3900.56
65536                7426.72
131072              14915.29
262144              29948.56
524288              59961.46
1048576            119862.76

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      29.86
2                      28.82
4                      28.92
8                      29.76
16                     25.80
32                     26.52
64                     29.12
128                    32.09
256                    37.34
512                    44.49
1024                   61.12
2048                  296.83
4096                  542.24
8192                  968.14
16384                2186.11
32768                3899.20
65536                7426.29
131072              14918.57
262144              29987.25
524288              59944.62
1048576            119893.19
