
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.27
2                      33.97
4                      33.65
8                      35.31
16                     31.50
32                     32.91
64                     36.43
128                    42.03
256                    54.58
512                    73.09
1024                  107.77
2048                  166.96
4096                  294.08
8192                  488.54
16384                1167.98
32768                4201.76
65536                9096.62
131072              18821.10
262144              37991.95
524288              76234.34
1048576            151303.78

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.37
2                      34.00
4                      33.49
8                      35.04
16                     31.50
32                     32.89
64                     36.39
128                    41.81
256                    54.55
512                    72.23
1024                  107.82
2048                  167.33
4096                  294.98
8192                  492.18
16384                1192.53
32768                4201.76
65536                9127.34
131072              18948.79
262144              38010.01
524288              76094.39
1048576            151844.02

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.30
2                      33.95
4                      33.49
8                      35.06
16                     31.52
32                     32.99
64                     36.41
128                    41.93
256                    54.59
512                    72.38
1024                  107.38
2048                  167.42
4096                  294.05
8192                  490.24
16384                1187.30
32768                4183.04
65536                9104.34
131072              18805.92
262144              38135.43
524288              75849.40
1048576            150945.83

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.24
2                      33.96
4                      33.51
8                      35.06
16                     31.48
32                     32.92
64                     36.34
128                    41.89
256                    54.62
512                    72.14
1024                  107.63
2048                  167.00
4096                  294.39
8192                  490.54
16384                1189.38
32768                4179.22
65536                9088.01
131072              18881.18
262144              38129.22
524288              76208.95
1048576            151530.64

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.26
2                      33.94
4                      33.46
8                      35.04
16                     31.46
32                     32.90
64                     36.38
128                    41.91
256                    54.59
512                    72.34
1024                  107.29
2048                  166.31
4096                  294.06
8192                  489.80
16384                1188.59
32768                4184.01
65536                9088.82
131072              18891.83
262144              37953.19
524288              76218.63
1048576            150483.13

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.23
2                      33.95
4                      33.50
8                      35.02
16                     31.47
32                     32.84
64                     36.36
128                    41.89
256                    54.43
512                    72.19
1024                  107.24
2048                  166.36
4096                  294.72
8192                  489.73
16384                1185.82
32768                4177.77
65536                9103.01
131072              18892.46
262144              38017.51
524288              76055.85
1048576            150981.89

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.29
2                      34.04
4                      33.79
8                      35.07
16                     31.56
32                     33.09
64                     36.36
128                    41.98
256                    54.73
512                    72.33
1024                  107.34
2048                  167.01
4096                  294.02
8192                  489.40
16384                1164.42
32768                4175.58
65536                9054.61
131072              18830.76
262144              38195.24
524288              76240.04
1048576            151412.46

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.27
2                      33.96
4                      33.48
8                      35.05
16                     31.52
32                     32.90
64                     36.36
128                    41.89
256                    54.43
512                    72.08
1024                  107.32
2048                  166.48
4096                  294.31
8192                  491.22
16384                1194.97
32768                4210.38
65536                9105.90
131072              19017.87
262144              38101.62
524288              75915.51
1048576            151060.97

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.29
2                      33.92
4                      33.53
8                      35.04
16                     31.61
32                     32.90
64                     36.38
128                    41.84
256                    54.47
512                    72.29
1024                  107.40
2048                  166.42
4096                  294.59
8192                  489.64
16384                1187.64
32768                4166.71
65536                9100.02
131072              18825.92
262144              38191.47
524288              75823.45
1048576            151165.35

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.29
2                      34.00
4                      33.60
8                      35.06
16                     31.50
32                     32.95
64                     36.36
128                    41.88
256                    54.36
512                    72.24
1024                  107.51
2048                  166.43
4096                  292.97
8192                  487.43
16384                1165.86
32768                4196.55
65536                9094.59
131072              18821.94
262144              38006.59
524288              76104.28
1048576            150784.86

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.25
2                      33.95
4                      33.51
8                      35.05
16                     31.49
32                     32.94
64                     36.42
128                    41.90
256                    54.51
512                    72.17
1024                  107.33
2048                  166.56
4096                  294.80
8192                  490.82
16384                1109.64
32768                4190.69
65536                9131.87
131072              18820.78
262144              38062.97
524288              76079.93
1048576            151325.27
