
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      28.27
2                      27.74
4                      28.34
8                      28.73
16                     26.92
32                     27.04
64                     28.43
128                    30.76
256                    33.69
512                    36.60
1024                   44.29
2048                   57.62
4096                   85.24
8192                  141.23
16384                 418.28
32768                 674.86
65536                1234.51
131072               2697.44
262144               6009.45
524288              12120.19
1048576             24735.09

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      29.80
2                      28.80
4                      28.76
8                      29.09
16                     27.31
32                     27.88
64                     29.44
128                    31.77
256                    34.19
512                    37.39
1024                   45.30
2048                   58.85
4096                   87.80
8192                  141.96
16384                 419.22
32768                 674.16
65536                1229.57
131072               2687.40
262144               5991.60
524288              11967.49
1048576             24783.11

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      28.51
2                      27.77
4                      27.81
8                      28.21
16                     26.58
32                     26.99
64                     28.51
128                    30.76
256                    33.11
512                    36.24
1024                   43.90
2048                   56.94
4096                   84.90
8192                  140.64
16384                 419.96
32768                 669.05
65536                1238.67
131072               2696.03
262144               6015.22
524288              12066.32
1048576             24890.80

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      29.71
2                      28.66
4                      28.78
8                      29.20
16                     27.33
32                     27.90
64                     29.33
128                    31.61
256                    33.94
512                    37.17
1024                   45.15
2048                   58.78
4096                   87.92
8192                  146.01
16384                 428.10
32768                 702.87
65536                1251.19
131072               2721.87
262144               6075.55
524288              12088.56
1048576             24507.13

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      28.46
2                      28.13
4                      28.42
8                      28.59
16                     26.85
32                     27.41
64                     28.87
128                    31.20
256                    33.67
512                    36.78
1024                   44.61
2048                   57.80
4096                   86.00
8192                  140.52
16384                 418.32
32768                 668.95
65536                1229.79
131072               2665.45
262144               5985.54
524288              12034.58
1048576             24718.18

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      29.71
2                      28.68
4                      28.76
8                      29.13
16                     27.36
32                     27.91
64                     28.88
128                    31.27
256                    33.53
512                    36.64
1024                   44.31
2048                   57.63
4096                   86.04
8192                  142.68
16384                 422.81
32768                 691.38
65536                1229.48
131072               2709.24
262144               6046.02
524288              12096.36
1048576             24693.44

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      28.63
2                      28.22
4                      28.29
8                      28.69
16                     26.97
32                     27.39
64                     28.94
128                    31.29
256                    33.62
512                    36.87
1024                   44.65
2048                   57.76
4096                   84.48
8192                  143.18
16384                 420.15
32768                 683.06
65536                1227.17
131072               2680.40
262144               6020.09
524288              11969.13
1048576             24682.90

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      28.99
2                      28.16
4                      28.16
8                      28.56
16                     26.80
32                     26.87
64                     28.27
128                    30.54
256                    32.94
512                    35.93
1024                   43.45
2048                   56.45
4096                   84.34
8192                  139.82
16384                 416.79
32768                 664.79
65536                1226.82
131072               2710.68
262144               6032.36
524288              12063.16
1048576             24733.25

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      28.36
2                      27.76
4                      27.80
8                      28.13
16                     26.42
32                     27.01
64                     28.51
128                    30.75
256                    33.16
512                    36.35
1024                   43.85
2048                   56.97
4096                   84.73
8192                  140.36
16384                 418.65
32768                 677.98
65536                1225.53
131072               2700.00
262144               6016.80
524288              12017.20
1048576             24755.98

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      28.90
2                      28.26
4                      28.20
8                      28.72
16                     26.92
32                     27.44
64                     28.96
128                    31.22
256                    33.66
512                    36.79
1024                   44.61
2048                   57.83
4096                   86.06
8192                  142.88
16384                 422.18
32768                 697.41
65536                1238.71
131072               2744.85
262144               6026.44
524288              12108.35
1048576             24716.19

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      28.65
2                      27.96
4                      27.97
8                      28.37
16                     26.61
32                     27.21
64                     28.64
128                    30.91
256                    33.39
512                    36.39
1024                   44.07
2048                   56.84
4096                   84.66
8192                  140.22
16384                 419.73
32768                 672.79
65536                1228.91
131072               2687.92
262144               5988.21
524288              12132.80
1048576             24714.41
