
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      61.50
2                      61.26
4                      61.40
8                      62.56
16                     58.02
32                     59.14
64                     61.01
128                    65.33
256                    71.24
512                    79.03
1024                   95.20
2048                  124.18
4096                  191.54
8192                  339.11
16384                1103.71
32768                2021.69
65536                4104.93
131072               8285.32
262144              16493.47
524288              33293.86
1048576             68137.80

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      61.13
2                      60.87
4                      60.90
8                      61.93
16                     58.06
32                     58.60
64                     60.98
128                    65.28
256                    71.05
512                    78.56
1024                   94.97
2048                  124.21
4096                  191.73
8192                  340.07
16384                1115.58
32768                2026.24
65536                4124.61
131072               8322.01
262144              16562.13
524288              33357.55
1048576             68123.53

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      61.31
2                      61.17
4                      61.32
8                      62.14
16                     58.17
32                     58.62
64                     61.12
128                    65.37
256                    71.23
512                    78.94
1024                   95.14
2048                  124.31
4096                  192.14
8192                  341.04
16384                1088.32
32768                2031.41
65536                4105.74
131072               8318.97
262144              16557.73
524288              33268.68
1048576             68069.55

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      60.99
2                      60.80
4                      60.67
8                      61.63
16                     57.67
32                     58.19
64                     61.12
128                    64.94
256                    70.95
512                    78.69
1024                   95.10
2048                  124.16
4096                  191.39
8192                  334.38
16384                1081.28
32768                2022.06
65536                4101.56
131072               8304.17
262144              16592.22
524288              33291.36
1048576             68151.16

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      61.09
2                      61.03
4                      60.89
8                      63.30
16                     57.79
32                     58.39
64                     60.94
128                    65.11
256                    71.00
512                    78.67
1024                   95.10
2048                  124.20
4096                  191.72
8192                  337.44
16384                1087.10
32768                2024.95
65536                4115.83
131072               8282.15
262144              16535.09
524288              33319.22
1048576             68249.84

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      61.61
2                      61.43
4                      61.28
8                      62.46
16                     58.25
32                     58.81
64                     61.34
128                    65.65
256                    71.43
512                    78.97
1024                   95.08
2048                  124.13
4096                  191.74
8192                  340.18
16384                1104.31
32768                2020.62
65536                4103.06
131072               8307.78
262144              16554.72
524288              33480.10
1048576             68250.40

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      61.21
2                      61.12
4                      61.27
8                      62.04
16                     58.13
32                     58.74
64                     61.09
128                    65.79
256                    71.27
512                    78.97
1024                   94.97
2048                  123.90
4096                  191.73
8192                  340.74
16384                1120.26
32768                2021.59
65536                4099.86
131072               8298.38
262144              16556.38
524288              33356.46
1048576             68211.35

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      61.04
2                      60.83
4                      60.82
8                      62.17
16                     57.78
32                     58.37
64                     61.11
128                    65.11
256                    70.99
512                    78.69
1024                   94.99
2048                  124.24
4096                  191.42
8192                  338.65
16384                1097.82
32768                2028.32
65536                4108.29
131072               8292.58
262144              16540.87
524288              33336.71
1048576             68160.27

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      61.08
2                      60.85
4                      61.01
8                      61.94
16                     57.87
32                     58.79
64                     60.87
128                    65.14
256                    75.30
512                    78.80
1024                   95.08
2048                  124.19
4096                  191.34
8192                  340.64
16384                1089.84
32768                2012.41
65536                4099.25
131072               8291.24
262144              16533.82
524288              33398.93
1048576             68106.21

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      61.34
2                      61.14
4                      61.50
8                      62.15
16                     58.08
32                     58.72
64                     61.11
128                    65.40
256                    71.47
512                    79.12
1024                   95.17
2048                  124.25
4096                  191.62
8192                  339.78
16384                1076.32
32768                2026.07
65536                4104.82
131072               8302.68
262144              16567.27
524288              33329.29
1048576             68138.97

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      61.31
2                      60.96
4                      61.12
8                      61.92
16                     57.82
32                     58.51
64                     61.05
128                    65.28
256                    71.22
512                    78.91
1024                   95.15
2048                  124.23
4096                  191.62
8192                  337.98
16384                1127.86
32768                2021.89
65536                4101.02
131072               8301.33
262144              16583.23
524288              33312.16
1048576             68191.21
