[mpiexec@ns01] Sending Ctrl-C to processes as requested
[mpiexec@ns01] Press Ctrl-C again to force abort

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       5.20
2                       4.70
4                       4.94
8                       5.23
16                      5.17
32                      5.44
64                      5.96
128                     7.04
256                    12.13
512                    11.16
1024                   15.41
2048                   25.28
4096                   69.17
8192                   98.08
16384                 281.18
32768                 416.31
65536                 504.40
131072               1256.90
262144               2299.40
524288               4440.77
1048576              8978.03

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       5.18
2                       4.68
4                       4.84
8                       5.16
16                      5.14
32                      5.39
64                      5.92
128                     6.98
256                    12.41
512                    11.10
1024                   15.22
2048                   25.35
4096                   68.14
8192                   96.90
16384                 279.61
32768                 413.85
65536                 501.46
131072               1307.39
262144               2350.66
524288               4453.19
1048576              8975.76

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       5.12
2                       4.68
4                       4.88
8                       5.13
16                      5.14
32                      5.39
64                      6.10
128                     7.08
256                    12.05
512                    11.08
1024                   15.26
2048                   25.26
4096                   69.47
8192                   97.55
16384                 280.39
32768                 414.84
65536                 502.23
131072               1289.07
262144               2338.39
524288               4414.99
1048576              8953.71

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       5.18
2                       4.66
4                       4.84
8                       5.15
16                      5.13
32                      5.41
64                      5.92
128                     7.01
256                    12.16
512                    11.08
1024                   15.24
2048                   25.04
4096                   68.05
8192                   96.77
16384                 280.28
32768                 415.40
65536                 501.33
131072               1239.10
262144               2310.29
524288               4423.04
1048576              8896.21

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       5.11
2                       4.88
4                       4.87
8                       5.17
16                      5.17
32                      5.41
64                      5.95
128                     6.97
256                    12.31
512                    11.08
1024                   15.23
2048                   25.28
4096                   68.15
8192                   96.94
16384                 279.32
32768                 413.75
65536                 504.10
131072               1263.86
262144               2320.77
524288               4405.00
1048576              8851.95

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       5.15
2                       4.74
4                       4.87
8                       5.16
16                      5.12
32                      5.39
64                      5.94
128                     7.01
256                    12.35
512                    11.01
1024                   15.21
2048                   24.94
4096                   68.34
8192                   97.16
16384                 279.27
32768                 413.90
65536                 504.31
131072               1253.58
262144               2300.85
524288               4419.14
1048576              8858.47

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       5.10
2                       4.67
4                       4.86
8                       5.12
16                      5.12
32                      5.40
64                      5.91
128                     6.98
256                    12.31
512                    11.05
1024                   15.22
2048                   25.26
4096                   68.20
8192                   96.79
16384                 278.62
32768                 413.87
65536                 504.34
131072               1322.07
262144               2322.82
524288               4431.33
1048576              8945.21

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       5.09
2                       4.64
4                       4.80
8                       5.03
16                      5.06
32                      5.33
64                      5.84
128                     6.97
256                    11.94
512                    11.05
1024                   15.06
2048                   25.26
4096                   67.00
8192                   94.65
16384                 278.38
32768                 412.21
65536                 499.25
131072               1234.43
262144               2277.82
524288               4411.49
1048576              8875.94

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       5.11
2                       4.70
4                       4.84
8                       5.15
16                      5.12
32                      5.42
64                      5.94
128                     6.98
256                    12.14
512                    11.02
1024                   15.21
2048                   24.95
4096                   68.17
8192                   97.04
16384                 279.50
32768                 414.27
65536                 501.50
131072               1293.99
262144               2320.06
524288               4442.19
1048576              8902.98

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       5.20
2                       4.62
4                       4.80
8                       5.08
16                      5.10
32                      5.34
64                      5.93
128                     6.92
256                    11.95
512                    10.90
1024                   15.08
2048                   24.80
4096                   66.92
8192                   95.06
16384                 278.25
32768                 411.12
65536                 495.54
131072               1248.01
262144               2265.37
524288               4409.12
1048576              8876.40

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       5.16
2                       4.67
4                       4.85
8                       5.15
16                      5.13
32                      5.41
64                      5.91
128                     7.01
256                    12.05
512                    11.06
1024                   15.23
2048                   25.07
4096                   68.27
8192                   96.59
16384                 279.47
32768                 415.15
65536                 502.27
131072               1260.66
262144               2293.38
524288               4412.28
1048576              8869.29
