
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      29.74
2                      29.40
4                      30.22
8                      30.00
16                     30.86
32                     30.32
64                     30.80
128                    32.35
256                    39.98
512                    45.14
1024                   55.05
2048                   75.02
4096                  123.67
8192                  200.54
16384                 355.34
32768                 818.17
65536                1883.25
131072               3607.39
262144               7593.83
524288              15952.34
1048576             32172.92

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      29.82
2                      29.40
4                      30.26
8                      29.90
16                     30.84
32                     30.42
64                     30.80
128                    32.19
256                    39.98
512                    45.23
1024                   54.90
2048                   74.81
4096                  123.60
8192                  199.76
16384                 352.88
32768                 768.16
65536                1823.29
131072               3563.52
262144               7579.91
524288              15954.27
1048576             32176.98

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      29.80
2                      29.41
4                      29.58
8                      29.88
16                     30.86
32                     30.40
64                     30.81
128                    32.55
256                    40.07
512                    45.23
1024                   54.90
2048                   75.13
4096                  123.96
8192                  200.46
16384                 351.80
32768                 784.79
65536                1828.70
131072               3564.33
262144               7566.05
524288              15923.98
1048576             32170.78

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      29.79
2                      29.56
4                      29.75
8                      29.97
16                     30.94
32                     30.39
64                     30.86
128                    32.38
256                    40.15
512                    45.20
1024                   54.95
2048                   75.17
4096                  123.70
8192                  200.41
16384                 356.07
32768                 814.18
65536                1866.82
131072               3596.14
262144               7606.34
524288              15964.07
1048576             32183.53

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      29.87
2                      29.50
4                      29.65
8                      29.93
16                     31.01
32                     30.40
64                     30.89
128                    32.45
256                    40.07
512                    45.26
1024                   54.95
2048                   74.88
4096                  123.68
8192                  199.99
16384                 354.35
32768                 778.24
65536                1838.36
131072               3562.39
262144               7556.61
524288              15925.13
1048576             32132.34

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      29.87
2                      29.50
4                      29.75
8                      29.92
16                     30.94
32                     30.49
64                     31.08
128                    32.47
256                    39.99
512                    45.53
1024                   54.94
2048                   75.12
4096                  124.20
8192                  200.19
16384                 355.97
32768                 815.66
65536                1869.65
131072               3592.46
262144               7584.29
524288              15925.21
1048576             32156.42

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.52
2                      29.50
4                      29.69
8                      30.01
16                     30.93
32                     30.40
64                     30.90
128                    32.49
256                    40.09
512                    45.24
1024                   54.95
2048                   75.09
4096                  123.79
8192                  199.84
16384                 351.40
32768                 779.67
65536                1826.16
131072               3561.88
262144               7544.08
524288              15939.30
1048576             32180.38

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      29.93
2                      29.45
4                      29.67
8                      29.99
16                     30.88
32                     30.43
64                     30.84
128                    32.40
256                    40.10
512                    45.38
1024                   55.63
2048                   75.07
4096                  123.83
8192                  200.09
16384                 354.12
32768                 786.96
65536                1861.47
131072               3584.90
262144               7565.14
524288              15934.19
1048576             32178.91

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      29.81
2                      29.43
4                      29.72
8                      29.94
16                     30.84
32                     30.39
64                     30.83
128                    32.35
256                    40.05
512                    45.19
1024                   54.91
2048                   74.81
4096                  123.68
8192                  200.53
16384                 353.76
32768                 796.25
65536                1843.12
131072               3579.07
262144               7564.26
524288              15933.00
1048576             32177.86

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      29.68
2                      29.40
4                      29.60
8                      29.92
16                     30.87
32                     30.41
64                     30.78
128                    32.29
256                    40.05
512                    45.26
1024                   54.95
2048                   74.99
4096                  123.72
8192                  199.99
16384                 352.22
32768                 778.33
65536                1845.89
131072               3577.01
262144               7570.53
524288              15941.76
1048576             32185.16

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      29.76
2                      29.43
4                      29.62
8                      29.89
16                     30.82
32                     30.44
64                     30.79
128                    32.34
256                    40.02
512                    45.16
1024                   55.53
2048                   75.39
4096                  124.25
8192                  200.06
16384                 353.30
32768                 799.16
65536                1875.05
131072               3613.25
262144               7612.34
524288              15959.24
1048576             32205.04
