
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.90
2                       6.53
4                       6.53
8                       7.16
16                      7.81
32                      8.30
64                      9.11
128                    10.65
256                    13.97
512                    21.96
1024                   36.30
2048                   54.34
4096                   90.75
8192                  162.54
16384                 363.32
32768                 668.01
65536                2419.89
131072               5794.64
262144              12596.38
524288              25485.29
1048576             51345.70

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.91
2                       6.47
4                       6.48
8                       7.11
16                      7.79
32                      8.27
64                      9.08
128                    10.64
256                    13.89
512                    21.91
1024                   36.29
2048                   54.16
4096                   89.79
8192                  161.68
16384                 357.27
32768                 663.01
65536                2365.65
131072               5724.08
262144              12635.28
524288              25741.24
1048576             51196.68

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.82
2                       6.50
4                       6.60
8                       7.22
16                      7.81
32                      8.30
64                      9.10
128                    10.68
256                    13.93
512                    22.04
1024                   36.51
2048                   54.29
4096                   90.75
8192                  162.15
16384                 359.50
32768                 665.83
65536                2401.01
131072               5760.64
262144              12508.77
524288              25608.26
1048576             51670.32

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.90
2                       6.58
4                       6.60
8                       7.24
16                      7.89
32                      8.39
64                      9.23
128                    10.83
256                    14.17
512                    22.12
1024                   36.61
2048                   54.73
4096                   91.74
8192                  163.32
16384                 363.69
32768                 671.37
65536                2403.26
131072               5756.36
262144              12516.61
524288              25487.18
1048576             51490.69

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.81
2                       6.49
4                       6.50
8                       7.12
16                      7.80
32                      8.27
64                      9.07
128                    10.65
256                    13.92
512                    22.13
1024                   36.25
2048                   54.45
4096                   90.36
8192                  161.85
16384                 363.91
32768                 663.40
65536                2348.52
131072               5615.26
262144              12478.27
524288              25633.46
1048576             51272.18

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.88
2                       6.46
4                       6.49
8                       7.10
16                      7.74
32                      8.23
64                      9.07
128                    10.63
256                    14.02
512                    22.19
1024                   36.38
2048                   54.04
4096                   90.05
8192                  161.69
16384                 358.22
32768                 663.35
65536                2380.24
131072               5714.70
262144              12656.08
524288              25601.69
1048576             51201.57

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.75
2                       6.38
4                       6.41
8                       7.08
16                      7.69
32                      8.21
64                      9.02
128                    10.54
256                    13.65
512                    21.64
1024                   35.84
2048                   53.72
4096                   89.76
8192                  161.23
16384                 358.59
32768                 660.99
65536                2361.54
131072               5714.78
262144              12591.69
524288              25573.05
1048576             51716.24

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.81
2                       6.73
4                       6.51
8                       7.14
16                      7.75
32                      8.27
64                      9.05
128                    10.64
256                    13.97
512                    21.96
1024                   36.23
2048                   54.24
4096                   90.96
8192                  163.19
16384                 365.85
32768                 673.38
65536                2396.53
131072               5776.17
262144              12656.40
524288              25697.32
1048576             51897.96

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.73
2                       6.50
4                       6.50
8                       7.17
16                      7.79
32                      8.33
64                      9.10
128                    10.67
256                    13.90
512                    22.00
1024                   36.40
2048                   54.00
4096                   89.90
8192                  162.22
16384                 357.53
32768                 660.29
65536                2328.70
131072               5645.04
262144              12524.06
524288              25862.65
1048576             51568.99

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.70
2                       6.40
4                       6.44
8                       7.07
16                      7.72
32                      8.21
64                      8.99
128                    10.59
256                    13.85
512                    21.60
1024                   35.81
2048                   54.03
4096                   89.97
8192                  161.21
16384                 357.46
32768                 659.89
65536                2354.76
131072               5658.58
262144              12524.52
524288              25647.74
1048576             51679.98

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.76
2                       6.57
4                       6.55
8                       7.27
16                      7.87
32                      8.39
64                      9.20
128                    10.75
256                    14.07
512                    22.35
1024                   36.77
2048                   55.03
4096                   91.54
8192                  163.10
16384                 366.13
32768                 672.74
65536                2380.63
131072               5709.95
262144              12507.15
524288              25581.72
1048576             51311.75
