
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      36.99
2                      36.67
4                      36.95
8                      37.26
16                     37.14
32                     38.04
64                     38.63
128                    41.23
256                    44.65
512                    49.19
1024                   57.13
2048                   71.86
4096                  108.00
8192                  185.40
16384                 641.76
32768                1129.50
65536                2186.28
131072               4323.73
262144               8052.51
524288              16681.09
1048576             34657.94

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      36.74
2                      36.66
4                      37.03
8                      37.21
16                     37.40
32                     38.11
64                     38.64
128                    41.05
256                    44.52
512                    49.25
1024                   57.14
2048                   72.71
4096                  107.29
8192                  183.38
16384                 640.17
32768                1129.13
65536                2181.11
131072               4338.09
262144               8157.20
524288              16570.37
1048576             34560.86

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      36.80
2                      36.58
4                      37.07
8                      37.29
16                     37.23
32                     38.17
64                     38.65
128                    41.16
256                    44.57
512                    49.23
1024                   57.06
2048                   71.65
4096                  107.57
8192                  184.10
16384                 642.94
32768                1135.02
65536                2185.11
131072               4293.63
262144               8111.46
524288              16758.82
1048576             34756.86

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      36.93
2                      36.64
4                      36.96
8                      37.25
16                     37.13
32                     38.06
64                     38.78
128                    41.10
256                    44.56
512                    49.25
1024                   57.23
2048                   71.72
4096                  107.68
8192                  184.06
16384                 642.58
32768                1116.77
65536                2190.36
131072               4295.01
262144               8070.91
524288              16668.93
1048576             34552.16

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      36.96
2                      36.62
4                      36.99
8                      37.21
16                     37.14
32                     38.05
64                     38.55
128                    41.12
256                    44.56
512                    49.23
1024                   57.16
2048                   71.67
4096                  107.93
8192                  184.28
16384                 645.12
32768                1125.00
65536                2186.57
131072               4293.69
262144               8078.58
524288              16699.69
1048576             34660.32

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      36.91
2                      36.69
4                      37.14
8                      37.60
16                     37.38
32                     38.16
64                     38.82
128                    41.13
256                    44.71
512                    49.31
1024                   57.25
2048                   71.84
4096                  107.66
8192                  183.07
16384                 642.32
32768                1130.92
65536                2184.32
131072               4279.24
262144               8018.79
524288              16579.58
1048576             34692.64

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      36.85
2                      36.66
4                      37.07
8                      37.45
16                     37.21
32                     38.34
64                     38.74
128                    41.17
256                    44.62
512                    49.35
1024                   57.05
2048                   71.59
4096                  107.37
8192                  183.55
16384                 639.29
32768                1116.32
65536                2184.16
131072               4317.45
262144               8065.34
524288              16643.26
1048576             34660.73

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      36.73
2                      36.41
4                      36.71
8                      37.10
16                     36.98
32                     37.86
64                     38.67
128                    41.08
256                    44.48
512                    48.98
1024                   57.03
2048                   71.58
4096                  107.33
8192                  183.46
16384                 641.44
32768                1130.42
65536                2188.02
131072               4332.26
262144               8105.05
524288              16622.60
1048576             34787.41

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      36.92
2                      36.55
4                      36.87
8                      37.23
16                     37.04
32                     37.99
64                     38.48
128                    41.08
256                    44.56
512                    49.13
1024                   57.33
2048                   71.70
4096                  107.74
8192                  184.55
16384                 645.35
32768                1117.94
65536                2188.03
131072               4292.67
262144               8082.76
524288              16568.18
1048576             34623.04

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      37.10
2                      36.70
4                      37.12
8                      37.33
16                     37.10
32                     38.09
64                     38.75
128                    41.03
256                    44.66
512                    49.28
1024                   58.63
2048                   71.69
4096                  107.58
8192                  183.98
16384                 641.68
32768                1122.46
65536                2186.22
131072               4316.83
262144               8035.95
524288              16744.47
1048576             34706.40

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      37.40
2                      37.14
4                      37.60
8                      37.86
16                     37.64
32                     38.80
64                     39.19
128                    41.84
256                    44.92
512                    49.48
1024                   57.32
2048                   72.43
4096                  107.52
8192                  183.96
16384                 640.77
32768                1121.93
65536                2188.41
131072               4298.64
262144               8057.35
524288              16670.64
1048576             34549.23
