
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.56
2                      14.85
4                      15.75
8                      17.11
16                     18.93
32                     21.78
64                     27.85
128                    41.13
256                    62.69
512                    96.97
1024                  163.96
2048                  287.99
4096                  509.25
8192                 1110.79
16384                2520.49
32768                4984.77
65536               10160.03
131072              21073.02
262144              43141.16
524288              92077.19
1048576            187151.43
2097152            390794.62

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.45
2                      14.86
4                      15.77
8                      17.17
16                     18.68
32                     21.73
64                     27.79
128                    40.95
256                    62.45
512                    96.65
1024                  164.36
2048                  287.67
4096                  507.89
8192                 1116.13
16384                2564.24
32768                4985.76
65536               10192.82
131072              21107.34
262144              43260.34
524288              91776.31
1048576            186246.40
2097152            390554.23

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.88
2                      14.93
4                      15.81
8                      17.29
16                     18.74
32                     21.99
64                     27.90
128                    41.02
256                    62.55
512                    96.59
1024                  164.13
2048                  287.39
4096                  517.90
8192                 1104.54
16384                2531.99
32768                4981.54
65536               10178.97
131072              21069.72
262144              43347.82
524288              91724.23
1048576            185700.99
2097152            387594.42

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.89
2                      14.80
4                      15.72
8                      17.09
16                     18.66
32                     21.97
64                     27.85
128                    41.20
256                    63.37
512                    97.13
1024                  164.30
2048                  287.90
4096                  513.15
8192                 1108.86
16384                2561.86
32768                4970.08
65536               10217.20
131072              21102.06
262144              43132.26
524288              92032.38
1048576            186800.47
2097152            389355.17

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.47
2                      14.99
4                      15.73
8                      17.16
16                     18.68
32                     21.77
64                     27.88
128                    41.08
256                    62.76
512                    96.79
1024                  163.95
2048                  287.26
4096                  507.92
8192                 1108.54
16384                2548.92
32768                4998.25
65536               10239.35
131072              21018.53
262144              43226.84
524288              92259.70
1048576            185943.71
2097152            388254.68

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.61
2                      14.81
4                      15.78
8                      17.18
16                     19.22
32                     21.80
64                     27.86
128                    41.10
256                    62.70
512                    96.75
1024                  164.10
2048                  288.03
4096                  509.83
8192                 1101.27
16384                2535.78
32768                4984.09
65536               10209.75
131072              21032.91
262144              43247.45
524288              91961.22
1048576            186837.46
2097152            386656.68

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.85
2                      14.85
4                      15.74
8                      17.17
16                     18.68
32                     21.84
64                     27.89
128                    41.17
256                    62.91
512                    97.19
1024                  165.02
2048                  288.07
4096                  507.30
8192                 1105.27
16384                2556.33
32768                4998.67
65536               10228.18
131072              21078.99
262144              43270.75
524288              91922.91
1048576            186705.92
2097152            388966.62

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.52
2                      15.16
4                      16.26
8                      17.54
16                     19.24
32                     21.96
64                     28.46
128                    41.50
256                    63.51
512                    97.47
1024                  164.07
2048                  288.45
4096                  514.03
8192                 1110.30
16384                2562.30
32768                4987.94
65536               10193.46
131072              21147.85
262144              43230.59
524288              91793.20
1048576            186728.92
2097152            388270.17

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.60
2                      14.88
4                      15.81
8                      17.22
16                     19.09
32                     22.00
64                     27.84
128                    41.01
256                    63.43
512                    97.03
1024                  164.66
2048                  287.92
4096                  508.75
8192                 1108.55
16384                2530.98
32768                4994.48
65536               10174.36
131072              21126.89
262144              43298.55
524288              91886.45
1048576            187048.94
2097152            389178.13

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.52
2                      14.87
4                      15.79
8                      17.15
16                     18.76
32                     21.79
64                     27.88
128                    41.13
256                    62.75
512                    97.22
1024                  164.30
2048                  287.76
4096                  508.75
8192                 1107.23
16384                2540.99
32768                5003.99
65536               10232.60
131072              21050.30
262144              43443.19
524288              91833.60
1048576            186543.82
2097152            387418.97
