
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.45
2                      16.72
4                      17.62
8                      21.15
16                     20.18
32                     23.38
64                     29.50
128                    42.85
256                    66.09
512                   102.36
1024                  181.05
2048                  324.91
4096                  541.13
8192                 1219.23
16384                4158.23
32768                8711.42
65536               16673.16
131072              33943.38
262144              72010.49
524288             142815.42
1048576            285459.34
2097152            615310.77

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.13
2                      16.22
4                      17.27
8                      18.61
16                     20.09
32                     23.13
64                     29.37
128                    43.04
256                    65.66
512                   102.56
1024                  176.76
2048                  308.78
4096                  544.23
8192                 1223.91
16384                4159.75
32768                8944.44
65536               18320.59
131072              37877.02
262144              80381.85
524288             162635.05
1048576            321326.93
2097152            642779.38

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.18
2                      16.29
4                      17.33
8                      18.68
16                     20.25
32                     23.20
64                     29.53
128                    43.09
256                    65.51
512                   100.94
1024                  174.39
2048                  304.99
4096                  541.69
8192                 1226.85
16384                4179.74
32768                9006.05
65536               18388.64
131072              37971.51
262144              80181.14
524288             161965.49
1048576            321664.46
2097152            642296.20

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.18
2                      16.29
4                      17.32
8                      18.65
16                     20.16
32                     23.16
64                     29.42
128                    42.88
256                    65.39
512                   101.78
1024                  174.28
2048                  308.75
4096                  541.83
8192                 1224.40
16384                4189.80
32768                8931.73
65536               18372.16
131072              37866.37
262144              80141.32
524288             162172.23
1048576            320706.10
2097152            642184.17

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.37
2                      16.54
4                      18.28
8                      19.02
16                     20.07
32                     23.15
64                     29.82
128                    43.26
256                    65.78
512                   101.44
1024                  174.37
2048                  311.55
4096                  546.47
8192                 1225.54
16384                4170.95
32768                9015.46
65536               18451.90
131072              37819.52
262144              80390.50
524288             162298.81
1048576            321354.86
2097152            642878.39

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.17
2                      16.44
4                      17.34
8                      18.68
16                     20.11
32                     23.15
64                     29.36
128                    42.92
256                    65.94
512                   101.28
1024                  174.22
2048                  305.70
4096                  542.90
8192                 1230.30
16384                4191.97
32768                8943.79
65536               18358.57
131072              37824.97
262144              80254.60
524288             162082.89
1048576            321509.99
2097152            641772.53

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.15
2                      16.24
4                      17.30
8                      18.69
16                     20.22
32                     23.16
64                     29.33
128                    43.09
256                    65.39
512                   100.95
1024                  174.12
2048                  305.38
4096                  542.14
8192                 1216.30
16384                4178.28
32768                8934.85
65536               18329.58
131072              37709.05
262144              80091.48
524288             162237.07
1048576            321421.52
2097152            644119.73

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.19
2                      16.32
4                      17.34
8                      18.63
16                     20.12
32                     23.18
64                     29.42
128                    43.01
256                    65.51
512                   100.79
1024                  173.77
2048                  304.55
4096                  541.47
8192                 1230.38
16384                4175.65
32768                8984.77
65536               18417.69
131072              37858.86
262144              80234.28
524288             162250.63
1048576            321560.54
2097152            643395.65

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.17
2                      16.36
4                      17.32
8                      18.70
16                     20.15
32                     23.24
64                     29.42
128                    42.87
256                    65.51
512                   100.96
1024                  173.90
2048                  305.44
4096                  541.21
8192                 1226.48
16384                4179.69
32768                9007.30
65536               18474.84
131072              37915.06
262144              80136.33
524288             162082.77
1048576            320630.20
2097152            642195.88

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.11
2                      16.22
4                      17.39
8                      18.60
16                     20.12
32                     23.13
64                     29.33
128                    42.84
256                    65.32
512                   100.85
1024                  174.15
2048                  306.13
4096                  544.73
8192                 1227.83
16384                4167.05
32768                8938.28
65536               18345.25
131072              37801.52
262144              80275.59
524288             162627.49
1048576            321783.12
2097152            643648.80
