
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      12.74
2                      11.86
4                       9.78
8                      11.45
16                     11.59
32                     12.08
64                     14.99
128                    19.36
256                    27.45
512                    38.02
1024                  141.89
2048                  239.10
4096                  466.46
8192                  607.03
16384                 965.29
32768                1534.27
65536                3039.62
131072               5968.85
262144              12173.70
524288              25634.22
1048576             50755.91
2097152            110752.27

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.05
2                      10.09
4                       9.58
8                      11.68
16                     10.91
32                     12.01
64                     14.72
128                    20.15
256                    28.00
512                    38.76
1024                  215.75
2048                  385.02
4096                  630.92
8192                  800.49
16384                1120.25
32768                1459.86
65536                2947.85
131072               6016.54
262144              12467.75
524288              26807.51
1048576             52939.11
2097152            116622.54

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.02
2                       9.03
4                      10.64
8                      11.44
16                     10.93
32                     12.98
64                     14.84
128                    19.34
256                    27.65
512                    39.80
1024                  216.35
2048                  385.91
4096                  635.93
8192                  803.03
16384                1118.01
32768                1458.20
65536                2949.11
131072               6032.18
262144              12466.19
524288              26820.77
1048576             52958.04
2097152            116764.70

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.05
2                      10.10
4                       9.62
8                      11.55
16                     10.93
32                     12.10
64                     15.77
128                    19.34
256                    28.10
512                    38.85
1024                  216.56
2048                  390.50
4096                  635.97
8192                  791.13
16384                1116.44
32768                1458.40
65536                2953.57
131072               6036.98
262144              12507.99
524288              26791.95
1048576             52952.51
2097152            116758.60

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.01
2                       9.00
4                       9.57
8                      10.43
16                     11.22
32                     13.24
64                     15.72
128                    19.18
256                    28.60
512                    40.23
1024                  216.02
2048                  384.99
4096                  632.28
8192                  782.50
16384                1123.55
32768                1461.03
65536                2956.58
131072               6039.60
262144              12516.21
524288              26805.89
1048576             52925.26
2097152            116763.00

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.04
2                      10.14
4                      10.64
8                      10.46
16                     10.91
32                     12.03
64                     14.72
128                    19.58
256                    28.38
512                    38.67
1024                  214.32
2048                  383.71
4096                  636.19
8192                  792.88
16384                1126.62
32768                1456.77
65536                2958.40
131072               6037.10
262144              12446.89
524288              26789.76
1048576             52928.63
2097152            116833.45

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.03
2                       9.07
4                       9.60
8                      10.46
16                     10.90
32                     12.00
64                     15.08
128                    19.26
256                    27.51
512                    39.24
1024                  215.60
2048                  383.81
4096                  631.37
8192                  792.26
16384                1108.69
32768                1457.30
65536                2946.33
131072               6029.70
262144              12449.86
524288              26794.26
1048576             52931.65
2097152            116847.46

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.02
2                      10.14
4                      10.63
8                      10.52
16                     10.95
32                     11.98
64                     14.70
128                    19.14
256                    28.28
512                    39.74
1024                  216.05
2048                  382.33
4096                  638.44
8192                  795.82
16384                1124.50
32768                1459.56
65536                2946.36
131072               6029.14
262144              12468.37
524288              26821.59
1048576             52934.49
2097152            116785.43

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.04
2                       9.06
4                       9.57
8                      10.43
16                     10.90
32                     13.09
64                     14.84
128                    19.15
256                    27.56
512                    39.37
1024                  215.33
2048                  381.02
4096                  633.00
8192                  787.56
16384                1118.81
32768                1455.96
65536                2946.84
131072               6019.56
262144              12498.26
524288              26789.79
1048576             52976.11
2097152            117011.84

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.08
2                      10.10
4                      10.69
8                      10.47
16                     10.91
32                     12.02
64                     14.76
128                    19.21
256                    28.34
512                    39.35
1024                  215.04
2048                  386.59
4096                  635.36
8192                  792.11
16384                1121.18
32768                1457.54
65536                2954.18
131072               6023.55
262144              12487.86
524288              26836.57
1048576             52980.59
2097152            116810.69
