
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.81
2                      24.23
4                      24.26
8                      24.50
16                     25.18
32                     26.61
64                     28.94
128                    33.03
256                    38.80
512                    49.25
1024                   70.83
2048                  107.02
4096                  188.15
8192                  426.30
16384                 973.37
32768                1972.84
65536                4070.34
131072               8389.46
262144              17056.31
524288              34233.56
1048576             68296.39

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.94
2                      24.40
4                      24.45
8                      24.61
16                     25.42
32                     26.76
64                     29.20
128                    33.03
256                    38.77
512                    49.05
1024                   71.18
2048                  107.50
4096                  189.16
8192                  431.27
16384                 990.38
32768                2003.68
65536                4069.58
131072               8389.62
262144              17066.60
524288              34258.85
1048576             68376.65

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.94
2                      24.30
4                      24.64
8                      24.86
16                     25.43
32                     26.94
64                     29.46
128                    33.11
256                    38.88
512                    49.61
1024                   70.91
2048                  107.17
4096                  188.99
8192                  425.63
16384                 966.81
32768                1979.22
65536                4014.53
131072               8383.83
262144              17083.68
524288              34362.07
1048576             68213.83

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.72
2                      24.14
4                      24.18
8                      24.43
16                     25.17
32                     26.69
64                     29.01
128                    33.00
256                    38.77
512                    49.05
1024                   71.32
2048                  107.44
4096                  189.13
8192                  431.24
16384                 984.21
32768                1981.90
65536                4062.92
131072               8396.42
262144              17096.53
524288              34267.79
1048576             68482.35

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.15
2                      24.23
4                      24.45
8                      24.57
16                     25.28
32                     26.80
64                     29.13
128                    33.05
256                    38.77
512                    49.04
1024                   70.99
2048                  107.30
4096                  188.53
8192                  430.21
16384                 979.05
32768                1978.06
65536                4037.66
131072               8373.51
262144              17062.75
524288              34209.58
1048576             68302.73

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.00
2                      24.28
4                      24.41
8                      24.60
16                     25.32
32                     26.74
64                     29.17
128                    33.26
256                    38.70
512                    49.16
1024                   71.11
2048                  107.23
4096                  188.90
8192                  427.97
16384                 980.30
32768                1984.02
65536                4060.14
131072               8385.70
262144              17061.03
524288              34249.56
1048576             68530.42

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.01
2                      24.27
4                      24.37
8                      24.71
16                     25.28
32                     26.77
64                     29.31
128                    33.10
256                    38.78
512                    49.05
1024                   71.04
2048                  107.39
4096                  190.09
8192                  433.40
16384                 985.17
32768                1990.50
65536                4018.54
131072               8385.61
262144              17070.75
524288              34326.35
1048576             68339.08

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.69
2                      24.17
4                      24.18
8                      24.44
16                     25.16
32                     26.61
64                     28.96
128                    32.91
256                    38.92
512                    49.12
1024                   71.08
2048                  107.40
4096                  189.02
8192                  430.34
16384                 983.24
32768                1990.77
65536                4071.22
131072               8388.29
262144              17076.25
524288              34232.36
1048576             68365.83

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.05
2                      24.37
4                      24.51
8                      24.66
16                     25.33
32                     26.72
64                     29.33
128                    33.05
256                    38.83
512                    49.14
1024                   71.11
2048                  107.56
4096                  188.96
8192                  430.44
16384                 983.10
32768                1982.55
65536                4051.78
131072               8397.41
262144              17086.01
524288              34280.28
1048576             68429.90

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.89
2                      24.54
4                      24.71
8                      24.80
16                     25.49
32                     26.75
64                     29.05
128                    33.09
256                    38.76
512                    49.08
1024                   71.12
2048                  107.52
4096                  188.99
8192                  427.47
16384                 978.73
32768                1992.29
65536                4068.48
131072               8393.92
262144              17085.74
524288              34284.63
1048576             68349.61

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.92
2                      24.35
4                      24.37
8                      24.61
16                     25.45
32                     26.63
64                     29.23
128                    33.16
256                    38.71
512                    49.04
1024                   71.10
2048                  107.19
4096                  188.73
8192                  428.02
16384                 976.50
32768                1966.61
65536                4075.34
131072               8384.75
262144              17120.93
524288              34363.87
1048576             68362.24
