
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      12.26
2                      68.72
4                      69.04
8                      69.96
16                     11.30
32                     11.75
64                     12.99
128                    76.44
256                    18.24
512                    23.45
1024                   33.24
2048                  168.55
4096                  234.82
8192                  377.61
16384                1028.08
32768                1918.61
65536                2744.53
131072               5180.28
262144              10069.66
524288              20577.51
1048576             42178.54

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.93
2                      68.65
4                      69.03
8                      69.95
16                     11.32
32                     11.89
64                     13.09
128                    76.44
256                    18.38
512                    23.49
1024                   33.39
2048                  168.31
4096                  234.53
8192                  377.35
16384                1022.94
32768                1904.10
65536                2744.62
131072               5184.51
262144              10106.63
524288              20557.76
1048576             42286.30

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.87
2                      68.70
4                      68.99
8                      69.92
16                     11.30
32                     11.76
64                     13.01
128                    76.41
256                    18.26
512                    23.45
1024                   33.30
2048                  168.38
4096                  235.53
8192                  378.17
16384                1027.10
32768                1912.48
65536                2751.15
131072               5207.56
262144              10118.26
524288              20600.60
1048576             42386.68

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.91
2                      68.74
4                      69.04
8                      69.96
16                     11.34
32                     11.80
64                     13.06
128                    76.51
256                    18.31
512                    23.52
1024                   33.37
2048                  168.61
4096                  234.56
8192                  377.68
16384                1024.71
32768                1894.96
65536                2745.25
131072               5174.13
262144              10066.01
524288              20582.62
1048576             42216.16

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      12.02
2                      68.78
4                      69.08
8                      70.18
16                     11.28
32                     11.78
64                     13.07
128                    76.55
256                    18.28
512                    23.51
1024                   33.75
2048                  168.86
4096                  234.94
8192                  377.10
16384                1023.19
32768                1901.75
65536                2748.68
131072               5178.04
262144              10063.71
524288              20658.29
1048576             42300.54

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.82
2                      68.69
4                      68.98
8                      69.94
16                     11.31
32                     11.79
64                     13.00
128                    76.41
256                    18.27
512                    23.48
1024                   33.36
2048                  168.14
4096                  234.16
8192                  376.74
16384                1026.88
32768                1907.40
65536                2747.24
131072               5168.98
262144              10058.96
524288              20722.17
1048576             42251.61

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.84
2                      68.70
4                      69.00
8                      70.02
16                     11.28
32                     11.70
64                     12.99
128                    76.42
256                    18.25
512                    23.51
1024                   33.39
2048                  168.91
4096                  235.26
8192                  377.57
16384                1023.11
32768                1926.70
65536                2747.52
131072               5177.30
262144              10063.83
524288              20652.99
1048576             42391.44

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.97
2                      68.70
4                      69.03
8                      69.98
16                     11.39
32                     11.86
64                     13.04
128                    76.36
256                    18.36
512                    23.48
1024                   33.29
2048                  168.82
4096                  235.90
8192                  378.17
16384                1025.82
32768                1915.87
65536                2753.18
131072               5184.52
262144              10087.80
524288              20620.48
1048576             42455.67

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.77
2                      68.70
4                      69.01
8                      69.96
16                     11.30
32                     11.70
64                     12.98
128                    76.45
256                    18.41
512                    23.46
1024                   33.32
2048                  168.72
4096                  234.91
8192                  378.32
16384                1026.73
32768                1871.30
65536                2746.35
131072               5172.14
262144              10061.63
524288              20666.17
1048576             42351.33

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.76
2                      68.68
4                      69.06
8                      70.02
16                     11.29
32                     11.72
64                     12.99
128                    76.46
256                    18.23
512                    23.48
1024                   33.25
2048                  168.89
4096                  235.14
8192                  377.17
16384                1027.01
32768                1909.27
65536                2747.76
131072               5172.61
262144              10055.32
524288              20654.49
1048576             42346.58

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.87
2                      68.66
4                      69.02
8                      69.97
16                     11.32
32                     11.77
64                     13.25
128                    76.46
256                    18.31
512                    23.53
1024                   33.60
2048                  168.80
4096                  235.27
8192                  377.11
16384                1025.85
32768                1923.92
65536                2747.74
131072               5179.77
262144              10079.59
524288              20577.54
1048576             42271.53
