
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      33.38
2                      33.26
4                      33.97
8                      34.52
16                     34.36
32                     34.19
64                     34.75
128                    39.85
256                    45.97
512                    51.46
1024                   60.39
2048                   78.13
4096                  114.28
8192                  182.52
16384                 346.39
32768                 614.76
65536                1365.83
131072               2824.87
262144               5659.18
524288              11461.69
1048576             23266.59

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      39.46
2                      38.32
4                      38.75
8                      39.42
16                     39.18
32                     39.84
64                     38.94
128                    44.22
256                    48.43
512                    52.08
1024                   60.72
2048                   78.12
4096                  114.14
8192                  179.70
16384                 345.54
32768                 616.28
65536                1365.67
131072               2828.77
262144               5671.56
524288              11468.69
1048576             23303.09

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      38.72
2                      37.86
4                      37.84
8                      38.35
16                     38.91
32                     37.67
64                     38.97
128                    43.13
256                    48.37
512                    51.90
1024                   60.63
2048                   78.51
4096                  114.50
8192                  180.39
16384                 347.83
32768                 616.35
65536                1368.74
131072               2831.83
262144               5661.40
524288              11456.83
1048576             23297.68

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.06
2                      33.19
4                      33.42
8                      33.87
16                     34.15
32                     33.85
64                     34.90
128                    39.86
256                    45.90
512                    51.35
1024                   60.33
2048                   78.13
4096                  114.19
8192                  180.42
16384                 346.37
32768                 614.17
65536                1367.37
131072               2828.88
262144               5671.96
524288              11480.29
1048576             23258.41

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      33.77
2                      33.27
4                      33.28
8                      33.71
16                     34.20
32                     33.91
64                     34.68
128                    39.80
256                    45.85
512                    51.34
1024                   60.24
2048                   78.23
4096                  114.24
8192                  181.44
16384                 345.43
32768                 617.71
65536                1367.73
131072               2828.77
262144               5676.27
524288              11469.18
1048576             23270.37

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      33.97
2                      33.45
4                      33.59
8                      34.05
16                     34.39
32                     33.73
64                     34.78
128                    40.07
256                    46.02
512                    51.44
1024                   60.44
2048                   78.07
4096                  113.97
8192                  179.92
16384                 345.48
32768                 612.26
65536                1370.48
131072               2828.33
262144               5669.49
524288              11464.67
1048576             23249.58

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.17
2                      33.58
4                      33.80
8                      34.14
16                     34.48
32                     33.93
64                     34.95
128                    40.01
256                    46.18
512                    51.56
1024                   60.52
2048                   78.19
4096                  114.47
8192                  181.26
16384                 345.86
32768                 618.34
65536                1368.43
131072               2830.82
262144               5672.26
524288              11459.57
1048576             23237.94

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      33.99
2                      33.39
4                      33.60
8                      34.18
16                     34.00
32                     33.82
64                     34.84
128                    40.01
256                    45.94
512                    51.70
1024                   61.38
2048                   78.17
4096                  114.78
8192                  180.77
16384                 348.26
32768                 612.60
65536                1369.35
131072               2831.26
262144               5686.61
524288              11470.74
1048576             23290.52

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      33.81
2                      33.53
4                      34.21
8                      33.98
16                     34.27
32                     34.17
64                     34.89
128                    40.13
256                    46.12
512                    52.14
1024                   60.88
2048                   78.15
4096                  114.72
8192                  182.70
16384                 345.11
32768                 620.87
65536                1369.16
131072               2835.57
262144               5683.77
524288              11474.09
1048576             23254.57

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.51
2                      33.45
4                      33.76
8                      34.16
16                     34.37
32                     34.03
64                     35.06
128                    39.90
256                    46.14
512                    51.83
1024                   60.57
2048                   78.50
4096                  115.01
8192                  181.56
16384                 347.39
32768                 620.74
65536                1366.70
131072               2829.96
262144               5650.44
524288              11463.37
1048576             23274.81

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      38.59
2                      38.25
4                      37.89
8                      37.77
16                     39.18
32                     38.55
64                     39.44
128                    42.83
256                    47.98
512                    51.76
1024                   60.44
2048                   78.22
4096                  114.33
8192                  180.64
16384                 346.52
32768                 615.98
65536                1368.54
131072               2828.23
262144               5676.37
524288              11479.43
1048576             23255.94
