
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.17
2                       8.43
4                       9.02
8                       9.20
16                     10.02
32                     10.58
64                     11.52
128                    13.48
256                    17.58
512                    27.36
1024                   44.69
2048                   69.54
4096                  119.47
8192                  222.28
16384                 452.97
32768                 864.19
65536                2810.29
131072               6943.23
262144              14663.84
524288              30041.36
1048576             60303.10

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.04
2                       8.56
4                       9.13
8                       9.32
16                     10.08
32                     10.74
64                     11.69
128                    13.97
256                    18.17
512                    28.18
1024                   46.04
2048                   70.94
4096                  122.10
8192                  226.17
16384                 461.40
32768                 880.42
65536                2829.34
131072               6984.66
262144              14629.62
524288              29980.75
1048576             60464.89

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.27
2                       8.82
4                       9.31
8                       9.55
16                     10.27
32                     10.92
64                     11.95
128                    13.95
256                    18.18
512                    28.06
1024                   45.40
2048                   71.07
4096                  120.40
8192                  222.66
16384                 458.91
32768                 864.24
65536                2831.08
131072               6926.92
262144              14564.03
524288              29946.31
1048576             60598.77

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.11
2                       8.46
4                       8.99
8                       9.36
16                     10.01
32                     10.66
64                     11.63
128                    13.58
256                    17.67
512                    27.40
1024                   44.80
2048                   69.62
4096                  120.34
8192                  224.12
16384                 460.12
32768                 867.39
65536                2799.17
131072               6898.97
262144              14603.17
524288              29976.98
1048576             60552.77

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.10
2                       8.69
4                       9.25
8                       9.47
16                     10.29
32                     10.96
64                     11.90
128                    13.88
256                    18.11
512                    28.19
1024                   45.95
2048                   71.47
4096                  123.14
8192                  227.84
16384                 468.30
32768                 895.89
65536                2869.26
131072               6991.98
262144              14612.38
524288              29837.00
1048576             60174.50

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       8.95
2                       8.59
4                       9.14
8                       9.40
16                     10.17
32                     10.83
64                     11.77
128                    13.81
256                    17.92
512                    27.80
1024                   45.38
2048                   70.53
4096                  121.20
8192                  222.36
16384                 455.87
32768                 863.21
65536                2831.55
131072               6967.78
262144              14824.44
524288              30172.35
1048576             60558.89

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.22
2                       8.46
4                       9.00
8                       9.25
16                      9.98
32                     10.68
64                     11.55
128                    13.79
256                    17.72
512                    27.48
1024                   44.77
2048                   69.68
4096                  119.70
8192                  222.19
16384                 455.11
32768                 866.64
65536                2787.96
131072               6897.25
262144              14580.42
524288              29994.70
1048576             60438.32

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.22
2                       8.74
4                       9.29
8                       9.57
16                     10.35
32                     11.02
64                     11.99
128                    14.10
256                    18.33
512                    28.38
1024                   46.53
2048                   72.55
4096                  124.76
8192                  229.82
16384                 474.32
32768                 900.39
65536                2888.72
131072               7110.11
262144              14548.91
524288              29849.05
1048576             60758.74

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.17
2                       8.49
4                       9.01
8                       9.23
16                     10.02
32                     10.67
64                     11.56
128                    13.53
256                    17.73
512                    27.66
1024                   44.81
2048                   69.54
4096                  119.91
8192                  222.89
16384                 457.45
32768                 864.22
65536                2796.49
131072               6871.11
262144              14615.94
524288              29817.87
1048576             60141.97

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.32
2                       8.60
4                       9.11
8                       9.35
16                     10.17
32                     10.79
64                     11.71
128                    13.77
256                    17.98
512                    27.96
1024                   45.15
2048                   69.29
4096                  118.79
8192                  222.45
16384                 454.58
32768                 863.90
65536                2829.47
131072               6983.04
262144              14815.24
524288              29986.23
1048576             60547.01

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.07
2                       8.52
4                       9.09
8                       9.32
16                     10.06
32                     10.71
64                     11.86
128                    13.64
256                    17.68
512                    27.45
1024                   45.04
2048                   69.75
4096                  119.63
8192                  223.64
16384                 459.07
32768                 865.54
65536                2842.46
131072               6928.06
262144              14570.34
524288              30066.32
1048576             60135.69
