
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.61
2                      34.13
4                      34.37
8                      34.76
16                     33.13
32                     14.25
64                     14.90
128                    16.18
256                    17.78
512                    20.49
1024                   26.43
2048                   37.01
4096                  125.42
8192                  179.85
16384                 389.93
32768                 592.59
65536                1145.12
131072               2071.59
262144               4547.52
524288               9840.16
1048576             20314.69

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.41
2                      34.02
4                      34.45
8                      35.02
16                     33.12
32                     14.44
64                     14.90
128                    16.21
256                    17.94
512                    20.42
1024                   26.49
2048                   37.16
4096                  125.98
8192                  180.50
16384                 391.15
32768                 594.82
65536                1141.55
131072               2084.89
262144               4476.23
524288               9834.28
1048576             20381.49

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.42
2                      34.05
4                      34.26
8                      34.72
16                     33.06
32                     14.24
64                     14.93
128                    16.19
256                    17.79
512                    20.42
1024                   26.44
2048                   37.11
4096                  125.79
8192                  180.30
16384                 389.52
32768                 594.15
65536                1137.18
131072               2067.65
262144               4487.63
524288               9847.17
1048576             20355.53

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.36
2                      34.04
4                      34.32
8                      34.81
16                     33.17
32                     14.32
64                     14.96
128                    16.25
256                    17.84
512                    20.52
1024                   26.51
2048                   37.35
4096                  126.11
8192                  179.99
16384                 387.97
32768                 592.00
65536                1137.12
131072               2063.79
262144               4475.47
524288               9841.94
1048576             20309.65

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.42
2                      34.08
4                      34.25
8                      34.72
16                     33.08
32                     14.26
64                     14.90
128                    16.18
256                    17.80
512                    20.46
1024                   26.47
2048                   37.08
4096                  125.85
8192                  180.67
16384                 394.12
32768                 594.16
65536                1149.29
131072               2080.62
262144               4492.22
524288               9865.57
1048576             20438.18

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.56
2                      34.41
4                      34.47
8                      34.93
16                     33.38
32                     14.27
64                     14.96
128                    16.25
256                    17.86
512                    20.56
1024                   26.51
2048                   37.33
4096                  126.60
8192                  181.51
16384                 389.66
32768                 595.82
65536                1153.90
131072               2082.19
262144               4520.17
524288               9936.86
1048576             20339.55

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.67
2                      34.19
4                      34.44
8                      34.87
16                     33.19
32                     14.35
64                     15.00
128                    16.22
256                    17.86
512                    20.66
1024                   26.48
2048                   37.11
4096                  126.08
8192                  181.08
16384                 389.93
32768                 593.68
65536                1136.46
131072               2075.73
262144               4477.93
524288               9840.02
1048576             20367.77

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.55
2                      34.21
4                      34.39
8                      34.93
16                     33.23
32                     14.28
64                     15.07
128                    16.23
256                    17.84
512                    20.57
1024                   26.48
2048                   37.00
4096                  125.84
8192                  180.10
16384                 389.75
32768                 594.13
65536                1123.42
131072               2050.34
262144               4465.10
524288               9832.36
1048576             20360.43

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.58
2                      34.23
4                      34.43
8                      34.90
16                     33.26
32                     14.29
64                     14.98
128                    16.26
256                    17.91
512                    20.57
1024                   26.50
2048                   37.06
4096                  126.28
8192                  180.38
16384                 391.61
32768                 592.85
65536                1126.77
131072               2053.75
262144               4466.46
524288               9826.34
1048576             20316.30

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.71
2                      34.39
4                      34.40
8                      34.89
16                     33.25
32                     14.34
64                     14.99
128                    16.26
256                    17.88
512                    20.63
1024                   26.63
2048                   37.17
4096                  126.84
8192                  181.56
16384                 390.43
32768                 593.98
65536                1129.98
131072               2067.39
262144               4482.85
524288               9833.62
1048576             20416.27

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.51
2                      34.15
4                      34.41
8                      34.93
16                     33.31
32                     14.30
64                     14.98
128                    16.24
256                    17.95
512                    20.53
1024                   26.51
2048                   37.20
4096                  126.86
8192                  180.27
16384                 394.22
32768                 600.15
65536                1141.07
131072               2083.67
262144               4510.60
524288               9902.24
1048576             20479.48
