
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.96
2                      17.51
4                      16.50
8                      16.90
16                     15.55
32                     16.11
64                     17.14
128                    18.74
256                    21.12
512                    24.50
1024                   32.67
2048                   46.67
4096                   93.67
8192                  149.35
16384                 441.82
32768                 671.45
65536                1149.75
131072               2093.67
262144               4750.30
524288              11013.28
1048576             22434.64

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.86
2                      17.40
4                      16.46
8                      16.82
16                     15.54
32                     16.16
64                     17.10
128                    18.60
256                    21.11
512                    24.54
1024                   32.67
2048                   46.59
4096                   93.83
8192                  150.06
16384                 433.72
32768                 666.76
65536                1188.17
131072               2092.58
262144               4743.79
524288              11070.85
1048576             22457.69

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.92
2                      17.59
4                      16.61
8                      16.95
16                     15.50
32                     16.15
64                     17.25
128                    18.69
256                    21.10
512                    24.41
1024                   32.79
2048                   46.87
4096                   93.59
8192                  149.33
16384                 429.00
32768                 668.65
65536                1149.65
131072               2094.61
262144               4743.99
524288              11051.80
1048576             22529.87

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.87
2                      17.42
4                      16.45
8                      16.83
16                     15.49
32                     16.06
64                     17.09
128                    18.61
256                    21.06
512                    24.47
1024                   32.68
2048                   46.60
4096                   93.46
8192                  148.82
16384                 428.14
32768                 676.74
65536                1188.68
131072               2096.37
262144               4733.06
524288              11040.09
1048576             22321.19

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.06
2                      17.63
4                      16.67
8                      17.00
16                     15.69
32                     16.16
64                     17.25
128                    18.74
256                    21.14
512                    24.54
1024                   32.79
2048                   46.81
4096                   94.00
8192                  150.25
16384                 433.98
32768                 676.31
65536                1183.13
131072               2095.36
262144               4738.89
524288              11012.98
1048576             22312.31

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.95
2                      17.46
4                      16.54
8                      16.91
16                     15.48
32                     16.07
64                     17.11
128                    18.64
256                    21.08
512                    24.38
1024                   32.70
2048                   46.83
4096                   93.48
8192                  149.48
16384                 433.52
32768                 667.34
65536                1157.39
131072               2094.12
262144               4741.84
524288              10994.26
1048576             22486.81

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.67
2                      17.41
4                      16.49
8                      16.82
16                     15.46
32                     16.02
64                     17.10
128                    18.60
256                    21.05
512                    24.40
1024                   32.57
2048                   46.42
4096                   93.29
8192                  148.84
16384                 430.11
32768                 667.43
65536                1145.80
131072               2091.67
262144               4733.57
524288              10998.11
1048576             22412.81

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.00
2                      17.53
4                      16.55
8                      16.96
16                     15.51
32                     16.14
64                     17.15
128                    18.73
256                    21.13
512                    24.60
1024                   32.81
2048                   46.82
4096                   93.90
8192                  149.77
16384                 429.31
32768                 668.87
65536                1153.42
131072               2099.93
262144               4751.65
524288              10948.78
1048576             22453.93

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.91
2                      17.61
4                      16.56
8                      16.96
16                     15.55
32                     16.15
64                     17.31
128                    18.72
256                    21.19
512                    24.54
1024                   32.90
2048                   46.88
4096                   94.06
8192                  150.40
16384                 431.67
32768                 669.98
65536                1194.93
131072               2096.76
262144               4745.89
524288              10953.70
1048576             22520.54

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.01
2                      17.48
4                      16.57
8                      17.04
16                     15.50
32                     16.11
64                     17.14
128                    18.65
256                    21.07
512                    24.42
1024                   32.66
2048                   46.72
4096                   93.43
8192                  149.57
16384                 431.31
32768                 666.61
65536                1147.85
131072               2091.53
262144               4734.90
524288              11023.31
1048576             22544.82

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.02
2                      17.51
4                      16.53
8                      16.95
16                     15.51
32                     16.12
64                     17.16
128                    18.75
256                    21.15
512                    24.57
1024                   32.88
2048                   46.87
4096                   93.79
8192                  149.91
16384                 433.46
32768                 672.36
65536                1191.36
131072               2089.94
262144               4750.32
524288              11056.37
1048576             22490.86
