
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      49.42
2                      49.30
4                      49.42
8                      50.02
16                     46.85
32                     47.30
64                     49.39
128                    54.58
256                    60.55
512                    69.71
1024                   87.02
2048                  117.38
4096                  177.06
8192                  292.59
16384                 563.96
32768                1121.29
65536                2404.40
131072               4932.73
262144               9900.13
524288              20227.37
1048576             40915.86

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      49.44
2                      49.84
4                      49.64
8                      50.13
16                     46.82
32                     47.36
64                     49.45
128                    54.65
256                    60.66
512                    69.56
1024                   86.77
2048                  115.45
4096                  177.40
8192                  292.23
16384                 563.85
32768                1117.79
65536                2399.34
131072               4922.52
262144               9868.42
524288              20235.36
1048576             40807.85

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      49.38
2                      49.20
4                      49.11
8                      49.72
16                     46.25
32                     46.85
64                     48.76
128                    54.07
256                    60.28
512                    69.05
1024                   86.24
2048                  114.58
4096                  176.01
8192                  290.06
16384                 559.63
32768                1114.86
65536                2381.06
131072               4910.86
262144               9863.53
524288              20242.45
1048576             40850.41

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      48.88
2                      49.13
4                      49.53
8                      49.38
16                     46.77
32                     46.74
64                     49.02
128                    54.04
256                    60.16
512                    69.73
1024                   86.13
2048                  114.64
4096                  175.89
8192                  290.06
16384                 561.19
32768                1115.55
65536                2392.72
131072               4903.71
262144               9854.69
524288              20213.93
1048576             40791.01

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      48.82
2                      48.71
4                      48.81
8                      49.46
16                     46.25
32                     46.76
64                     48.89
128                    54.27
256                    60.18
512                    69.39
1024                   86.56
2048                  115.01
4096                  176.07
8192                  290.46
16384                 558.45
32768                1115.41
65536                2385.76
131072               4921.13
262144               9894.19
524288              20300.02
1048576             40875.02

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      49.41
2                      49.15
4                      49.97
8                      49.91
16                     46.33
32                     46.76
64                     48.94
128                    54.20
256                    60.12
512                    69.30
1024                   86.30
2048                  114.83
4096                  175.62
8192                  290.28
16384                 556.84
32768                1114.46
65536                2387.31
131072               4910.68
262144               9871.92
524288              20248.75
1048576             40836.84

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      49.50
2                      49.16
4                      49.20
8                      49.91
16                     46.73
32                     47.21
64                     49.32
128                    54.54
256                    60.51
512                    69.64
1024                   87.12
2048                  116.47
4096                  175.69
8192                  292.48
16384                 563.45
32768                1117.16
65536                2380.94
131072               4907.08
262144               9868.83
524288              20250.24
1048576             40888.82

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      49.34
2                      48.68
4                      49.53
8                      49.35
16                     46.23
32                     46.66
64                     48.83
128                    54.14
256                    60.24
512                    69.22
1024                   86.28
2048                  114.63
4096                  175.44
8192                  289.91
16384                 557.43
32768                1112.97
65536                2394.07
131072               4905.90
262144               9860.80
524288              20233.44
1048576             40779.89

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      49.47
2                      49.04
4                      48.94
8                      49.48
16                     46.99
32                     47.49
64                     48.95
128                    54.28
256                    60.20
512                    69.14
1024                   86.20
2048                  116.63
4096                  175.69
8192                  290.02
16384                 559.27
32768                1111.67
65536                2392.29
131072               4907.55
262144               9895.26
524288              20251.42
1048576             40817.07

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      49.65
2                      49.25
4                      49.35
8                      49.88
16                     46.66
32                     46.77
64                     48.71
128                    54.15
256                    60.15
512                    69.11
1024                   87.80
2048                  114.63
4096                  175.56
8192                  289.67
16384                 558.76
32768                1112.71
65536                2389.74
131072               4914.25
262144               9868.13
524288              20234.98
1048576             40806.82

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      49.26
2                      48.68
4                      48.80
8                      49.41
16                     46.19
32                     46.69
64                     48.96
128                    54.86
256                    60.22
512                    69.26
1024                   86.19
2048                  115.45
4096                  175.78
8192                  291.66
16384                 562.68
32768                1113.36
65536                2396.38
131072               4914.63
262144               9871.22
524288              20264.19
1048576             40822.60
