
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.50
2                      18.88
4                      18.57
8                      19.24
16                     17.55
32                     18.00
64                     19.36
128                    21.76
256                    26.01
512                    34.91
1024                   52.27
2048                   78.00
4096                  129.07
8192                  233.13
16384                 472.37
32768                 840.96
65536                3004.38
131072               7044.82
262144              15253.74
524288              31057.20
1048576             62229.16

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.31
2                      18.96
4                      18.30
8                      19.32
16                     17.69
32                     18.28
64                     19.73
128                    21.80
256                    26.42
512                    35.90
1024                   53.01
2048                   78.02
4096                  128.91
8192                  234.30
16384                 478.86
32768                 837.27
65536                3078.40
131072               7065.18
262144              15300.45
524288              30995.33
1048576             61975.61

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.81
2                      19.44
4                      18.68
8                      19.58
16                     17.91
32                     18.54
64                     20.01
128                    22.13
256                    26.82
512                    36.38
1024                   54.09
2048                   79.97
4096                  132.07
8192                  240.76
16384                 480.94
32768                 849.88
65536                3075.70
131072               7224.53
262144              15430.61
524288              30677.38
1048576             62036.14

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.51
2                      18.88
4                      18.29
8                      19.31
16                     17.68
32                     18.29
64                     19.73
128                    21.80
256                    26.45
512                    35.84
1024                   53.60
2048                   78.87
4096                  130.40
8192                  236.66
16384                 476.08
32768                 848.14
65536                3088.32
131072               7334.90
262144              15380.90
524288              30917.97
1048576             62490.54

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.29
2                      18.69
4                      17.96
8                      18.93
16                     17.40
32                     17.97
64                     19.61
128                    21.43
256                    25.96
512                    34.77
1024                   52.42
2048                   78.18
4096                  129.29
8192                  234.34
16384                 477.13
32768                 838.58
65536                3048.20
131072               7077.59
262144              15301.82
524288              30985.33
1048576             62309.28

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.50
2                      18.88
4                      18.29
8                      19.29
16                     17.75
32                     17.99
64                     19.35
128                    21.50
256                    25.85
512                    34.76
1024                   52.31
2048                   77.94
4096                  128.53
8192                  234.36
16384                 476.23
32768                 840.67
65536                2982.78
131072               6965.01
262144              15250.84
524288              31213.33
1048576             62034.03

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.65
2                      18.58
4                      17.98
8                      18.97
16                     17.41
32                     18.27
64                     19.57
128                    21.48
256                    25.98
512                    35.35
1024                   52.52
2048                   78.24
4096                  129.77
8192                  235.20
16384                 474.43
32768                 846.52
65536                3088.48
131072               7256.11
262144              15340.58
524288              30872.83
1048576             61686.07

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.34
2                      18.54
4                      18.03
8                      19.37
16                     17.34
32                     17.97
64                     19.32
128                    21.62
256                    26.13
512                    35.06
1024                   52.29
2048                   77.74
4096                  128.52
8192                  234.05
16384                 490.17
32768                 838.92
65536                3064.87
131072               7095.03
262144              15235.99
524288              31100.98
1048576             62001.32

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.49
2                      18.88
4                      18.42
8                      19.26
16                     17.78
32                     18.27
64                     19.71
128                    21.78
256                    26.38
512                    35.61
1024                   53.17
2048                   79.06
4096                  130.24
8192                  235.76
16384                 477.30
32768                 847.70
65536                3008.94
131072               7141.79
262144              15182.09
524288              30836.13
1048576             62292.80

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.91
2                      19.20
4                      18.68
8                      19.60
16                     17.97
32                     18.54
64                     20.05
128                    21.91
256                    26.42
512                    35.59
1024                   53.12
2048                   79.06
4096                  129.83
8192                  236.77
16384                 472.77
32768                 842.67
65536                3047.95
131072               7119.73
262144              15272.66
524288              31002.42
1048576             62328.35

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.81
2                      19.30
4                      18.63
8                      19.68
16                     17.95
32                     18.70
64                     20.10
128                    22.12
256                    26.75
512                    35.65
1024                   53.60
2048                   79.66
4096                  130.11
8192                  236.39
16384                 480.09
32768                 847.49
65536                3057.06
131072               6995.52
262144              15283.08
524288              30925.50
1048576             61631.13
