
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      60.90
2                      60.57
4                      60.60
8                      61.41
16                     57.53
32                     58.30
64                     60.86
128                    64.83
256                    70.75
512                    78.36
1024                   95.34
2048                  123.94
4096                  190.92
8192                  336.32
16384                1094.24
32768                2019.06
65536                4061.45
131072               8260.66
262144              16555.94
524288              33263.18
1048576             68013.70

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      61.27
2                      61.00
4                      61.52
8                      61.69
16                     57.45
32                     58.94
64                     60.79
128                    65.13
256                    71.19
512                    78.43
1024                   95.38
2048                  124.52
4096                  191.89
8192                  342.10
16384                1100.52
32768                2023.89
65536                4060.60
131072               8245.32
262144              16555.09
524288              33303.97
1048576             68102.77

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      60.89
2                      60.77
4                      60.59
8                      61.76
16                     57.72
32                     58.41
64                     60.81
128                    65.03
256                    70.64
512                    78.56
1024                   95.31
2048                  123.93
4096                  192.37
8192                  338.08
16384                1115.94
32768                2019.00
65536                4057.99
131072               8251.15
262144              16512.00
524288              33271.28
1048576             68105.92

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      61.23
2                      60.95
4                      60.87
8                      61.78
16                     57.77
32                     58.69
64                     60.87
128                    65.20
256                    70.97
512                    78.80
1024                   95.36
2048                  123.94
4096                  191.32
8192                  338.64
16384                1118.67
32768                2017.60
65536                4069.10
131072               8270.73
262144              16517.70
524288              33302.55
1048576             68138.81

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      60.96
2                      60.74
4                      60.58
8                      61.60
16                     57.65
32                     58.21
64                     60.83
128                    64.89
256                    70.66
512                    78.29
1024                   95.27
2048                  124.11
4096                  191.73
8192                  336.55
16384                1098.06
32768                2031.12
65536                4067.57
131072               8253.48
262144              16558.74
524288              33381.43
1048576             68126.56

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      60.91
2                      60.34
4                      60.84
8                      61.32
16                     57.69
32                     58.19
64                     61.41
128                    64.89
256                    70.54
512                    78.13
1024                   95.89
2048                  124.44
4096                  192.49
8192                  340.22
16384                1112.31
32768                2023.09
65536                4076.29
131072               8271.49
262144              16484.73
524288              33325.69
1048576             68096.09

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      60.59
2                      60.60
4                      60.47
8                      61.43
16                     57.43
32                     58.00
64                     60.77
128                    64.75
256                    70.57
512                    78.17
1024                   95.25
2048                  123.88
4096                  191.76
8192                  334.49
16384                1080.15
32768                2016.60
65536                4048.85
131072               8258.20
262144              16464.86
524288              33317.48
1048576             68049.24

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      60.79
2                      60.70
4                      60.70
8                      61.48
16                     57.63
32                     58.39
64                     60.70
128                    65.05
256                    70.65
512                    78.41
1024                   95.28
2048                  123.92
4096                  191.37
8192                  337.34
16384                1119.29
32768                2018.38
65536                4061.64
131072               8249.27
262144              16527.22
524288              33337.04
1048576             68042.10

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      60.83
2                      60.83
4                      60.78
8                      61.54
16                     57.77
32                     58.36
64                     60.75
128                    64.76
256                    70.70
512                    78.67
1024                   95.28
2048                  123.97
4096                  191.60
8192                  340.82
16384                1090.23
32768                2012.47
65536                4064.60
131072               8253.62
262144              16472.58
524288              33238.52
1048576             68102.37

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      61.52
2                      60.81
4                      60.95
8                      61.88
16                     57.84
32                     58.68
64                     60.90
128                    65.51
256                    71.86
512                    78.97
1024                   95.40
2048                  130.61
4096                  191.96
8192                  342.20
16384                1005.72
32768                2018.26
65536                4062.58
131072               8251.29
262144              16483.93
524288              33257.19
1048576             68160.42

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      60.87
2                      60.86
4                      60.84
8                      61.75
16                     57.98
32                     58.72
64                     60.82
128                    65.10
256                    71.02
512                    78.66
1024                   95.30
2048                  124.07
4096                  191.70
8192                  340.66
16384                1093.99
32768                2011.55
65536                4056.25
131072               8225.76
262144              16519.06
524288              33332.28
1048576             68124.32
