
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.92
2                      17.46
4                      16.50
8                      16.81
16                     15.42
32                     16.00
64                     17.04
128                    18.54
256                    20.96
512                    24.34
1024                   32.60
2048                   46.57
4096                  111.80
8192                  168.04
16384                 408.30
32768                 671.10
65536                 954.91
131072               1756.02
262144               3871.78
524288               8076.42
1048576             16689.85

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.98
2                      17.52
4                      16.61
8                      16.98
16                     15.52
32                     16.11
64                     17.18
128                    18.72
256                    21.14
512                    24.62
1024                   32.92
2048                   46.99
4096                  112.67
8192                  168.54
16384                 410.24
32768                 673.09
65536                 954.63
131072               1742.26
262144               3833.04
524288               8064.20
1048576             16650.54

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.86
2                      17.44
4                      16.55
8                      16.89
16                     15.47
32                     16.02
64                     17.09
128                    18.59
256                    20.98
512                    24.35
1024                   32.64
2048                   46.70
4096                  112.05
8192                  167.87
16384                 411.26
32768                 672.03
65536                 939.10
131072               1726.66
262144               3836.55
524288               8061.57
1048576             16353.67

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.95
2                      17.46
4                      16.50
8                      16.90
16                     15.50
32                     16.07
64                     17.15
128                    18.72
256                    21.12
512                    24.51
1024                   32.76
2048                   46.59
4096                  112.05
8192                  168.01
16384                 409.52
32768                 672.40
65536                 960.49
131072               1753.67
262144               3892.39
524288               8091.31
1048576             16566.42

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.88
2                      17.49
4                      16.54
8                      16.86
16                     15.43
32                     16.04
64                     17.07
128                    18.61
256                    21.07
512                    24.45
1024                   32.74
2048                   46.81
4096                  112.38
8192                  168.73
16384                 412.14
32768                 672.55
65536                 965.12
131072               1753.38
262144               3864.26
524288               8076.86
1048576             16725.11

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.97
2                      17.57
4                      16.51
8                      16.89
16                     15.42
32                     16.04
64                     17.03
128                    18.67
256                    21.03
512                    24.45
1024                   32.66
2048                   46.75
4096                  112.27
8192                  168.72
16384                 415.25
32768                 673.19
65536                 966.52
131072               1766.88
262144               3869.93
524288               8109.87
1048576             16750.78

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.92
2                      17.48
4                      16.51
8                      16.94
16                     15.54
32                     16.04
64                     17.09
128                    18.62
256                    21.09
512                    24.43
1024                   32.62
2048                   46.60
4096                  111.96
8192                  167.66
16384                 409.06
32768                 672.43
65536                 965.14
131072               1748.95
262144               3839.09
524288               8071.62
1048576             16661.83

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.00
2                      17.59
4                      16.56
8                      16.96
16                     15.48
32                     16.28
64                     17.28
128                    18.69
256                    21.14
512                    24.54
1024                   33.03
2048                   46.89
4096                  113.22
8192                  168.44
16384                 409.74
32768                 673.99
65536                 964.12
131072               1758.58
262144               3851.66
524288               8079.97
1048576             16507.33

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.94
2                      17.47
4                      16.52
8                      16.91
16                     15.47
32                     16.05
64                     17.13
128                    18.67
256                    21.03
512                    24.44
1024                   32.78
2048                   46.87
4096                  112.53
8192                  168.81
16384                 409.04
32768                 672.45
65536                 955.97
131072               1747.45
262144               3882.43
524288               8106.93
1048576             16465.70

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.96
2                      17.56
4                      16.64
8                      17.06
16                     15.56
32                     16.14
64                     17.19
128                    18.77
256                    21.24
512                    24.58
1024                   32.93
2048                   47.18
4096                  113.03
8192                  169.21
16384                 411.77
32768                 673.92
65536                 961.07
131072               1758.47
262144               3836.20
524288               8095.90
1048576             16584.54

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.02
2                      17.54
4                      16.55
8                      16.93
16                     15.49
32                     16.08
64                     17.15
128                    18.67
256                    21.11
512                    24.49
1024                   32.78
2048                   46.90
4096                  112.51
8192                  169.28
16384                 413.24
32768                 674.79
65536                 961.69
131072               1742.16
262144               3848.05
524288               8078.48
1048576             16623.01
