
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.13
2                       5.66
4                       5.90
8                       6.26
16                      7.10
32                      6.99
64                      7.80
128                     8.74
256                    10.23
512                    12.40
1024                   17.12
2048                   25.38
4096                   76.82
8192                  106.19
16384                 295.77
32768                 436.57
65536                 472.21
131072                810.57
262144               1832.27
524288               4096.58
1048576              8295.41

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.30
2                       5.80
4                       5.94
8                       6.31
16                      7.10
32                      7.07
64                      7.90
128                     8.79
256                    10.30
512                    12.44
1024                   17.36
2048                   25.57
4096                   77.55
8192                  107.23
16384                 299.14
32768                 438.69
65536                 486.41
131072                823.08
262144               1856.47
524288               4103.01
1048576              8280.43

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.15
2                       5.66
4                       5.89
8                       6.26
16                      7.04
32                      7.05
64                      7.80
128                     8.80
256                    10.38
512                    12.65
1024                   17.34
2048                   25.52
4096                   77.51
8192                  107.18
16384                 303.83
32768                 436.59
65536                 472.37
131072                810.95
262144               1860.53
524288               4096.28
1048576              8277.20

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.15
2                       5.65
4                       5.86
8                       6.24
16                      7.05
32                      7.05
64                      7.79
128                     8.78
256                    10.28
512                    12.41
1024                   17.19
2048                   25.54
4096                   77.09
8192                  107.08
16384                 299.57
32768                 436.44
65536                 489.97
131072                826.46
262144               1931.80
524288               4104.25
1048576              8287.66

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.16
2                       5.66
4                       5.87
8                       6.25
16                      7.03
32                      7.10
64                      7.81
128                     8.76
256                    10.28
512                    12.42
1024                   17.17
2048                   25.54
4096                   77.02
8192                  106.44
16384                 298.47
32768                 436.80
65536                 485.00
131072                820.17
262144               1887.78
524288               4099.65
1048576              8291.57

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.14
2                       5.63
4                       5.92
8                       6.25
16                      7.03
32                      7.02
64                      7.79
128                     8.80
256                    10.26
512                    12.41
1024                   17.15
2048                   25.47
4096                   77.35
8192                  106.76
16384                 304.80
32768                 436.68
65536                 487.20
131072                824.08
262144               1876.33
524288               4099.37
1048576              8264.60

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.11
2                       5.65
4                       5.89
8                       6.25
16                      7.05
32                      7.07
64                      7.76
128                     8.74
256                    10.25
512                    12.38
1024                   17.17
2048                   25.55
4096                   77.19
8192                  106.93
16384                 299.08
32768                 441.05
65536                 485.16
131072                824.78
262144               1833.88
524288               4098.02
1048576              8291.90

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.12
2                       5.65
4                       5.87
8                       6.24
16                      7.07
32                      7.04
64                      7.81
128                     8.77
256                    10.27
512                    12.43
1024                   17.20
2048                   25.53
4096                   77.18
8192                  106.86
16384                 300.01
32768                 437.34
65536                 486.22
131072                823.91
262144               1881.05
524288               4110.32
1048576              8301.04

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.21
2                       5.66
4                       5.90
8                       6.26
16                      7.05
32                      7.14
64                      7.85
128                     8.76
256                    10.25
512                    12.44
1024                   17.24
2048                   25.43
4096                   77.66
8192                  106.92
16384                 298.36
32768                 437.00
65536                 486.27
131072                822.83
262144               1823.09
524288               4099.20
1048576              8277.05

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.24
2                       5.62
4                       5.88
8                       6.23
16                      7.04
32                      7.01
64                      7.82
128                     8.75
256                    10.33
512                    12.38
1024                   17.16
2048                   25.49
4096                   77.34
8192                  106.78
16384                 299.20
32768                 438.43
65536                 489.57
131072                823.41
262144               1804.88
524288               4109.08
1048576              8294.62

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.18
2                       5.65
4                       5.93
8                       6.23
16                      7.05
32                      7.04
64                      7.82
128                     8.77
256                    10.28
512                    12.50
1024                   17.25
2048                   25.61
4096                   77.61
8192                  107.01
16384                 295.47
32768                 436.21
65536                 486.42
131072                820.27
262144               1845.81
524288               4101.74
1048576              8275.08
