
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.40
2                      30.11
4                      30.15
8                      30.74
16                     32.05
32                     31.19
64                     31.60
128                    33.05
256                    42.46
512                    47.26
1024                   55.78
2048                   71.58
4096                  105.23
8192                  164.88
16384                 314.65
32768                 556.97
65536                1215.02
131072               2567.55
262144               5165.63
524288              10505.57
1048576             21322.51

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.19
2                      29.82
4                      29.96
8                      31.21
16                     31.37
32                     30.80
64                     31.36
128                    32.99
256                    42.29
512                    47.03
1024                   55.45
2048                   71.25
4096                  104.43
8192                  163.24
16384                 314.87
32768                 556.72
65536                1213.00
131072               2565.72
262144               5156.59
524288              10499.89
1048576             21300.06

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.64
2                      29.71
4                      29.87
8                      30.36
16                     31.30
32                     30.87
64                     31.30
128                    33.46
256                    42.10
512                    47.03
1024                   55.34
2048                   71.28
4096                  104.53
8192                  162.97
16384                 315.76
32768                 558.69
65536                1214.54
131072               2571.71
262144               5158.27
524288              10487.74
1048576             21289.55

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.45
2                      30.00
4                      30.16
8                      30.76
16                     31.61
32                     31.05
64                     31.55
128                    33.83
256                    42.27
512                    47.08
1024                   55.87
2048                   71.03
4096                  104.36
8192                  164.74
16384                 315.72
32768                 556.43
65536                1214.84
131072               2564.97
262144               5159.90
524288              10493.89
1048576             21306.03

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      31.58
2                      30.02
4                      30.16
8                      30.52
16                     31.31
32                     30.77
64                     31.41
128                    32.89
256                    42.31
512                    46.87
1024                   55.26
2048                   71.09
4096                  104.69
8192                  163.22
16384                 316.41
32768                 557.33
65536                1213.69
131072               2567.72
262144               5152.73
524288              10487.41
1048576             21292.64

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.16
2                      29.94
4                      29.95
8                      30.59
16                     31.32
32                     30.94
64                     31.58
128                    32.87
256                    42.25
512                    47.07
1024                   55.32
2048                   71.21
4096                  104.51
8192                  163.32
16384                 315.83
32768                 555.05
65536                1214.39
131072               2567.22
262144               5158.98
524288              10488.42
1048576             21297.67

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.62
2                      30.48
4                      30.52
8                      31.73
16                     31.78
32                     31.30
64                     31.89
128                    32.94
256                    42.85
512                    47.26
1024                   55.40
2048                   71.82
4096                  104.84
8192                  166.06
16384                 316.71
32768                 560.80
65536                1219.91
131072               2572.51
262144               5174.35
524288              10492.30
1048576             21312.96

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.41
2                      30.01
4                      30.28
8                      30.64
16                     31.51
32                     31.02
64                     31.59
128                    33.15
256                    42.56
512                    47.39
1024                   56.05
2048                   72.04
4096                  105.80
8192                  165.57
16384                 316.51
32768                 558.80
65536                1217.28
131072               2571.56
262144               5175.16
524288              10503.39
1048576             21321.88

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.43
2                      30.00
4                      30.85
8                      30.76
16                     31.40
32                     30.83
64                     31.37
128                    32.83
256                    42.36
512                    46.88
1024                   55.30
2048                   71.15
4096                  104.41
8192                  163.17
16384                 314.77
32768                 557.69
65536                1212.84
131072               2568.76
262144               5162.73
524288              10488.72
1048576             21300.71

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.65
2                      30.20
4                      30.12
8                      31.14
16                     32.17
32                     30.97
64                     31.58
128                    33.05
256                    42.47
512                    47.20
1024                   55.79
2048                   71.72
4096                  105.37
8192                  165.43
16384                 316.99
32768                 559.90
65536                1217.22
131072               2570.69
262144               5155.61
524288              10489.26
1048576             21313.10

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.50
2                      30.17
4                      30.31
8                      30.71
16                     31.39
32                     31.15
64                     31.51
128                    33.71
256                    42.32
512                    46.99
1024                   55.25
2048                   71.12
4096                  104.71
8192                  164.53
16384                 316.48
32768                 556.07
65536                1213.39
131072               2565.91
262144               5158.09
524288              10488.24
1048576             21310.13
