
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       7.56
2                       7.35
4                       7.51
8                       8.12
16                      8.80
32                      9.59
64                     10.26
128                    11.39
256                    14.17
512                    19.19
1024                   31.22
2048                   53.92
4096                   86.65
8192                  143.27
16384                 327.19
32768                 591.19
65536                2320.21
131072               4200.40
262144               9252.68
524288              22017.83
1048576             48371.05

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       7.65
2                       7.33
4                       7.56
8                       8.05
16                      8.75
32                      9.51
64                     10.09
128                    11.46
256                    14.31
512                    19.19
1024                   31.32
2048                   53.77
4096                   87.72
8192                  143.84
16384                 327.42
32768                 590.66
65536                2323.38
131072               4339.33
262144               9561.05
524288              22328.61
1048576             47563.71

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       7.52
2                       7.25
4                       7.43
8                       8.07
16                      8.73
32                      9.52
64                     10.10
128                    11.28
256                    14.20
512                    19.32
1024                   31.23
2048                   53.59
4096                   86.74
8192                  143.18
16384                 327.66
32768                 589.82
65536                2295.13
131072               4218.32
262144               9480.61
524288              21707.05
1048576             48985.22

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       7.50
2                       7.32
4                       7.52
8                       8.11
16                      8.80
32                      9.55
64                     10.10
128                    11.37
256                    14.11
512                    19.14
1024                   31.36
2048                   53.56
4096                   86.77
8192                  143.44
16384                 327.04
32768                 589.35
65536                2269.06
131072               4282.37
262144               9476.51
524288              23396.01
1048576             48998.43

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       7.48
2                       7.26
4                       7.47
8                       8.11
16                      8.75
32                      9.52
64                     10.07
128                    11.34
256                    14.14
512                    19.20
1024                   31.18
2048                   53.66
4096                   87.07
8192                  143.42
16384                 327.21
32768                 589.88
65536                2284.01
131072               4374.37
262144               9539.66
524288              23385.55
1048576             48892.42

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       7.53
2                       7.26
4                       7.48
8                       8.10
16                      8.72
32                      9.51
64                     10.04
128                    11.30
256                    14.09
512                    19.14
1024                   31.17
2048                   53.40
4096                   86.70
8192                  142.99
16384                 325.77
32768                 588.36
65536                2166.56
131072               4037.13
262144               9265.34
524288              22946.72
1048576             48780.89

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       7.47
2                       7.29
4                       7.46
8                       8.10
16                      8.75
32                      9.55
64                     10.08
128                    11.40
256                    14.16
512                    19.22
1024                   31.24
2048                   53.69
4096                   87.08
8192                  143.59
16384                 327.06
32768                 589.45
65536                2309.57
131072               4241.81
262144               9582.71
524288              23223.70
1048576             49214.93

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       7.54
2                       7.25
4                       7.41
8                       8.03
16                      8.74
32                      9.49
64                     10.03
128                    11.27
256                    14.04
512                    18.99
1024                   31.08
2048                   53.39
4096                   86.76
8192                  143.02
16384                 326.23
32768                 589.28
65536                2194.88
131072               4269.95
262144               9602.35
524288              21980.05
1048576             46615.42

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       7.52
2                       7.30
4                       7.47
8                       8.09
16                      8.75
32                      9.52
64                     10.05
128                    11.32
256                    14.13
512                    19.22
1024                   31.43
2048                   53.77
4096                   87.17
8192                  143.74
16384                 327.01
32768                 589.22
65536                2157.36
131072               4258.67
262144               9515.31
524288              21875.80
1048576             48442.57

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       7.50
2                       7.30
4                       7.47
8                       8.08
16                      8.79
32                      9.52
64                     10.14
128                    11.37
256                    14.09
512                    19.09
1024                   31.22
2048                   53.29
4096                   86.46
8192                  143.00
16384                 326.74
32768                 588.44
65536                2312.51
131072               4348.94
262144               9667.79
524288              22106.77
1048576             47341.76

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       7.49
2                       7.30
4                       7.47
8                       8.11
16                      8.77
32                      9.53
64                     10.08
128                    11.36
256                    14.13
512                    19.10
1024                   31.19
2048                   53.57
4096                   86.90
8192                  143.37
16384                 327.44
32768                 588.41
65536                2306.82
131072               4243.43
262144               9586.68
524288              22239.49
1048576             47761.36
