
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    15.19
512                    17.02
1024                   21.53
2048                   31.27
4096                   47.14
8192                   79.92
16384                 153.30
32768                 273.48
65536                 519.15
131072               1273.44
262144               2781.11
524288               5905.23
1048576             12277.15
2097152             24411.89

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    15.32
512                    17.29
1024                   21.88
2048                   31.30
4096                   47.31
8192                   80.19
16384                 154.76
32768                 275.94
65536                 521.60
131072               1280.63
262144               2781.51
524288               5946.48
1048576             12258.56
2097152             24568.32

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    15.02
512                    16.79
1024                   21.22
2048                   30.54
4096                   46.34
8192                   78.90
16384                 150.94
32768                 272.37
65536                 521.96
131072               1266.33
262144               2778.30
524288               5907.87
1048576             12269.20
2097152             24568.69

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    14.95
512                    16.81
1024                   21.22
2048                   30.64
4096                   46.35
8192                   79.03
16384                 151.73
32768                 271.92
65536                 515.64
131072               1270.28
262144               2780.60
524288               5925.07
1048576             12254.78
2097152             24557.20

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    15.11
512                    16.80
1024                   21.25
2048                   30.60
4096                   46.30
8192                   78.81
16384                 151.62
32768                 271.09
65536                 519.27
131072               1261.70
262144               2757.94
524288               5890.88
1048576             12211.10
2097152             24474.33
