
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    24.24
512                    29.08
1024                   40.14
2048                   61.27
4096                  102.99
8192                  257.26
16384                 783.19
32768                3697.06
65536                7211.00
131072              13226.90
262144              26490.96
524288              47182.42
1048576             84148.88
2097152            157534.41

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    24.27
512                    29.21
1024                   40.18
2048                   61.52
4096                  102.72
8192                  258.43
16384                 765.86
32768                3693.44
65536                7309.81
131072              13292.32
262144              26648.35
524288              47112.29
1048576             84298.03
2097152            157639.12

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    24.19
512                    29.12
1024                   40.19
2048                   61.35
4096                  102.77
8192                  256.98
16384                 795.04
32768                3843.33
65536                7182.48
131072              13185.51
262144              26198.03
524288              46517.63
1048576             83669.69
2097152            157090.88

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    24.16
512                    29.14
1024                   40.19
2048                   61.21
4096                  102.69
8192                  255.17
16384                 773.06
32768                3703.91
65536                7255.22
131072              13205.03
262144              26043.82
524288              47146.12
1048576             83629.46
2097152            157175.72

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    24.16
512                    29.06
1024                   40.00
2048                   61.08
4096                  102.66
8192                  252.76
16384                 767.27
32768                3684.78
65536                7270.03
131072              13201.57
262144              26079.34
524288              47118.37
1048576             83666.25
2097152            157057.37
